Entry_ID	Form_ID	Word	Gloss	Flags	Headword	Head_Strategy	Source	Tags
d1588	f_kpfgamovgtvpg	kelaŋku	to stir, mix	uncontracted-comparison-candidate	*keḷ-ay	krishnamurti-pfeiffer	dedr	
d1588	f_paobss7wkp7sg	kelanu	to stir, mix	uncontracted-comparison-candidate	*keḷ-ay	krishnamurti-pfeiffer	dedr	
d1593	f_wqj2sb7cjgd4y	kiṟakiṟa	creaking, rattling	uncontracted-comparison-candidate	kiṟiccu	dedr-reflex	dedr	
d1594	f_uif24g4tmqksw	ciṟu	small, little, slight, gentle, mild	uncontracted-comparison-candidate	*kiṯṯ-eli	krishnamurti-pfeiffer	dedr	
d1594	f_we5uz74jlpnmk	ciṟuta	small, little, young	uncontracted-comparison-candidate	*kiṯṯ-eli	krishnamurti-pfeiffer	dedr	
d1594	f_ytz7hqkytupzw	ciṟutuka	a young woman	uncontracted-comparison-candidate	*kiṯṯ-eli	krishnamurti-pfeiffer	dedr;burrow-emeneau1972den1[p. 404, entry 1326]	noun
d1594	f_4o6nkyuec2pg6	kriyyu	to grow lean	initial-apical-or-cluster;initial-cluster	*kiṯṯ-eli	krishnamurti-pfeiffer	dedr;K-Telugu;B-Telugu	
d1594	f_j5d7c3lwqjf76	krēpu	a calf (or with 1123 Ta.kaṭavu); giṟakashort	initial-apical-or-cluster;initial-cluster	*kiṯṯ-eli	krishnamurti-pfeiffer	dedr	
d1595	f_emli7567audvu	giragira	round and round, spinning	uncontracted-comparison-candidate	kiṟukiṟu	dedr-reflex	dedr	
d1595	f_oqezb5yovwprq	giraka	pulley over which to pull water from well; (<i>VPK</i> for all items) wheel of cart	uncontracted-comparison-candidate	kiṟukiṟu	dedr-reflex	dedr	
d1595	f_stlbpyxcc3crq	gilaka	pulley over which to pull water from well; (<i>VPK</i> for all items) wheel of cart	uncontracted-comparison-candidate	kiṟukiṟu	dedr-reflex	dedr	
d1597	f_2eywygseajj3m	ciṟaciṟa	sullenness, ill-humour	uncontracted-comparison-candidate	*kir_-	merriam-pdr	dedr	
d1597	f_fgdhy5cq6uvoc	ceṟaceṟal-āḍu	to be angry or furious	uncontracted-comparison-candidate	*kir_-	merriam-pdr	dedr	
d1597	f_qnnp75eghj4uw	keralu	to be angry or enraged (or with 1961 Ta.ceru)	uncontracted-comparison-candidate	*kir_-	merriam-pdr	dedr	
d1598	f_jz2pr4ou54xn4	giṟupu	to shake, move (, as the body, ears of an animal)	uncontracted-comparison-candidate	kiṟuŋku	dedr-reflex	dedr;K-Telugu	intr
d1598	f_7ujuhtcobjpmk	gilupu	to shake as the pigtail. DED 1330	uncontracted-comparison-candidate	kiṟuŋku	dedr-reflex	dedr;K-Telugu	tr
d1619	f_tecvkq5oqzl5o	krī	lower, below	initial-apical-or-cluster;initial-cluster	*kīẓ	krishnamurti-pfeiffer	dedr	
d1619	f_vgz6cxcqnfieo	krinda	below, down	initial-apical-or-cluster;initial-cluster	*kīẓ	krishnamurti-pfeiffer	dedr	
d1619	f_zzgh3zwhibmt6	krindu	the part or region below, past time	initial-apical-or-cluster;initial-cluster	*kīẓ	krishnamurti-pfeiffer	dedr	
d1619	f_ku6vnisxkyv46	krindiki	downward	initial-apical-or-cluster;initial-cluster	*kīẓ	krishnamurti-pfeiffer	dedr	
d1619	f_un6oy37s3wdky	krincu	mean, low, base	initial-apical-or-cluster;initial-cluster	*kīẓ	krishnamurti-pfeiffer	dedr	
d1623	f_v4bnybjh7viiw	giṟupu	to pass fingers through (as feathers of a bird, etc.), pat, stroke	uncontracted-comparison-candidate	*kī-ṯ	krishnamurti-pfeiffer	dedr;K-Telugu	
d1623	f_stjqtlctbgadq	giṟuku	to scribble	uncontracted-comparison-candidate	*kī-ṯ	krishnamurti-pfeiffer	dedr	
d1623	f_x35yjlzb35p4g	giluku	to scribble	uncontracted-comparison-candidate	*kī-ṯ	krishnamurti-pfeiffer	dedr	
d1623	f_gapiyuuzmon5g	jilugu	a cursive hand or writing, illegibility; (K. also) to write letters illegibly without leaving spaces	uncontracted-comparison-candidate	*kī-ṯ	krishnamurti-pfeiffer	dedr	verb
d1623	f_quteornujwv3e	geṟa	line	uncontracted-comparison-candidate	*kī-ṯ	krishnamurti-pfeiffer	dedr	
d1625	f_g3tol3xkfmlwq	giṟupu	to wink, as in making a sign or conveying a hint	uncontracted-comparison-candidate	kīṟu	dedr-reflex	dedr	
d1625	f_mkerpkjxschpi	giṟuvu	to wink, as in making a sign or conveying a hint	uncontracted-comparison-candidate	kīṟu	dedr-reflex	dedr;K-Telugu;K-also-Telugu	
d1625	f_f57x263zw7i5w	gilupu	to wink, as in making a sign or conveying a hint	uncontracted-comparison-candidate	kīṟu	dedr-reflex	dedr;K-Telugu;K-also-Telugu	
d1654	f_elhezau6onmuo	kuḍucu	to eat, suck, drink, enjoy, suffer	uncontracted-comparison-candidate	kuṭi	dedr-reflex	dedr	
d1654	f_vzs2pyr6ogwka	kuḍupu	to feed, suckle, cause to eat, enjoy, or suffer; eating, food, enjoying, suffering	uncontracted-comparison-candidate	kuṭi	dedr-reflex	dedr	noun
d1654	f_zbdftfhydzxsm	kuḍupari	one who eats, enjoys, or suffers	uncontracted-comparison-candidate	kuṭi	dedr-reflex	dedr	
d1654	f_qszua5aoevtia	kuḍi	right, right-hand	uncontracted-comparison-candidate	kuṭi	dedr-reflex	dedr	
d1654	f_rhla5xzucxz3u	kuḍiti	the washings of rice, split pulse, etc., used as a drink for cattle	uncontracted-comparison-candidate	kuṭi	dedr-reflex	dedr	
d1658	f_uk2fffjnorwky	guṭaka	a single swallow or gulp	uncontracted-comparison-candidate	guṛakn	dedr-reflex	dedr	
d1658	f_mjyfj2d3rd34q	guṭuku	the sound of swallowing	uncontracted-comparison-candidate	guṛakn	dedr-reflex	dedr	
d1658	f_rwxyv2m7s6qrg	guṭukku	the sound of swallowing	uncontracted-comparison-candidate	guṛakn	dedr-reflex	dedr	
d1658	f_2ghlqxdvyczrg	guḍukku	the sound of swallowing	uncontracted-comparison-candidate	guṛakn	dedr-reflex	dedr	
d1658	f_qwqpxad3xd2zg	guṭaguṭa	the sound made in drinking water rapidly	uncontracted-comparison-candidate	guṛakn	dedr-reflex	dedr	
d1663	f_xqlilzxjpbulg	goḍugu	id., parasol	uncontracted-comparison-candidate	*koṭ-ay	krishnamurti-pfeiffer	dedr	
d1670	f_paeqsxeovhgvm	giṭaka	short, dwarfish	uncontracted-comparison-candidate	*kiṭṭ-	krishnamurti-pfeiffer	dedr	
d1670	f_6oxko4iqz7rp6	giḍasa	id., stunted	uncontracted-comparison-candidate	*kiṭṭ-	krishnamurti-pfeiffer	dedr	
d1680	f_hdifqogfudno6	gruḍḍu	eyeball, egg	initial-apical-or-cluster;initial-cluster	*kuṭ-V	krishnamurti-pfeiffer	dedr	
d1680	f_ac4zybs3izt7o	guḍusu	a circle, round	uncontracted-comparison-candidate	*kuṭ-V	krishnamurti-pfeiffer	dedr	
d1680	f_thjl66djfsori	guḍi	halo round the sun or moon	uncontracted-comparison-candidate	*kuṭ-V	krishnamurti-pfeiffer	dedr	
d1695	f_pllqjgcufkafo	rubbu-guṇḍu	stone pestle or roller used in grinding things in a mortar	initial-apical-or-cluster	*gunḍ-	merriam-pdr	dedr	
d1766	f_tdc6mdmzbp7aq	goruvaŋka	myna	uncontracted-comparison-candidate	kurakam	dedr-reflex	dedr	
d1767	f_eqqola7bngbzy	kruŋgu	to sink, fall down, fall in a heap	initial-apical-or-cluster;initial-cluster	*kur-Vŋ-	merriam-pdr	dedr	
d1767	f_ssnb5crlsin2s	kruŋgilu	to sink, fall down, fall in a heap	initial-apical-or-cluster;initial-cluster	*kur-Vŋ-	merriam-pdr	dedr	
d1769	f_fnt4htr2q5egm	krō̃ti	id	initial-apical-or-cluster;initial-cluster	*kor-V-nkk-	krishnamurti-pfeiffer	dedr	
d1770	f_2zgwpc677gpp2	gorija	id	uncontracted-comparison-candidate	kuracu	dedr-reflex	dedr	
d1770	f_yyrqtp6k7hdgc	gorise	id	uncontracted-comparison-candidate	kuracu	dedr-reflex	dedr	
d1770	f_vbi547k7ztgao	gorije	id	uncontracted-comparison-candidate	kuracu	dedr-reflex	dedr;B-Telugu;K-also-Telugu	
d1770	f_hwszl4btp4s7a	korije	id	uncontracted-comparison-candidate	kuracu	dedr-reflex	dedr;B-Telugu;K-also-Telugu	
d1771	f_o7xhzmvxwdyma	kurapamu	id	uncontracted-comparison-candidate	kurappam	dedr-reflex	dedr	
d1771	f_p7ya2sfakfax4	koṟapamu	id	uncontracted-comparison-candidate	kurappam	dedr-reflex	dedr	
d1771	f_w2tumbjjhf3ig	goṟapamu	id	uncontracted-comparison-candidate	kurappam	dedr-reflex	dedr	
d1772	f_crriypcekkpek	kurimiḍi	a bank for retaining water in a field. DEDS 251	uncontracted-comparison-candidate	kurampu	dedr-reflex	dedr	
d1772	f_7i4rpnxqikeye	kurimiḍi-gaṭṭu	a bank for retaining water in a field. DEDS 251	uncontracted-comparison-candidate	kurampu	dedr-reflex	dedr	
d1774	f_bswc5toyx646c	krōlcu	to sing, chirp, read out, recite. DED(N) 1477	initial-apical-or-cluster;initial-cluster	kural	dedr-reflex	dedr;K-Telugu	
d1774	f_4y773rgrwzseo	krōlucu	to sing, chirp, read out, recite. DED(N) 1477	initial-apical-or-cluster;initial-cluster	kural	dedr-reflex	dedr;K-Telugu	
d1777	f_g44tfpxsthcdw	koraḍu	owl	uncontracted-comparison-candidate	kurāl	dedr-reflex	dedr	
d1778	f_uahlpqntrlei6	kruyyu	to grow lean, diminish, droop, shrink (or with 1851 Ta.kuṟu)	initial-apical-or-cluster;initial-cluster	koragu	dedr-reflex	dedr;K-Telugu;B-Telugu	
d1780	f_ybqi552r2upi4	kuṟupu	a boil, abscess	uncontracted-comparison-candidate	**korVppV	krishnamurti-pfeiffer	dedr	
d1784	f_3psoqtfcxa4ue	gurugu	id. DED(S) 1484	uncontracted-comparison-candidate	gurugulu	dedr-reflex	dedr;B-Telugu	
d1784	f_laszw2b2uafny	gurigi	id. DED(S) 1484	uncontracted-comparison-candidate	gurugulu	dedr-reflex	dedr;B-Telugu	
d1784	f_n3gwmcziiiome	guraga	id. DED(S) 1484	uncontracted-comparison-candidate	gurugulu	dedr-reflex	dedr;VPK-Telugu	
d1787	f_ndolyy4ysamdc	gruḍḍi	blindness, blind man, blind	initial-apical-or-cluster;initial-cluster	*kur-uṭu	krishnamurti-pfeiffer	dedr	
d1787	f_pmbylqwhanjmy	gruḍḍu	blindness	initial-apical-or-cluster;initial-cluster	*kur-uṭu	krishnamurti-pfeiffer	dedr	
d1794	f_hfzu4vosk5nxs	kurulu	hair, curls or ringlets of hair	uncontracted-comparison-candidate	**kūr-	krishnamurti-pfeiffer	dedr	
d1795	f_663oakw3lkr4g	gulaka	shell, pebble	uncontracted-comparison-candidate	*gurL-	merriam-pdr	dedr	
d1797	f_ip4u3hhvzpny2	gurigi	a very small earthen pot	uncontracted-comparison-candidate	*kur-Vvi	krishnamurti-pfeiffer	dedr	
d1802	f_nmdqveljibyea	grucci kaũgilincu	to embrace tightly	initial-apical-or-cluster;initial-cluster	grucci kaũgilincu	dedr-reflex	dedr;K-Telugu	
d1806	f_kapyussf4tkao	kuluku	to move the body in a graceful and affected manner; (K. B. also) move, shake <i> (tr.); n	uncontracted-comparison-candidate	*kul-	merriam-pdr	dedr	
d1806	f_hfn7bmlmp4saw	kulukulā̃ḍi	woman affecting graceful movements of body	uncontracted-comparison-candidate	*kul-	merriam-pdr	dedr	
d1810	f_6jp3k2a6p3du6	gola	a bunch, a cluster	uncontracted-comparison-candidate	kulai	dedr-reflex	dedr	
d1810	f_ob5dubiesxcvw	gela	a bunch	uncontracted-comparison-candidate	kulai	dedr-reflex	dedr	
d1813	f_ybq3y54ruasxk	kolakola	noise, tumult	uncontracted-comparison-candidate	gullu	dedr-reflex	dedr	
d1813	f_7jm4qz6ppaktm	golagola	a confused noise	uncontracted-comparison-candidate	gullu	dedr-reflex	dedr	
d1818	f_jby43elvgqkno	krōlu	tube, hole	initial-apical-or-cluster;initial-cluster	*kuẓ-V	krishnamurti-pfeiffer	dedr;B-Telugu	
d1818	f_4qzjchlammmqe	krōvi	tube, flute	initial-apical-or-cluster;initial-cluster	*kuẓ-V	krishnamurti-pfeiffer	dedr	
