Source	Language_ID	Input_Class	Observed_Order	N_Paradigms	Denominator_Class	Fraction	Proportion	Observation_IDs	Caveat
Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	Kui	nonvelar+labial	R-input-order	7	7	7/7	1.0	H02-Kui-ah;H02-Kui-gas;H02-Kui-mil;H02-Kui-pan;H02-Kui-sap;H02-Kui-sol;H02-Kui-ut	Published paradigms; overlapping sources must not be summed as independent etyma.
Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	Kui	velar+labial	D-labial-before-velar	10	10	10/10	1.0	H02-Kui-ag;H02-Kui-bluk;H02-Kui-dik;H02-Kui-geg;H02-Kui-kak;H02-Kui-kok;H02-Kui-lek;H02-Kui-mlik;H02-Kui-nog;H02-Kui-pok	Published paradigms; overlapping sources must not be summed as independent etyma.
Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	Kuwi	velar+labial	D-labial-before-velar	7	7	7/7	1.0	H02-Kuvi-gok;H02-Kuvi-huk;H02-Kuvi-kak;H02-Kuvi-mek;H02-Kuvi-nik;H02-Kuvi-ok;H02-Kuvi-tuk	Published paradigms; overlapping sources must not be summed as independent etyma.
Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	Pengo	other-suffix	R-input-order	4	4	4/4	1.0	GB09-Pengo-hip;GB09-Pengo-kat;GB09-Pengo-ker;GB09-Pengo-raz	Published paradigms; overlapping sources must not be summed as independent etyma.
Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	Pengo	nonvelar+labial	R-input-order	8	8	8/8	1.0	GB09-Pengo-grut;GB09-Pengo-hi;GB09-Pengo-hon;GB09-Pengo-kap;GB09-Pengo-kaz;GB09-Pengo-pat;GB09-Pengo-tub;GB09-Pengo-ven	Published paradigms; overlapping sources must not be summed as independent etyma.
Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	Pengo	velar+labial	D-labial-before-velar	9	9	9/9	1.0	GB09-Pengo-hok;GB09-Pengo-kak;GB09-Pengo-kuk;GB09-Pengo-pag;GB09-Pengo-paglong;GB09-Pengo-rak;GB09-Pengo-rek;GB09-Pengo-rik;GB09-Pengo-tog	Published paradigms; overlapping sources must not be summed as independent etyma.
Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	Kui	velar+labial	D-labial-before-velar	2	2	2/2	1.0	W28-lek;W28-sug	Published paradigms; overlapping sources must not be summed as independent etyma.
Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	Kui	nonvelar+labial	R-input-order	3	3	3/3	1.0	W28-grap;W28-meh;W28-nol	Published paradigms; overlapping sources must not be summed as independent etyma.
Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	Kui	vowel+complex-pk-formative	O-original-p-before-k	5	5	5/5	1.0	W28-p-strengthening-dī;W28-p-strengthening-gī;W28-p-strengthening-kī;W28-p-strengthening-sī;W28-p-strengthening-vī	Published paradigms; overlapping sources must not be summed as independent etyma.
