Partition	Axis	Class	Language_ID	N_Reviewed_Frame_Families	N_Attested_Reviewed	N_Attested_Unreviewed	N_Missing	N_D_No_R	N_R_No_D	N_Mixed_DR	N_Other_No_DR	N_Uncertain_No_DR	N_Other_And_Uncertain_No_DR	N_Borrowed_Only	N_D_Bearing	N_R_Bearing	N_DR_Informative	N_Any_Uncertain	N_Any_Other	N_Any_Borrowed	N_Partially_Reviewed_Families	D_Over_DR	D_Over_Attested_Reviewed	D_Proportion_DR	D_Proportion_Attested_Reviewed
primary	ALL	all-reviewed-families	AluKurumba	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Badaga	403	169	20	214	0	125	0	26	17	0	1	0	125	125	26	44	1	20	0/125	0/169	0.0	0.0
primary	ALL	all-reviewed-families	Belari	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	BettaKurumba	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Brahui	403	56	1	346	4	25	3	5	18	0	1	7	28	32	18	7	1	1	7/32	7/56	0.21875	0.125
primary	ALL	all-reviewed-families	Eravallan	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Gadaba	403	104	3	296	0	75	0	7	17	0	5	0	75	75	18	12	7	3	0/75	0/104	0.0	0.0
primary	ALL	all-reviewed-families	Gondi	403	173	2	228	9	122	8	8	19	0	7	17	130	139	30	17	9	3	17/139	17/173	0.122302	0.098266
primary	ALL	all-reviewed-families	Irula	403	13	0	390	0	2	0	3	8	0	0	0	2	2	8	3	0	0	0/2	0/13	0.0	0.0
primary	ALL	all-reviewed-families	Kadar	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Kannada	403	295	1	107	0	272	0	8	14	0	1	0	272	272	32	59	6	4	0/272	0/295	0.0	0.0
primary	ALL	all-reviewed-families	Kodagu	403	133	4	266	0	112	0	17	3	0	1	0	112	112	4	25	1	4	0/112	0/133	0.0	0.0
primary	ALL	all-reviewed-families	Kolami	403	120	5	278	0	64	0	8	38	0	10	0	64	64	40	11	12	5	0/64	0/120	0.0	0.0
primary	ALL	all-reviewed-families	Konda	403	141	1	261	23	92	12	5	9	0	0	35	104	127	17	8	4	1	35/127	35/141	0.275591	0.248227
primary	ALL	all-reviewed-families	Koraga	403	28	4	371	0	19	0	5	4	0	0	0	19	19	4	5	0	4	0/19	0/28	0.0	0.0
primary	ALL	all-reviewed-families	Kota	403	174	6	223	0	147	0	23	3	0	1	0	147	147	9	32	1	6	0/147	0/174	0.0	0.0
primary	ALL	all-reviewed-families	Kudiya	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Kui	403	154	1	248	63	40	12	7	30	1	1	75	52	115	39	10	2	2	75/115	75/154	0.652174	0.487013
primary	ALL	all-reviewed-families	Kurumba	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Kurux	403	74	5	324	0	50	0	18	6	0	0	0	50	50	9	19	0	5	0/50	0/74	0.0	0.0
primary	ALL	all-reviewed-families	Kuwi	403	149	1	253	42	57	18	6	22	0	4	60	75	117	37	12	4	2	60/117	60/149	0.512821	0.402685
primary	ALL	all-reviewed-families	MalaMalasar	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	MalaPulaya	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Malasar	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Malayalam	403	268	2	133	0	257	0	5	5	0	1	0	257	257	8	21	1	3	0/257	0/268	0.0	0.0
primary	ALL	all-reviewed-families	Malto	403	65	3	335	0	47	0	12	6	0	0	0	47	47	7	12	0	3	0/47	0/65	0.0	0.0
primary	ALL	all-reviewed-families	Manda	403	69	0	334	26	26	2	5	10	0	0	28	28	54	11	5	0	0	28/54	28/69	0.518519	0.405797
primary	ALL	all-reviewed-families	Mannan	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Muduga	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Muthuvan	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Naiki	403	45	2	356	0	28	0	7	9	0	1	0	28	28	9	7	1	2	0/28	0/45	0.0	0.0
primary	ALL	all-reviewed-families	Naikri	403	84	3	316	0	49	0	7	22	0	6	0	49	49	23	10	6	3	0/49	0/84	0.0	0.0
primary	ALL	all-reviewed-families	Paliya	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	PaluKurumba	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Parji	403	114	5	284	0	93	0	8	10	0	3	0	93	93	10	11	4	5	0/93	0/114	0.0	0.0
primary	ALL	all-reviewed-families	Pengo	403	89	0	314	30	40	4	4	11	0	0	34	44	74	13	4	0	0	34/74	34/89	0.459459	0.382022
primary	ALL	all-reviewed-families	Sholaga	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	Tamil	403	315	1	87	0	303	0	3	6	0	3	0	303	303	10	21	8	1	0/303	0/315	0.0	0.0
primary	ALL	all-reviewed-families	Telugu	403	370	0	33	66	196	51	17	36	3	1	117	247	313	119	50	2	0	117/313	117/370	0.373802	0.316216
primary	ALL	all-reviewed-families	Toda	403	153	7	243	0	110	0	31	10	0	2	0	110	110	12	36	6	7	0/110	0/153	0.0	0.0
primary	ALL	all-reviewed-families	Tulu	403	226	7	170	0	201	0	14	10	0	1	0	201	201	33	40	1	7	0/201	0/226	0.0	0.0
primary	ALL	all-reviewed-families	Urali	403	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	ALL	all-reviewed-families	markodi	403	24	4	375	0	22	0	2	0	0	0	0	22	22	1	2	0	4	0/22	0/24	0.0	0.0
primary	Domain	long-apical-input	AluKurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Badaga	13	6	1	6	0	5	0	0	1	0	0	0	5	5	2	0	0	1	0/5	0/6	0.0	0.0
primary	Domain	long-apical-input	Belari	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	BettaKurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Brahui	13	3	0	10	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0/0	0/3		0.0
primary	Domain	long-apical-input	Eravallan	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Gadaba	13	3	0	10	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0/3	0/3	0.0	0.0
primary	Domain	long-apical-input	Gondi	13	5	0	8	0	5	0	0	0	0	0	0	5	5	0	0	0	0	0/5	0/5	0.0	0.0
primary	Domain	long-apical-input	Irula	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Kadar	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Kannada	13	8	0	5	0	8	0	0	0	0	0	0	8	8	0	1	0	0	0/8	0/8	0.0	0.0
primary	Domain	long-apical-input	Kodagu	13	3	0	10	0	2	0	1	0	0	0	0	2	2	0	1	0	0	0/2	0/3	0.0	0.0
primary	Domain	long-apical-input	Kolami	13	3	0	10	0	2	0	0	1	0	0	0	2	2	1	0	0	0	0/2	0/3	0.0	0.0
primary	Domain	long-apical-input	Konda	13	4	0	9	0	4	0	0	0	0	0	0	4	4	0	0	0	0	0/4	0/4	0.0	0.0
primary	Domain	long-apical-input	Koraga	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Kota	13	5	0	8	0	4	0	1	0	0	0	0	4	4	0	1	0	0	0/4	0/5	0.0	0.0
primary	Domain	long-apical-input	Kudiya	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Kui	13	5	0	8	1	4	0	0	0	0	0	1	4	5	0	0	0	0	1/5	1/5	0.2	0.2
primary	Domain	long-apical-input	Kurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Kurux	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Kuwi	13	6	0	7	1	5	0	0	0	0	0	1	5	6	0	0	0	0	1/6	1/6	0.166667	0.166667
primary	Domain	long-apical-input	MalaMalasar	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	MalaPulaya	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Malasar	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Malayalam	13	6	0	7	0	6	0	0	0	0	0	0	6	6	0	0	0	0	0/6	0/6	0.0	0.0
primary	Domain	long-apical-input	Malto	13	1	0	12	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
primary	Domain	long-apical-input	Manda	13	5	0	8	0	5	0	0	0	0	0	0	5	5	0	0	0	0	0/5	0/5	0.0	0.0
primary	Domain	long-apical-input	Mannan	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Muduga	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Muthuvan	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Naiki	13	1	0	12	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	long-apical-input	Naikri	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Paliya	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	PaluKurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Parji	13	5	0	8	0	5	0	0	0	0	0	0	5	5	0	0	0	0	0/5	0/5	0.0	0.0
primary	Domain	long-apical-input	Pengo	13	5	0	8	0	5	0	0	0	0	0	0	5	5	0	0	0	0	0/5	0/5	0.0	0.0
primary	Domain	long-apical-input	Sholaga	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	Tamil	13	9	0	4	0	9	0	0	0	0	0	0	9	9	0	0	0	0	0/9	0/9	0.0	0.0
primary	Domain	long-apical-input	Telugu	13	11	0	2	1	8	1	0	0	1	0	2	9	10	4	1	0	0	2/10	2/11	0.2	0.181818
primary	Domain	long-apical-input	Toda	13	3	0	10	0	2	0	1	0	0	0	0	2	2	0	1	0	0	0/2	0/3	0.0	0.0
primary	Domain	long-apical-input	Tulu	13	6	0	7	0	4	0	2	0	0	0	0	4	4	0	2	0	0	0/4	0/6	0.0	0.0
primary	Domain	long-apical-input	Urali	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	long-apical-input	markodi	13	1	0	12	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	AluKurumba	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Badaga	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Belari	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	BettaKurumba	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Brahui	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
primary	Domain	mixed-across-related-entries	Eravallan	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Gadaba	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Gondi	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Irula	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kadar	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kannada	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Kodagu	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kolami	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Konda	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Koraga	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kota	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kudiya	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kui	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Kurumba	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kurux	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Kuwi	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	MalaMalasar	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	MalaPulaya	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Malasar	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Malayalam	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Malto	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Manda	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Mannan	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Muduga	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Muthuvan	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Naiki	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Naikri	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Paliya	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	PaluKurumba	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Parji	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Pengo	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Sholaga	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Tamil	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Telugu	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0/1	0/1	0.0	0.0
primary	Domain	mixed-across-related-entries	Toda	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Tulu	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	Urali	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-across-related-entries	markodi	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	AluKurumba	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Badaga	40	20	3	17	0	14	0	5	1	0	0	0	14	14	2	10	0	3	0/14	0/20	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Belari	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	BettaKurumba	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Brahui	40	13	0	27	0	7	2	2	2	0	0	2	9	9	2	3	0	0	2/9	2/13	0.222222	0.153846
primary	Domain	mixed-or-uncertain-quantity	Eravallan	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Gadaba	40	15	1	24	0	13	0	1	0	0	1	0	13	13	1	4	1	1	0/13	0/15	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Gondi	40	24	1	15	1	15	3	3	2	0	0	4	18	19	6	6	0	1	4/19	4/24	0.210526	0.166667
primary	Domain	mixed-or-uncertain-quantity	Irula	40	1	0	39	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
primary	Domain	mixed-or-uncertain-quantity	Kadar	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Kannada	40	28	0	12	0	28	0	0	0	0	0	0	28	28	2	12	0	2	0/28	0/28	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Kodagu	40	16	1	23	0	14	0	2	0	0	0	0	14	14	1	8	0	1	0/14	0/16	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Kolami	40	17	1	22	0	11	0	2	3	0	1	0	11	11	4	4	2	1	0/11	0/17	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Konda	40	18	0	22	1	11	3	2	1	0	0	4	14	15	4	4	1	0	4/15	4/18	0.266667	0.222222
primary	Domain	mixed-or-uncertain-quantity	Koraga	40	6	1	33	0	5	0	1	0	0	0	0	5	5	0	1	0	1	0/5	0/6	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Kota	40	23	0	17	0	20	0	3	0	0	0	0	20	20	0	6	0	0	0/20	0/23	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Kudiya	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Kui	40	23	0	17	10	5	2	0	5	1	0	12	7	17	7	2	0	0	12/17	12/23	0.705882	0.521739
primary	Domain	mixed-or-uncertain-quantity	Kurumba	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Kurux	40	10	1	29	0	7	0	3	0	0	0	0	7	7	0	4	0	1	0/7	0/10	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Kuwi	40	20	0	20	5	7	3	3	2	0	0	8	10	15	4	4	0	0	8/15	8/20	0.533333	0.4
primary	Domain	mixed-or-uncertain-quantity	MalaMalasar	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	MalaPulaya	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Malasar	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Malayalam	40	27	1	12	0	25	0	1	1	0	0	0	25	25	1	3	0	1	0/25	0/27	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Malto	40	10	1	29	0	9	0	1	0	0	0	0	9	9	0	1	0	1	0/9	0/10	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Manda	40	10	0	30	5	0	2	2	1	0	0	7	2	7	1	2	0	0	7/7	7/10	1.0	0.7
primary	Domain	mixed-or-uncertain-quantity	Mannan	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Muduga	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Muthuvan	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Naiki	40	6	1	33	0	3	0	3	0	0	0	0	3	3	0	3	0	1	0/3	0/6	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Naikri	40	13	0	27	0	8	0	2	3	0	0	0	8	8	4	4	0	0	0/8	0/13	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Paliya	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	PaluKurumba	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Parji	40	18	1	21	0	16	0	2	0	0	0	0	16	16	0	3	0	1	0/16	0/18	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Pengo	40	12	0	28	4	5	2	1	0	0	0	6	7	11	0	1	0	0	6/11	6/12	0.545455	0.5
primary	Domain	mixed-or-uncertain-quantity	Sholaga	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	Tamil	40	28	0	12	0	27	0	1	0	0	0	0	27	27	0	5	1	0	0/27	0/28	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Telugu	40	37	0	3	9	11	13	1	3	0	0	22	24	33	14	11	0	0	22/33	22/37	0.666667	0.594595
primary	Domain	mixed-or-uncertain-quantity	Toda	40	22	2	16	0	16	0	5	1	0	0	0	16	16	2	6	0	2	0/16	0/22	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Tulu	40	24	1	15	0	20	0	4	0	0	0	0	20	20	3	10	0	1	0/20	0/24	0.0	0.0
primary	Domain	mixed-or-uncertain-quantity	Urali	40	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	mixed-or-uncertain-quantity	markodi	40	4	2	34	0	2	0	2	0	0	0	0	2	2	1	2	0	2	0/2	0/4	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	AluKurumba	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	Badaga	19	6	2	11	0	6	0	0	0	0	0	0	6	6	0	0	0	2	0/6	0/6	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Belari	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	BettaKurumba	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	Brahui	19	3	0	16	0	0	0	1	2	0	0	0	0	0	2	1	0	0	0/0	0/3		0.0
primary	Domain	nasal-or-nasal-cluster-input	Eravallan	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	Gadaba	19	6	0	13	0	5	0	0	1	0	0	0	5	5	1	0	0	0	0/5	0/6	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Gondi	19	7	0	12	0	7	0	0	0	0	0	0	7	7	0	0	0	0	0/7	0/7	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Irula	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	Kadar	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	Kannada	19	11	1	7	0	10	0	1	0	0	0	0	10	10	0	1	0	1	0/10	0/11	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Kodagu	19	5	1	13	0	5	0	0	0	0	0	0	5	5	0	0	0	1	0/5	0/5	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Kolami	19	3	1	15	0	3	0	0	0	0	0	0	3	3	0	0	0	1	0/3	0/3	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Konda	19	7	0	12	0	7	0	0	0	0	0	0	7	7	0	0	0	0	0/7	0/7	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Koraga	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	Kota	19	7	1	11	0	7	0	0	0	0	0	0	7	7	0	0	0	1	0/7	0/7	0.0	0.0
primary	Domain	nasal-or-nasal-cluster-input	Kudiya	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
primary	Domain	nasal-or-nasal-cluster-input	Kui	19	7	0	12	1	6	0	0	0	0	0	1	6	7	0	0	0	0	1/7	1/7	0.142857	0.142857
