Partition	Input_Domain	Language_A	Language_B	Family_ID	Entry_IDs	Outcome_A	Outcome_B	Evidence_A	Evidence_B
primary	all-reviewed-inputs	Badaga	Gadaba	d2674	d2674	R	R	f_ksppzlyavdfxq	f_flfcoiauc7tgi;f_wmyk7nyj7hogc
primary	all-reviewed-inputs	Badaga	Gadaba	d833	d833	R	R	f_6ns2rku6i5cl6;f_yfvejysaj7jgi;f_zpvyyqosqpzy6	f_gjxthn5fit3sm
primary	all-reviewed-inputs	Badaga	Gadaba	d859	d859	R	R	f_5xps4426pvlg4;f_7wmgzpl6c4oou;f_aaapys7jgsoxi	f_xrmsebdtxxxxa
primary	all-reviewed-inputs	Badaga	Gadaba	d946	d946	R	R	f_dgcmezux4n27q;f_im6cxisx6siru;f_jqvxjo6bt4ezo;f_nx7jsdvar7kb6;f_w25c6r73y63hy;f_zejx5qjkn57n6	f_u5lthtgq477iu
primary	all-reviewed-inputs	Badaga	Gadaba	d958	d958	R	R	f_kb3q2k6473bjs;f_qyjsgwilosxi4;f_r6wt4jaqzvfue;f_sjygjij7iph72;f_t442yihbtwmqy	f_dqkkfjfbakjc2
primary	all-reviewed-inputs	Badaga	Gadaba	d4885	d4885	R	R	f_3chb2zgr6h3om	research:d4885-Gadaba-source
primary	all-reviewed-inputs	Badaga	Gadaba	d4876	d4876	R	R	f_4efcns6skeyi6;f_7jkcs7eoekq3e;f_ca3dc3jygl3aw;f_ffiu4sty54zp6;f_rnroe5frijgp6	f_q6zfia2hwfsku
primary	all-reviewed-inputs	Badaga	Gadaba	d868	d868	R	R	f_7zzobz23rtvi4;f_asvzsvzgjimfw;f_bxklnylvkurdq;f_eivlju7iqc4ly;f_ggyqiflw44rwi;f_o3amuyyybh7nu;f_usfg5eecdksha	f_wci6oxj7in4gy
primary	all-reviewed-inputs	Badaga	Gadaba	d4449	d4449	R	R	f_c3pvrvbtlaxxs;f_dg4pzydlwasbw;f_gxmvawzv3dnau;f_notzxzlbdlepy	f_nibrqkkoeqas2
primary	all-reviewed-inputs	Badaga	Gadaba	d1079	d1079	R	R	f_ghwdogc6qs572	f_7js7xu7xac7n4
primary	all-reviewed-inputs	Badaga	Gadaba	d1278	d1278	R	R	f_3fmqq3gkari7k;f_b6dj5tikromdc;f_flltla5x7lzym;f_i4miwgsvky3am	f_fdwhg4ydcusx4;f_m4imbh5ipnoda;f_prq3tmdodtmpg
primary	all-reviewed-inputs	Badaga	Gadaba	d1292	d1292	R	R	f_6g32qfiekxtzg;f_chvai2kwci6bo;f_cwj2wvphcihk2;f_g6on4hb36yzoa;f_gwbpbdfxc7jas;f_slstie76lz6hg	f_2d5ib5sasxl4e
primary	all-reviewed-inputs	Badaga	Gadaba	d3821	d3821	R	R	f_azykshzbh3ea4;f_qxth2zuv5h6py	f_b24bbboh5eiti;f_i5a7q4fht3qpc;f_w5gdntj72tj5w;f_xkqfxaiuyvxee
primary	all-reviewed-inputs	Badaga	Gadaba	d4176	d4176	R	R	f_etkbv7lznw4x6;f_nrmcowgue5vpu	f_icbu4bs5zlely;f_mxrn4dk3zjaok
primary	all-reviewed-inputs	Badaga	Gadaba	d4591	d4591	R	R	f_haex3efmk5tku	f_kv4emspminhdc
primary	all-reviewed-inputs	Badaga	Gadaba	d4971	d4971	R	R	f_jao2nttpb6kf6;f_ryok5w7s2jsls	f_jh6mqhbfuqsf2
primary	all-reviewed-inputs	Badaga	Gadaba	d5087	d5087	R	R	f_ishitag54fvhq	f_kx3v57hstn33o;f_wzrbcl5skpepo
primary	all-reviewed-inputs	Badaga	Gadaba	d5114	d5114	R	R	f_bmqb4jax7rubg;f_rbbdnmwwe7sjm	f_dyjdge5ovik56
primary	all-reviewed-inputs	Badaga	Gondi	d72	d72	R	R	f_rp5sa6e7beeki	f_7f6757uq4t7jg;f_ewxusotoaccry;f_g3pw46aygu47s;f_kwbi3ezqxay76;f_pmci7phqgjnqs
primary	all-reviewed-inputs	Badaga	Gondi	d228	d228	R	R	f_hjpyj5kedczg6	f_72hb2rsmax37e;f_tikftqrwqzbni
primary	all-reviewed-inputs	Badaga	Gondi	d76	d76	R	R	f_3lfvjgkrg3xfq;f_7cbrafkkwwrme;f_dbv2f5kpym32m;f_dijn7hzuvouzq;f_momffey3ehq5m;f_tz62f56xrctoo;f_yneailueoqgwa	f_6fe4snai7lzfw;f_eyzh3gwjtgyjm;f_hi2eyoyd3czs4;f_hkgqkjmuxprjs;f_hrt4pppsyb5ns;f_ku2vswfsmcmeo;f_lmldz2jnzhz2e;f_qygio5oiplqns;f_uyzr7nqt7c7gc;f_xtu2ud53kfkqo
primary	all-reviewed-inputs	Badaga	Gondi	d83	d83	R	R	f_eylm3au7dpltq;f_nd462fzgbf7ni;f_sla7365bacffs	f_c5rwyp56eoff6;f_ddgwz3ldoge5k;f_gvcghotzyddw2;f_hq74uk64yscew;f_osoinokxrvgs4;f_sjtxc4762c2wg
primary	all-reviewed-inputs	Badaga	Gondi	d277	d277	R	R	f_25gn6l4p3wcc4;f_3576ij3zrmzmu;f_5tcnbw3kdi3t2;f_aqkmlq7doeapy;f_nrrwlilkzni24	f_iatdihof2mqam
primary	all-reviewed-inputs	Badaga	Gondi	d282	d282	R	R	f_7o2kq2sjk54ra;f_cvc7zxzypfppa;f_evfug2c7wxcuc;f_prdqvxbmekzaa;f_qhq66yiy6o66u;f_xvn3wf2ihxihg;f_y5ihwfuddgemy	f_34keenq2ldeju;f_4sd5sgg6tbefy;f_a6kuuzj46twei;f_dognxzztc2ypi;f_fqxr6hkdg5xi6;f_ij7yowsq6b5gs;f_na6xwn553m6f6;f_snbsbdxrhzp6q;f_vrz7kix6r5mfa
