ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status	Research_Group	DEDR_ID	Accepted_Root_ID	Immediate_Parent_ID	Immediate_Kind	Borrowed_In_Path	Clade	Is_Dravidian	Candidate_Flags
f_smrich2yxtabe	Pengo	apka	only. Kuwi			apka	0:			dedr				d153	d153	d153	d153	reflex	0	S. Dravidian II	1	nonapical-control
f_sw2cr3tc2oi7w	Kui	prepka	(&lt;prek-p-; prekt-)to crack, cleave			prepka	0:			dedr				d4414	d4414	d4414	d4414	reflex	0	S. Dravidian II	1	
f_t2kjdhlradz3m	Kui	vēpka (&lt; vēk-p-; vēkt-)	to cease (rain); cessation of rain. DED 4543			vēpka (&lt; vēk-p-; vēkt-)	0:		noun	dedr				d5522	d5522	d5522	d5522	reflex	0	S. Dravidian II	1	
f_t56nhs4rv3tho	Kui	kīpka (kīpki-)	DED(S) 1684			kīpka (kīpki-)	0:		pl	dedr				d2024	d2024	d2024	d2024	reflex	0	S. Dravidian II	1	
f_t7ubeua3g2o3y	Kui	klōpka	(&lt;klōk-p-; klōkt-) to contract, draw up, depress			klōpka	0:			dedr				d2136	d2136	d2136	d2136	reflex	0	S. Dravidian II	1	
f_tjcebrjvs5vmg	Kui	jūpka	(&lt;jūk-p-; jūkt-)to afflict, persecute, cause to suffer; act of afflicting, persecution, ill-treatment. DED(S) 613			jūpka	0:		noun	dedr				d715	d715	d715	d715	reflex	0	S. Dravidian II	1	
f_ty4mtcfbwoiuq	Kui	trupka (&lt; truk-p-; trukt-)	to oscillate, swing up and down			trupka (&lt; truk-p-; trukt-)	0:			dedr				d3376	d3376	d3376	d3376	reflex	0	S. Dravidian II	1	
f_u57za7jztiky4	Kui	gopkā	branches			gopkā	0:	Mah., p. 103		dedr				d2115	d2115	d2115	d2115	reflex	0	S. Dravidian II	1	nonapical-control
f_ub356vpc6h5nw	Kuwi	hēru	pair of ploughing bullocks. DED (S) 2313			hēru	0:	Su.	dialect:Kuwi:sunkar:Sunkarametta	dedr				d2815	d2815	d2815	d2815	reflex	0	S. Dravidian II	1	long-vowel-apical-control
f_uiwvufb4jbbli	Kui	mlipka	(&lt;mlik-p-; mlikt-) to turn over , overturn, turn upside down; overturning			mlipka	0:		tr noun	dedr				d4870	d4870	d4870	d4870	reflex	0	S. Dravidian II	1	
f_uvineozkzfl5m	Pengo	ṛābga	priest who offers sacrifice			ṛābga-	0:		intensive	dedr				d297	d297	d297	d297	reflex	0	S. Dravidian II	1	
f_vj7jpnyejfxzu	Kuwi	nabgali	to press down. DED 2386			nabgali	0:	F.		dedr;F-Kuwi				d2926	d2926	d2926	d2926	reflex	0	S. Dravidian II	1	nonapical-control
f_vmp4e73iujxls	Kui	vīpka (vīpki-)	swift, quick			vīpka (vīpki-)	0:		pl	dedr				d5450	d5450	d5450	d5450	reflex	0	S. Dravidian II	1	
f_vwqpdtyxba5aw	Kui	ubga	(&lt;ug-b-; ugd-) to collide, strike against, butt; uska (uski-)			ubga	0:			dedr				d706	d706	d706	d706	reflex	0	S. Dravidian II	1	nonapical-control
f_w2g46pt5rztqy	Pengo	popka	id			popka-	0:		intensive	dedr				d4527	d4527	d4527	d4527	reflex	0	S. Dravidian II	1	nonapical-control
f_wig5kxdh2mnhw	Kui	paeri	a climbing plant of which the leaves are used for making cups and the runners and tendrils for ropes			paeri	0:			dedr				d3801	d3801	d3801	d3801	reflex	0	S. Dravidian II	1	
f_wnbiaa7nvfq72	Kui	gṛāpa (gṛāt-)	to cross, cross over, ford, pass by; act of crossing, fording, passing by			gṛāpa (gṛāt-)	0:		noun	dedr				d1109	d1109	d1109	d1109	reflex	0	S. Dravidian II	1	
f_wrglyexxvikvs	Kuwi	epki ki	to cause to climb			epki ki-	0:	Mah.		dedr;Mah-Kuwi				d766	d766	d766	d766	reflex	0	S. Dravidian II	1	nonapical-control
f_wtcdjnx4wmtsq	Kui	drūpka (&lt; drūk-p-; drūkt-)	to cause to swing or sway; act of swinging someone			drūpka (&lt; drūk-p-; drūkt-)	0:		noun	dedr				d3376	d3376	d3376	d3376	reflex	0	S. Dravidian II	1	
f_x26hbteq3bt5o	Kuwi	kolki	receptacle for storing paddy. DED(N) 1500			kolki	0:	Ṭ.		dedr;Ṭ-Kuwi				d1805	d1805	d1805	d1805	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster
f_x5ut4227rr6v2	Kui	vrapka (&lt; vrak-p-; vrakt-)	to cut open and disclose contents			vrapka (&lt; vrak-p-; vrakt-)	0:			dedr				d5363	d5363	d5363	d5363	reflex	0	S. Dravidian II	1	
f_xcw2bpz5djocy	Kui	kasi	a young undeveloped pumpkin			kasi	0:		W	dedr				d1249	d1249	d1249	d1249	reflex	0	S. Dravidian II	1	nonapical-control
f_xvjg3ehonj4ae	Kui	krēmbu ( krēpka)	sore, wound. DEDS 165			krēmbu ( krēpka)	0:		pl	dedr				d1273	d1273	d1273	d1273	reflex	0	S. Dravidian II	1	
f_yb2hf7hg3kv2y	Kui	kopka (&lt; kok-p-; kokt-)	to sit, sit down, sit on, settle down, subside; act of sitting, subsidence			kopka (&lt; kok-p-; kokt-)	0:		noun	dedr				d1628	d1628	d1628	d1628	reflex	0	S. Dravidian II	1	nonapical-control
f_ycvy4yb2ncvsq	Pengo	hēpkor	cow itch			hēpkor	0:			dedr				d2800	d2800	d2800	d2800	reflex	0	S. Dravidian II	1	
f_ykrwxz4m6gqzq	Kui	lāa	grown-up girl, young woman			lāa	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	
f_yxnvgoe5kayd4	Kuwi	hūpka	saliva, spittle			hūpka	0:		pl	dedr				d3323	d3323	d3323	d3323	reflex	0	S. Dravidian II	1	
f_yytdvo45dbx54	Kui	nōṛu	string, cord made from a forest climbing plant			nōṛu	0:			dedr				d2908	d2908	d2908	d2908	reflex	0	S. Dravidian II	1	long-vowel-apical-control
f_z75xuqcsjazlw	Kui	āpka (āpki-)	yes			āpka (āpki-)	0:		pl	dedr				d333	d333	d333	d333	reflex	0	S. Dravidian II	1	
f_zec6tdhg4tmzu	Kui	gebga (&lt; geg-b-; gegd-)	to be connected with (by ties of friendship, love, common cause), associate with, be united, reconciled, live together as husband and wife, have faith in, believe; set side by side, intertwine bamboos so as to build a fence; act of associating with, being connected with or having faith in, faith			gebga (&lt; geg-b-; gegd-)	0:		noun	dedr				d1980	d1980	d1980	d1980	reflex	0	S. Dravidian II	1	nonapical-control
f_zg3bpnatld6o4	Kui	ranja	a small bough for supporting climbing plants, a large peastick			ranja	0:			dedr				d5162	d5162	d5162	d5162	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster
f_zkmyxy3xxs4hm	Kui	plipka	(&lt;plik-p-; plikt-) to split , burst, crack			plipka	0:		tr	dedr				d4194	d4194	d4194	d4194	reflex	0	S. Dravidian II	1	
f_zmnthfsiwbki6	Kuwi	hāpu ( hāpka)	id. DED(S) 2035			hāpu ( hāpka)	0:	Su. P.	pl dialect:Kuwi:sunkar:Sunkarametta	dedr				d2468	d2468	d2468	d2468	reflex	0	S. Dravidian II	1	
f_zyizyf2t57zfc	Manda	jīpaṛ ( jīpahiŋ	grown-up girl. DEDS 835			jīpaṛ ( jīpahiŋ	0:		pl	dedr				d5167	d5167	d5167	d5167	reflex	0	S. Dravidian II	1	
f_zzapu56xn4mei	Kui	kṛepka	(&lt;kṛek-p-; kṛekt-) to shake, cause to shake; act of shaking. DED(S) 1136			kṛepka	0:		noun	dedr				d1349	d1349	d1349	d1349	reflex	0	S. Dravidian II	1	
