ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status	Research_Group	DEDR_ID	Accepted_Root_ID	Immediate_Parent_ID	Immediate_Kind	Borrowed_In_Path	Clade	Is_Dravidian	Candidate_Flags
f_bbjlshrg6bkx6	Kui	kēga	magpie			kēga	0:			dedr				d1994	d1994	d1994	d1994	reflex	0	S. Dravidian II	1	
f_bzzp2cg5za254	Kui	vēpka	(&lt;vēk-p-; vēkt-) to stretch forth, stretch up, crane the neck, spread out, open out			vēpka	0:			dedr				d5519	d5519	d5519	d5519	reflex	0	S. Dravidian II	1	
f_c7zutuml3qcuw	Kui	tepka	(&lt;tek-p-; tekt-) to have time for, overtake. DED(S) 2831			tepka	0:			dedr				d3439	d3439	d3439	d3439	reflex	0	S. Dravidian II	1	nonapical-control
f_coyje55tr4sra	Kuwi	tapkali	to quiet			tapkali	0:			dedr				d3143	d3143	d3143	d3143	reflex	0	S. Dravidian II	1	nonapical-control
f_czs3pdlrlsej4	Kui	mohori	pipe, bag-pipe, trumpet (said to be &lt; Or.)			mohori	0:			dedr				d5141	d5141	d5141	d5141	reflex	0	S. Dravidian II	1	nonapical-control
f_d46mmvltgn4ao	Kui	pṛāpka	(&lt;pṛāk-p-; pṛākt-) to split open, cut open, tear open			pṛāpka	0:			dedr				d3962	d3962	d3962	d3962	reflex	0	S. Dravidian II	1	
f_db4jy7jyupb46	Kui	pebga	(&lt;peg-b-; pegd-)to collect, pick up, peck up, gather; peska (peski-)			pebga	0:			dedr				d4423	d4423	d4423	d4423	reflex	0	S. Dravidian II	1	nonapical-control
f_dh3te37yrt2fe	Pengo	kabga	id. (<i>intensive;</i> &lt; kag-ba-); kakohiŋ (<i>pl.</i>)vomit, what is vomited			kabga-	0:			dedr				d1079	d1079	d1079	d1079	reflex	0	S. Dravidian II	1	nonapical-control
f_dmvxrc66ml2gc	Kui	gripka	(&lt;grik-p; grikt-) to irritate the throat, as when something briny or pungent is eaten			gripka	0:			dedr				d2260	d2260	d2260	d2260	reflex	0	S. Dravidian II	1	
f_dprnsutprxa5k	Pengo	ipka vā	id. (intensive; &lt; ik-pa-)			ipka vā-	0:			dedr				d809	d809	d809	d809	reflex	0	S. Dravidian II	1	nonapical-control
f_ds72snylx7xny	Kui	kapka (&lt; kak-p-; kakt-)	to laugh, laugh at, ridicule; laughter, ridicule			kapka (&lt; kak-p-; kakt-)	0:		noun	dedr				d1080	d1080	d1080	d1080	reflex	0	S. Dravidian II	1	nonapical-control
f_dvee2apjwd5pk	Pengo	manḍi	cooking pot			manḍi	0:			dedr				d4678	d4678	d4678	d4678	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster
f_e5qvybvkyc5c4	Kui	kṛōpka (&lt; kṛōkp-; kṛōkt-)	to lower, reduce; reduction			kṛōpka (&lt; kṛōkp-; kṛōkt-)	0:		noun	dedr				d1851	d1851	d1851	d1851	reflex	0	S. Dravidian II	1	
f_efkuicf2me4va	Kui	jrāmbu ( jrāpka)	id			jrāmbu ( jrāpka)	0:		pl	dedr				d2364	d2364	d2364	d2364	reflex	0	S. Dravidian II	1	
f_ej6yqr6zxl3iy	Kui	opka (&lt; ok-p-; okt-)	to remove in loads, cart; carting, cartage			opka (&lt; ok-p-; okt-)	0:Kol. (SSTW, p. 83) panta okeng to reap (i.e. cart crops from field).		noun	dedr				d931	d931	d931	d931	reflex	0	S. Dravidian II	1	nonapical-control
f_ejxzdnny5tjf6	Kui	subga	(&lt;sug-b-; sugd-) id.; roasting			subga	0:		noun	dedr				d2654	d2654	d2654	d2654	reflex	0	S. Dravidian II	1	nonapical-control
f_eqez2oit4olfu	Kui	pṛupka	(&lt;pṛuk-p-; pṛukt-) to snap, break off, pluck			pṛupka	0:			dedr				d4152	d4152	d4152	d4152	reflex	0	S. Dravidian II	1	
f_ertjifr7prkju	Kuwi	hūpki	to vomit			hūpki-	0:			dedr				d3323	d3323	d3323	d3323	reflex	0	S. Dravidian II	1	
f_evjbstf4h4l2a	Kui	nipka (&lt; nik-p-; nikt-)	to raise, cause to stand up			nipka (&lt; nik-p-; nikt-)	0:			dedr				d3665	d3665	d3665	d3665	reflex	0	S. Dravidian II	1	nonapical-control
f_exaq32y35n4sq	Kui	tropka (&lt; trok-p-; trokt-)	to cause to roll, roll something over and over			tropka (&lt; trok-p-; trokt-)	0:			dedr				d3514	d3514	d3514	d3514	reflex	0	S. Dravidian II	1	
f_fagiavp6euxmy	Kui	ibga	(&lt;ig-b-; igd-) to throw down, let fall, drop; iska (iski-)			ibga	0:			dedr				d859	d859	d859	d859	reflex	0	S. Dravidian II	1	nonapical-control
f_fctyqtw2rilfy	Kuwi	ṭuḍu mur'eni	back-bone. DED(S) 4058			ṭuḍu mur'eni	0:	Ḍ.		dedr;Ḍ-Kuwi				d4955	d4955	d4955	d4955	reflex	0	S. Dravidian II	1	short-vowel-apical
f_ffthrj4v74uj4	Kui	lāpka (&lt; lākp-; lākt-)	to change a person's character, cause a person to change for the worse			lāpka (&lt; lākp-; lākt-)	0:			dedr				d240	d240	d240	d240	reflex	0	S. Dravidian II	1	
f_fg3hglufftxxc	Kuwi	ṛuki	ploughing bullock, bullock			ṛuki	0:	BB, Isr.		dedr;Isr-Kuwi				d688	d688	d688	d688	reflex	0	S. Dravidian II	1	nonapical-control
f_fj4accsqwye66	Kui	repka	(&lt;rek-p-; rekt-) to break into pieces			repka	0:			dedr				d520	d520	d520	d520	reflex	0	S. Dravidian II	1	nonapical-control
f_forp7syckxzsa	Kui	sēpka (&lt; sek-p-; sēkt-)	to itch			sēpka (&lt; sek-p-; sēkt-)	0:			dedr				d2800	d2800	d2800	d2800	reflex	0	S. Dravidian II	1	
f_ftfwofn4hon26	Kui	vāpka (&lt; vāk-p-; vākt-)	to cause to leak, pour out from a small opening, sow in drills; sowing in drills			vāpka (&lt; vāk-p-; vākt-)	0:		noun	dedr				d5334	d5334	d5334	d5334	reflex	0	S. Dravidian II	1	
f_g25m63kvlg2s4	Kuwi	mur'esi pṛēnu	back-bone. DED(S) 4058			mur'esi pṛēnu	0:	Su.	dialect:Kuwi:sunkar:Sunkarametta	dedr				d4955	d4955	d4955	d4955	reflex	0	S. Dravidian II	1	short-vowel-apical
f_g4fwvnxfj45iw	Kui	tubga (&lt; tug-b-; tugd-)	to fasten a necklace; act of fastening			tubga (&lt; tug-b-; tugd-)	0:		noun	dedr				d3482	d3482	d3482	d3482	reflex	0	S. Dravidian II	1	nonapical-control
f_gmpcz42sj4bps	Kui	tija (tiji-)	to turn back, return, retreat; act of turning back, etc			tija (tiji-)	0:		noun	dedr				d3246	d3246	d3246	d3246	reflex	0	S. Dravidian II	1	nonapical-control
f_gvalmquq3u7hu	Kui	glōpka	(&lt;glōk-p-; glōkt-) to make muddy or turbid, adulterate, use bad language against; act of making turbid, adulteration			glōpka	0:		noun	dedr				d1817	d1817	d1817	d1817	reflex	0	S. Dravidian II	1	
f_gyfe5ok66oej4	Kuwi	gadde	a bamboo receptacle for storing paddy			gadde	0:	F.		dedr;F-Kuwi				d1192	d1192	d1192	d1192	reflex	0	S. Dravidian II	1	nonapical-control
f_h3cx6pl6dhtqc	Kuwi	hūpka	vomit, spittle			hūpka	0:			dedr				d3323	d3323	d3323	d3323	reflex	0	S. Dravidian II	1	
f_h6llshcx7cdda	Kui	sōmbu ( sōpka)	a species of tuberous plant somewhat like a yam or cassava			sōmbu ( sōpka)	0:		pl	dedr				d2881	d2881	d2881	d2881	reflex	0	S. Dravidian II	1	
f_hctegq7pigchg	Kui	sripka	(&lt;srik-p-; srikt-) to loosen, untie, unbind, free, release			sripka	0:			dedr				d2557	d2557	d2557	d2557	reflex	0	S. Dravidian II	1	
f_hes2ed54z3pj6	Kui	ḍōnḍi	pumpkin			ḍōnḍi	0:			dedr				d3499	d3499	d3499	d3499	reflex	0	S. Dravidian II	1	long-vowel-apical-control
f_hfquv2hdpumui	Kui	papka	(&lt;pak-p-; pakt-) to split , crack, divide, break up the earth at a first ploughing; act of splitting, cleavage			papka	0:		tr noun	dedr				d3808	d3808	d3808	d3808	reflex	0	S. Dravidian II	1	nonapical-control
f_hkbi2vxi6hfw4	Kui	ubga (&lt; ug-b-; ugd-)	to agree with, suit, fit, fulfil. DED(S) 608			ubga (&lt; ug-b-; ugd-)	0:			dedr				d710	d710	d710	d710	reflex	0	S. Dravidian II	1	nonapical-control
f_htpsvjf6iscgg	Kui	brupka	(&lt;bruk-p-; brukt-) to pluck, pluck out, pull out			brupka	0:			dedr				d4152	d4152	d4152	d4152	reflex	0	S. Dravidian II	1	
f_i4oxp3x7orv7k	Kui	põpka	(&lt;pōk-p-; pōkt-) to make known, proclaim, preach; proclamation			põpka	0:		noun	dedr				d4235	d4235	d4235	d4235	reflex	0	S. Dravidian II	1	
f_icbkubpzwktmm	Kui	puḍra	a kind of pumpkin			puḍra	0:			dedr				d4250	d4250	d4250	d4250	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster
f_idpodt7nvllg4	Kui	kōpka (&lt; kōk-p-; kōkt-)	to make less, decrease, diminish, reduce; reduction			kōpka (&lt; kōk-p-; kōkt-)	0:		noun	dedr				d1851	d1851	d1851	d1851	reflex	0	S. Dravidian II	1	
f_iqs44o4csqkzm	Kuwi	marcu	rope attaching bullock to plough. DED(S, N) 4079			marcu	0:	Ṭ.		dedr;Ṭ-Kuwi				d4976	d4976	d4976	d4976	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster
f_iski53l7zilry	Pengo	ipka	id. (intensive; &lt; ik-pa-)			ipka-	0:			dedr				d809	d809	d809	d809	reflex	0	S. Dravidian II	1	nonapical-control
f_izemgh4kdtu3a	Kuwi	hūpki	vomiting			hūpki	0:			dedr				d3323	d3323	d3323	d3323	reflex	0	S. Dravidian II	1	
f_jnn6imecxkwim	Pengo	lup gaṭ	part of the forest where the beaters are stationed			lup gaṭ	0:			dedr				d5190	d5190	d5190	d5190	reflex	0	S. Dravidian II	1	nonapical-control
f_jpuhwhr57dp4e	Kui	āmbu ( āpka)	id., arrowhead			āmbu ( āpka)	0:		pl	dedr				d178	d178	d178	d178	reflex	0	S. Dravidian II	1	
f_ju2ynpaa7czsc	Kuwi	pōdi pōti	small children, young boys and girls			pōdi pōti	0:			dedr				d4587	d4587	d4587	d4587	reflex	0	S. Dravidian II	1	
f_k2ug7y2wn3adk	Kui	grehpa (greht-)	to warm, warm by the fire, broil, foment; act of warming by the fire, fomentation			grehpa (greht-)	0:		noun	dedr				d1967	d1967	d1967	d1967	reflex	0	S. Dravidian II	1	
f_k4p5qwidbxz7i	Kui	dīpka (dīpki-)	to set down, put a pot on the fire (d&lt;-&gt; <i>Voc., Gramm.</i>140;ḍ- <i>Gramm.</i>187)			dīpka (dīpki-)	0:		pl	dedr				d502	d502	d502	d502	reflex	0	S. Dravidian II	1	
f_khj6ijwl32xmo	Kuwi	mūnjali	to sink partly			mūnjali	0:			dedr				d4993	d4993	d4993	d4993	reflex	0	S. Dravidian II	1	long-vowel-apical-control
f_kksn7nck2rqt6	Kuwi	mūressi	back-bone. DED(S) 4058			mūressi	0:	F.		dedr;F-Kuwi				d4955	d4955	d4955	d4955	reflex	0	S. Dravidian II	1	long-vowel-apical-control
f_l2gtjfhvbcotg	Kuwi	po·ke	id. (Probably*kVppokk. . .&gt;*kpōk... &gt;pōke; cf. Ko. and Konḍa.) DED(S, N) 1027			po·ke	0:			dedr				d1224	d1224	d1224	d1224	reflex	0	S. Dravidian II	1	
f_lfkwmepqr5lb6	Kuwi	hūpki aiyali	to vomit			hūpki aiyali	0:			dedr				d3323	d3323	d3323	d3323	reflex	0	S. Dravidian II	1	
f_llwexcpoazhge	Pengo	hōbga	to wash, rub, rub on (oil)			hōbga-	0:		intensive	dedr				d2872	d2872	d2872	d2872	reflex	0	S. Dravidian II	1	
f_lpx34es6dcfyg	Manda	amb ( apke)	id			amb ( apke)	0:		pl	dedr				d178	d178	d178	d178	reflex	0	S. Dravidian II	1	nonapical-control
f_ltg46ziaghap6	Kui	gōpka	(&lt;gōk-p-; gōkt-) to stretch forth, stretch the neck in order to observe something, crane the head out, put forth the ear (corn)			gōpka	0:			dedr				d2180	d2180	d2180	d2180	reflex	0	S. Dravidian II	1	
f_m7xll75wz7coy	Kui	vlēpka (&lt; vlēk-p-; vlēkt-)	to cause to expand, stretch, widen out			vlēpka (&lt; vlēk-p-; vlēkt-)	0:			dedr				d5432	d5432	d5432	d5432	reflex	0	S. Dravidian II	1	
f_manikmv6wdwyo	Kui	giva (git-)	to do, make, perform, cause; action, performance; gipka (gip ki-)			giva (git-)	0:		noun	dedr				d1957	d1957	d1957	d1957	reflex	0	S. Dravidian II	1	nonapical-control
f_mkjsnqeyhyxs6	Kui	nobga	(&lt;nog-b-; nogd-) id.; act of washing			nobga	0:		noun	dedr				d3783	d3783	d3783	d3783	reflex	0	S. Dravidian II	1	nonapical-control
f_mlvvdits4qrow	Kuwi	ambū ( apka)	arrowhead			ambū ( apka)	0:	F.	pl	dedr;F-Kuwi				d178	d178	d178	d178	reflex	0	S. Dravidian II	1	nonapical-control
f_mokpx7pejfih4	Kui	plapka (&lt; plak-p-; plakt-)	to cover with something. DEDS 638			plapka (&lt; plak-p-; plakt-)	0:			dedr				d4008	d4008	d4008	d4008	reflex	0	S. Dravidian II	1	
f_n533xrqrsxqsa	Kui	ag-b	to be seemly, be proper, be fitting, be suitable, suit, fit, agree, fulfil, suitability. DEDS 44			ag-b-	0:		noun	dedr				d325	d325	d325	d325	reflex	0	S. Dravidian II	1	nonapical-control
f_nejhxq2rpazpw	Kui	tlēpka	(&lt;tlēk-p-; tlēkt-) to put out the tongue, thrust forth from a cavity			tlēpka	0:			dedr				d3430	d3430	d3430	d3430	reflex	0	S. Dravidian II	1	
f_nijiujr5drqzi	Kuwi	hēpk	to itch. DEDS 442			hēpk-	0:	Ḍ.		dedr;Ḍ-Kuwi				d2800	d2800	d2800	d2800	reflex	0	S. Dravidian II	1	
f_nkzumj4yvchew	Kui	popka (&lt; pok-p-; pokt-)	to spill, scatter			popka (&lt; pok-p-; pokt-)	0:			dedr				d4470	d4470	d4470	d4470	reflex	0	S. Dravidian II	1	nonapical-control
f_ns7d6ejltzbu6	Kui	mūpka (&lt; mūkp-; mūkt-)	to complete, finish, accomplish			mūpka (&lt; mūkp-; mūkt-)	0:			dedr				d4891	d4891	d4891	d4891	reflex	0	S. Dravidian II	1	
f_nu2ennfwvx5fi	Kui	kṛumba (kṛumbi-)	to sink beneath, dive, plunge into; diving			kṛumba (kṛumbi-)	0:		noun	dedr				d1826	d1826	d1826	d1826	reflex	0	S. Dravidian II	1	
f_nvvqhbqbi3exk	Kuwi	dupa	small thick bushes			dupa	0:	Isr.		dedr;Isr-Kuwi				d3322	d3322	d3322	d3322	reflex	0	S. Dravidian II	1	nonapical-control
f_nwtr7qwnhvbia	Kui	tēpka	(&lt;tēk-p-; tēkt-) to vomit; vomiting			tēpka	0:		noun	dedr				d3451	d3451	d3451	d3451	reflex	0	S. Dravidian II	1	
f_odg4kc4xbuvsu	Kui	mabga (&lt; mag-b-; magd-)	to grovel, wallow, roll on the ground, roll upon, overlay			mabga (&lt; mag-b-; magd-)	0:			dedr				d4761	d4761	d4761	d4761	reflex	0	S. Dravidian II	1	nonapical-control
f_oiicp75wqj5dw	Pengo	am ( apku)	id			am ( apku)	0:		pl	dedr				d178	d178	d178	d178	reflex	0	S. Dravidian II	1	nonapical-control
f_olnyja7rvv3gy	Kui	ēpka (&lt; ēk-p-; ēkt-)	to open, open up, prize open			ēpka (&lt; ēk-p-; ēkt-)	0:			dedr				d874	d874	d874	d874	reflex	0	S. Dravidian II	1	
f_oz6lgv2vlwk5i	Kuwi	dṛa'li	(dṛapka) rag			dṛa'li	0:	F.	pl	dedr;F-Kuwi				d3032	d3032	d3032	d3032	reflex	0	S. Dravidian II	1	
f_pgdkmnvvukipi	Kuwi	silik muya	dancing-bell			silik muya	0:	Su.	dialect:Kuwi:sunkar:Sunkarametta	dedr				d5025	d5025	d5025	d5025	reflex	0	S. Dravidian II	1	short-vowel-apical
