concept	Astor	Bagrot	Bunji	ChilasJelil	ChilasKhinar	Darel	DashkinAstor	Dras	Gahorabad	Gilgit	Gultari	Gupis	Haramosh	Harban	HunzaNasirabad	Jalkot	KachuraJel	Kharmang	Kolai	NagarChalt	NagarThol	Palas	Punial	Rondu	Satpara	Sazin	Tangir
light	ˈloóko̱	ˈloóko	ˈloóko	lɑˈhokʰu̱; loóko	lɑˈhokʰu̱	lɑˈoko	ˈloóko̱	ˈloko	ˈloóko	ˈloóko	ˈloóko̱	lɑˈhʊko	ˈloóko̱	lɑˈoko	ˈloóko̱	lɑˈhoku̱; lɑˈʰoku̥	ˈloóko̱	ˈlooko	lɑˈhuko̥; lɑˈʰuko̥	ˈloóko̱	ˈloóko	lɑˈhoku̱	ˈloóko̱	ˈloóko̱	ˈloóko̱	lɑˈhuko	lɑˈhuko
meat	moós	mot͡s	moós	moós	moós	moos	moós	moos	moós	moós	moos	moós	mòót͡s; mòóz	moós	moót͡s	moós	moós	moós	moos	mòót͡s	moót͡s; moóz	mòós	moós	moos	moós	moós	moos
month	mos	mɑɑt͡s	mɑɑs	moos	moos	moos	mos	moz	mòos	mɑz	mos	moos	mɑɑt͡s; mɑɑz	moos	mɑɑz; mɑɑt͡s	moos	mos	mooz; moos	moos	moot͡s; mɑɑt͡s	mɑɑz	mõõs	moos	mɑɑz; mɑt͡s	mos	moos	moos
mother	ˈɑɑ́ǰɛ̱; mɑ	ˈɑɑ́ǰi̱	ˈɑɑ́ǰi; mɑ̃	ˈɑ̀ɑži; mɑ	ˈɑ̀ɑži; mɑ	ˈɑɑži; ˈmɑli	ˈɑɑ́ǰɛ̱; mɑ	ɑˈǰe	ˈɑɑ́ǰi; mɑ	ˈɑɑ́ǰi̱	ˈɑǰɛ̱	ˈɑɑǰi	ˈɑɑ́ǰi; mɑ̃	ˈɑye; mɑ	ˈmɑ̱mɑ̱; mɑɑ	mɑ̃; mɑɑ	ɑɑ́ǰi; mɑ̃	ˈɑɑǰɛ	mɑ; mɑɑ	ˈɑɑǰi	ɑɑ́ˈzi; ˈmɑ̃mɑ	mɑ̃	ˈɑɑ́ǰi; ˈmɑɑli	ˈɑɑǰi	ɑži; mɑ̃	ˈɑɑ́že	ˈɑɑ́ži
name	nom	nõm	nom	num; nũm	num	nõm; nom	nõm; nom	nom	nom	nom	nom	nom	nõm; nom	num; nom	nom	num	nõm; nom	nom	num	nom	nom	num	nom	nʊm	nõm; nom	nom	nom
new	nᶺũ	nɑ̃ũ	nɑu	nʌõ	nʌõ	nɑõ	nɑũ		nʌõ	nɑ̃u	ˈnɑʷo	ˈnɑwo; nɑo	nɑ̃ũ	nɑɑ	ˈnɑwo̱	nõ	nɑ̃ũ	ˈnɑo	ˈno; noo	nɑ̃ũ	nɑˈu	nõ	nɑ̃u	nɑ̃ũ	nɑ̃ũ	nʌo; noo	nɑõ
night	ˈrɑ̀ɑti̱	ˈrɑ̀ɑti̱	ˈr̃ɑ̀ɑti	ˈrɑ̀ɑti̥	ˈrɑ̀ɑti̥	ˈr̃ɑ̀ɑti	ˈrɑ̀ɑti̱	ˈrɑti	ˈrɑ̀ɑti	ˈrɑ̀ɑti	ˈrɑɑti̱	ˈrɑ̀ɑti̱	ˈrɑ̀ɑti̱	ˈrɑ̀ɑti	ˈr̃ɑ̀ɑti	ˈrɑ̀ɑti̱	ˈrɑ̀ɑti	ˈrɑɑti	ˈrɑ̀ɑti̥	ˈrɑ̀ɑti̱	ˈrɑ̀ɑti̱	rɑ̀ɑti̱	ˈrɑ̀ɑti̱	ˈrɑɑti	ˈrɑ̀ɑti	ˈrɑɑti	ˈrɑ̀ɑti
red	ˈloólo̱	loo	loo	ˈlilo; ˈlolo; lɪˈhilo	ˈlilo; ˈlolo	ˈliilo	ˈloólo̱	ˈlolo	ˈlolo	ˈloólʸo	ˈloólo̱	luˈhilo	loo; ˈlolo; ˈlowo	luˈelo; ˈlolo	luˈʷo̱	lɪ̱ˈhilo̱	ˈlolo; ˈlolʸo	ˈlolo	li̱ˈhɪlo̱	lou	ˈloⁱlu; ˈlɑⁱlu	li̱ˈhilu	ˈloólʸo̱	loo	ˈlolo	luˈhilo	luˈhilo
star	ˈtɑro	ˈtɑ̀ɑr̃o̱	ˈtɑ̀ɑr̃o̱	ˈtɑr̃o	ˈtɑr̃o	ˈtɑɑrɑ	ˈtɑro	ˈtɑro	ˈtɑr̃o	ˈtɑ̀ɑro	ˈtɑro	ˈtɑ̀ɑro	ˈtɑ̀ɑro̱	ˈtɑ̀ɑro	ˈtɑ̀ɑro̱	ˈtɑ̀ɑro̱	ˈtɑr̃o	ˈtɑro	ˈtɑ̀ɑro̱	ˈtɑ̀ɑro	ˈtɑ̀ɑro	ˈtɑ̀ɑro̱	ˈtɑ̀ɑro	ˈtɑro	ˈtɑr̃o	ˈtɑro	ˈtɑro
stone	bʌ̱ṭ	bʌṭʰ	bʌ̱ṭ	bʌṭʰ	bʌṭʰ	bʌṭ	bʌ̱ṭ	bʌṭ	bʌṭʰ	bʌ̱ṭʰ	bʌ̱ṭ	bʌ̱ṭʰ	bʌṭʰ	bʌṭ	bʌṭʰ	bʌṭʰ	bʌṭ	bʌṭ	bʌṭʰ	bʌṭʰ	bʌṭʰ	bʌṭʰ	bʌ̱ṭʰ	bʌṭ	bʌṭ	bʌṭ	bʌṭʰ
tongue	ǰɪ̱p	ǰɪp	ǰi̱p	ǰɪp	ǰɪp	ǰip	ǰɪ̱p	ǰi̱p	ǰɪp	ǰi̱p	ǰi̱p	ǰip	ǰɪp	ǰip	ǰɪp	ǰɪp	ǰ̣ɪp	ǰi̱p; ži̱p	ǰip	ǰɪp	ǰi̱b	žɪp; ǰɪp	ǰɪ̱p	ǰi̱p	žɪp	ǰip	ǰip
tooth	do̱n	do̱n	do̱n	do̱n	do̱n	don	do̱n	don	dun	do̱n	do̱n	do̱n	don	don	do̱n	do̱n	do̱n	don	do̱n	do̱n	don	do̱n	do̱n	do̱n	do̱n	do̱n	don
year	sɑl	ɑˈwelo	kɑ̀ɑl; sɑl	kɑɑ́l	kɑl	kɑɑl	sɑl; ɑˈwelo	ˈbʌẓ̌ɪṣ̌	kɑɑ́l	kɑɑ́l; ˈbʌrɪṣ̌	sɑl; ɑˈwelo	kɑl	sɑl; ɑˈwelo	kɑɑ́l	ˈkɑ̀ɑlo; iˈwelo	kɑl	kɑl; ɑˈwelo	sɑl; ɑˈwelo	kɑl	kɑ̀ɑlo̱; ɑˈwelo	sɑl; eˈwelu	kɑl	kɑl; ˈbʌ̱rɪṣ̌	kɑl; ɑˈwelo	kɑl; ɑˈwelo	kɑl	kɑɑl
