mode,concept,score,band,dardic_family_id,plains_family_id,dardic_age,plains_age,age_order
entry,MY,0.523237,Middle: 0.4–<0.6,9691,3873,Undated OIA,Undated OIA,At least one undated
entry,STONE,0.518651,Middle: 0.4–<0.6,11348,8857,Reconstructed only,Early-Vedic,At least one undated
entry,RIVER,0.51861,Middle: 0.4–<0.6,13415,6943,Early-Vedic,Early-Vedic,Same tagged era
entry,SHE,0.518519,Middle: 0.4–<0.6,12815,972,Undated OIA,Early-Vedic,At least one undated
entry,KNEE,0.517647,Middle: 0.4–<0.6,3243,4272,Reconstructed only,Reconstructed only,At least one undated
entry,WORM,0.516827,Middle: 0.4–<0.6,3438,3193,Undated OIA,Early-Vedic,At least one undated
entry,BRAIN,0.516667,Middle: 0.4–<0.6,9926,4197,Early-Vedic,Reconstructed only,At least one undated
entry,PRICE,0.516667,Middle: 0.4–<0.6,10257,6622,Epic,Classical,Dardic earlier
entry,SICKLE,0.515278,Middle: 0.4–<0.6,100,6260,Early-Vedic,Early-Vedic,Same tagged era
entry,HEAVY,0.507986,Middle: 0.4–<0.6,1962,9465,Reconstructed only,Classical,At least one undated
entry,MOUNTAIN,0.506993,Middle: 0.4–<0.6,3792,8141,Epic,Reconstructed only,At least one undated
entry,DOG,0.506916,Middle: 0.4–<0.6,3219,3275,Reconstructed only,Reconstructed only,At least one undated
entry,WHO,0.505263,Middle: 0.4–<0.6,2574,2575,Undated OIA,Undated OIA,At least one undated
entry,MONTH,0.504304,Middle: 0.4–<0.6,10104,f_vbtodh3gxxoq2,Early-Vedic,Other origin,At least one undated
entry,BRANCH,0.500526,Middle: 0.4–<0.6,12260,5546,Early-Vedic,Undated OIA,At least one undated
entry,BUY,0.494444,Middle: 0.4–<0.6,4236,3594,Early-Vedic,Early-Vedic,Same tagged era
entry,LAKE,0.494318,Middle: 0.4–<0.6,13254,8425,Early-Vedic,Epic,Dardic earlier
entry,GRANDSON,0.485625,Middle: 0.4–<0.6,8416,6955b,Early-Vedic,Early-Vedic,Same tagged era
entry,MOON,0.484211,Middle: 0.4–<0.6,5301,4661,Early-Vedic,Early-Vedic,Same tagged era
entry,THIRST,0.483333,Middle: 0.4–<0.6,5943,8199,Reconstructed only,Early-Vedic,At least one undated
entry,DAY (NOT NIGHT),0.481151,Middle: 0.4–<0.6,6333,6328,Early-Vedic,Epic,Dardic earlier
entry,COLD,0.480976,Middle: 0.4–<0.6,12487,13676,Epic,Epic,Same tagged era
entry,DAY AFTER TOMORROW,0.48,Middle: 0.4–<0.6,5912,7799j,Early-Vedic,Epic,Dardic earlier
entry,SKULL,0.48,Middle: 0.4–<0.6,2744,3936,Early-Vedic,Reconstructed only,At least one undated
entry,FORGET,0.478632,Middle: 0.4–<0.6,1265,12021,Epic,Epic,Same tagged era
entry,MOSQUITO,0.476863,Middle: 0.4–<0.6,9085,9757,Reconstructed only,Undated OIA,At least one undated
entry,ROUND,0.473333,Middle: 0.4–<0.6,8171,4321,Reconstructed only,Medieval,At least one undated
entry,BED,0.47123,Middle: 0.4–<0.6,12323,12609,Early-Vedic,Reconstructed only,At least one undated
entry,DEAF,0.468277,Middle: 0.4–<0.6,9268,9130,Undated OIA,Early-Vedic,At least one undated
entry,LEFT,0.462963,Middle: 0.4–<0.6,3832,11533,Early-Vedic,Early-Vedic,Same tagged era
entry,COW,0.457558,Middle: 0.4–<0.6,f_wb26lvatz7tcg,4147,Reconstructed only,Undated OIA,At least one undated
entry,BACK,0.452047,Middle: 0.4–<0.6,5582,8370,Reconstructed only,Undated OIA,At least one undated
entry,WALL (OF HOUSE),0.451389,Middle: 0.4–<0.6,3251,9494,Classical,Early-Vedic,Plains earlier
entry,PALM TREE,0.450658,Middle: 0.4–<0.6,5731,14029,Epic,Undated OIA,At least one undated
entry,BUTTON,0.45,Middle: 0.4–<0.6,5458,12045,Reconstructed only,Epic,At least one undated
