mode,cohort,held_out,concept,target,dardic_family_id,plains_family_id,category,families
entry,Score ≥0.4,False,SAND,Lahnda,13386,11580,Other resolved families only,10816
entry,Score ≥0.4,False,SAND,Either language,13386,11580,Other resolved families only,10816
entry,Score ≥0.4,False,OWN,Sindhi,5766,1135,No attestation,
entry,Score ≥0.4,False,OWN,Lahnda,5766,1135,"Plains family, not Dardic family",1135
entry,Score ≥0.4,False,OWN,Either language,5766,1135,"Plains family, not Dardic family",1135
entry,Score ≥0.4,False,RAW,Sindhi,1236,2613,"Plains family, not Dardic family",2613
entry,Score ≥0.4,False,RAW,Lahnda,1236,2613,No attestation,
entry,Score ≥0.4,False,RAW,Either language,1236,2613,"Plains family, not Dardic family",2613
entry,Score ≥0.4,False,BLACK,Sindhi,3451,3083,"Plains family, not Dardic family",3083
entry,Score ≥0.4,False,BLACK,Lahnda,3451,3083,"Plains family, not Dardic family",11003;3083
entry,Score ≥0.4,False,BLACK,Either language,3451,3083,"Plains family, not Dardic family",11003;3083
entry,Score ≥0.4,False,LONG,Sindhi,6368,10951,"Dardic family, not Plains family",6368
entry,Score ≥0.4,False,LONG,Lahnda,6368,10951,Both focal families,10951;6368
entry,Score ≥0.4,False,LONG,Either language,6368,10951,Both focal families,10951;6368
entry,Score ≥0.4,False,CAT,Sindhi,8298,9237,Both focal families,8298;9237
entry,Score ≥0.4,False,CAT,Lahnda,8298,9237,"Plains family, not Dardic family",9237
entry,Score ≥0.4,False,CAT,Either language,8298,9237,Both focal families,8298;9237
entry,Score ≥0.4,False,FLOWER,Sindhi,8306,9092,"Plains family, not Dardic family",9092;9297
entry,Score ≥0.4,False,FLOWER,Lahnda,8306,9092,"Plains family, not Dardic family",9092;9297
entry,Score ≥0.4,False,FLOWER,Either language,8306,9092,"Plains family, not Dardic family",9092;9297
entry,Score ≥0.4,False,SAW,Sindhi,6518,2795,"Plains family, not Dardic family",2795;4844
entry,Score ≥0.4,False,SAW,Lahnda,6518,2795,"Plains family, not Dardic family",2795
entry,Score ≥0.4,False,SAW,Either language,6518,2795,"Plains family, not Dardic family",2795;4844
entry,Score ≥0.4,False,FROG,Sindhi,9746,12159,Other resolved families only,6198
entry,Score ≥0.4,False,FROG,Lahnda,9746,12159,No attestation,
entry,Score ≥0.4,False,FROG,Either language,9746,12159,Other resolved families only,6198
entry,Score ≥0.4,False,UNCOOKED RICE,Sindhi,5637,4749,No attestation,
entry,Score ≥0.4,False,UNCOOKED RICE,Lahnda,5637,4749,Other resolved families only,6778
entry,Score ≥0.4,False,UNCOOKED RICE,Either language,5637,4749,Other resolved families only,6778
entry,Score ≥0.4,False,WOOL,Sindhi,7638,2424,"Plains family, not Dardic family",2424
entry,Score ≥0.4,False,WOOL,Lahnda,7638,2424,"Plains family, not Dardic family",2424
entry,Score ≥0.4,False,WOOL,Either language,7638,2424,"Plains family, not Dardic family",2424
entry,Score ≥0.4,False,FIRE,Sindhi,125,55,"Plains family, not Dardic family",55;9706
entry,Score ≥0.4,False,FIRE,Lahnda,125,55,Other resolved families only,5767;9480
entry,Score ≥0.4,False,FIRE,Either language,125,55,"Plains family, not Dardic family",55;5767;9480;9706
entry,Score ≥0.4,False,WATER,Sindhi,1921,8082,"Plains family, not Dardic family",5155;8082
entry,Score ≥0.4,False,WATER,Lahnda,1921,8082,"Plains family, not Dardic family",5155;7552;8082
entry,Score ≥0.4,False,WATER,Either language,1921,8082,"Plains family, not Dardic family",5155;7552;8082
entry,Score ≥0.4,False,BE ALIVE,Sindhi,5244,5241,"Plains family, not Dardic family",5241;5247;7397
entry,Score ≥0.4,False,BE ALIVE,Lahnda,5244,5241,Both focal families,5241;5244
entry,Score ≥0.4,False,BE ALIVE,Either language,5244,5241,Both focal families,5241;5244;5247;7397
entry,Score ≥0.4,False,BEAR,Sindhi,2445,9415,No attestation,
entry,Score ≥0.4,False,BEAR,Lahnda,2445,9415,Other resolved families only,13304;5102
entry,Score ≥0.4,False,BEAR,Either language,2445,9415,Other resolved families only,13304;5102
entry,Score ≥0.4,False,TIE,Sindhi,4353,9139,"Plains family, not Dardic family",2965;9139
entry,Score ≥0.4,False,TIE,Lahnda,4353,9139,"Plains family, not Dardic family",12132;9126;9139
entry,Score ≥0.4,False,TIE,Either language,4353,9139,"Plains family, not Dardic family",12132;2965;9126;9139
entry,Score ≥0.4,False,SNAKE,Sindhi,5110,13271,"Plains family, not Dardic family",13271
entry,Score ≥0.4,False,SNAKE,Lahnda,5110,13271,"Plains family, not Dardic family",13271;3193
entry,Score ≥0.4,False,SNAKE,Either language,5110,13271,"Plains family, not Dardic family",13271;3193
entry,Score ≥0.4,False,CLOUD,Sindhi,549,11567,"Plains family, not Dardic family",11567;f_awzexkx3bkegs
entry,Score ≥0.4,False,CLOUD,Lahnda,549,11567,No attestation,
