ID,Language_ID,Form,Gloss,Tags,entry_family_id
12217,Indo-Aryan,vyāhāra,"utterance, talk",m Kāv Classical,12217
12218,Indo-Aryan,vyutpādayati,causes to arise,BhP Medieval,12218
12219,Indo-Aryan,vyúṣ,dawn,f AV Early-Vedic,12219
12220,Indo-Aryan,vyuṣati,burns,Dhātup Epic,12220
12221,Indo-Aryan,*vyūna,"deficient, small",,12221
12221-2,Indo-Aryan,*viyūna,,,12221
12223,Indo-Aryan,vyḕti,goes away,RV Early-Vedic,12223
12223-2,Indo-Aryan,viyánt,,RV Early-Vedic,12223
12223-3,Indo-Aryan,vīta,,,12223
12223-4,Indo-Aryan,vyēṣyati,,,12223
12225,Indo-Aryan,vrájati,"goes, wanders",RV Early-Vedic,12225
12225-2,Indo-Aryan,*vrañjati,,,12225
12225-3,Indo-Aryan,*vrajyati,,,12225
12225-4,Indo-Aryan,*vagga,,,12225
12225-5,Indo-Aryan,*vracc,moves,RV Early-Vedic,12225
12226,Indo-Aryan,*vrajastʰāna,cowpen,,12226
12227,Indo-Aryan,vraṇá,"abscess, boil, scar",m Mn Epic,12227
12230,Indo-Aryan,*vrāṇa,sheep,,12230
12232,Indo-Aryan,vrīḍita,"ashamed, bashful",MBh Epic,12232
12232-2,Indo-Aryan,vrīḍā,"shame, modesty",f MBh Epic,12232
12233,Indo-Aryan,vrīhí,rice,m AV Early-Vedic,12233
12234,Indo-Aryan,vlēpita,,pp,12234
12236,Indo-Aryan,śákaṭa,cart,n ŚāṅkhŚr Late-Vedic,12236
12236-2,Indo-Aryan,*śaggaṭa,,,12236
12236-3,Indo-Aryan,*śakkaṭa,,,12236
12241,Indo-Aryan,*śakara,dung,,12241
12243,Indo-Aryan,śákala,"chip, fragment, log; potsherd, half an eggshell",m TS Mn Early-Vedic Epic,12243
12244,Indo-Aryan,śákā,a kind of bird or fly or long-eared animal,f VS Early-Vedic,12244
12245,Indo-Aryan,śakuná,bird,m,12245
12249,Indo-Aryan,śakta,"competent, able",Mn Epic,12249
12250,Indo-Aryan,śákti-,power,,12250
12252,Indo-Aryan,śaknṓti,is able,RV Early-Vedic,12252
12256,Indo-Aryan,śakvara,bull,,12256
12257,Indo-Aryan,śáŋkatē,"is afraid, distrusts",ŚBr Early-Vedic,12257
12257-2,Indo-Aryan,*saŋkatēaya-,"is afraid, distrusts",caus,12257-2
12258,Indo-Aryan,śaŋkā́,"fear, distrust",f ŚBr Early-Vedic,12258
12258-2,Indo-Aryan,*śāŋka,,,12258
1226,Indo-Aryan,ā́bʰavati,"is present, exists",RV Early-Vedic,1226
12260,Indo-Aryan,śaŋkú,"peg, spike; stake, post; stick, arrow",RV MBh Hariv Early-Vedic Epic Classical,12260
12261,Indo-Aryan,śaŋkuci,skate-fish,m lex,12261
12262,Indo-Aryan,śaŋkura,frightful,lex,12262
12264,Indo-Aryan,śaŋkʰa,temporal bone or frontal bone; part of an elephant's head between the tusks,Yājñ lex Classical,12264
12266,Indo-Aryan,*śaŋkʰahanu,temple and chin,,12266
12268,Indo-Aryan,śáṭati,"disintegrates, is ill",Dhātup Epic,12268
12269,Indo-Aryan,śaṭati,goes,Dhātup Epic,12269
12269-2,Indo-Aryan,*śāṭayati,drives,,12269
12270,Indo-Aryan,*śaṭṭa,defective,,12270
12270-2,Indo-Aryan,śaṭʰa,"deceitful; cheat, fool, idler",W,12270
12270-3,Indo-Aryan,śaṇṭʰá,"rogue, fool; impotent",lex,12270
12270-4,Indo-Aryan,*śaṇṭʰara,,,12270
12270-5,Indo-Aryan,ṣaṇḍʰá,,,12270
12272,Indo-Aryan,śaṇá,hemp,m AV Early-Vedic,12272
12278,Indo-Aryan,śatá,100,n RV Early-Vedic,12278
1228,Indo-Aryan,ābʰāṇaka,"saying, proverb",m lex,1228
12281,Indo-Aryan,śatápad,having a hundred feet; centipede,RV Suśr Early-Vedic Classical,12281
12283,Indo-Aryan,śatapuṣpa,having 100 flowers; Anethum sowa,MBh Suśr Epic Classical,12283
12283-2,Indo-Aryan,*śatampuṣpa,,AV Early-Vedic,12283
12283-3,Indo-Aryan,*śatatama-,,,12283
12284,Indo-Aryan,*śatambʰara,full hundred,,12284
12287c,Indo-Aryan,*śanaiścara,slow-moving; Saturn,Bhartr̥ MBh Classical Epic,12287c
12288,Indo-Aryan,śanna,"fallen, decayed",Nir Early-Vedic,12288
12288-2,Indo-Aryan,*śatta,,,12288
12289,Indo-Aryan,śápati,"curses, swears; reviles",RV Yājñ Early-Vedic Classical,12289
12290,Indo-Aryan,śapátʰa,curse; vow,m RV MBh Early-Vedic Epic,12290
12291,Indo-Aryan,śapita,cursed,R Epic,12291
12292,Indo-Aryan,śaptá,"cursed, adjured; curse; oath",MBh TBr R Epic Early-Vedic,12292
12293,Indo-Aryan,śápyati,curses,Bhaṭṭ Classical,12293
12294,Indo-Aryan,śapva,abuse,m lex,12294
12298,Indo-Aryan,śábda,"articulate sound, noise",m ŚBr Early-Vedic,12298
1230,Indo-Aryan,*ābʰiṭ,meet,,1230
1230-2,Indo-Aryan,*ābʰēṭ,,,1230
12300,Indo-Aryan,śabdayati,calls,,12300
12300-2,Indo-Aryan,śabdāpayati,,R Epic,12300
12301,Indo-Aryan,śáma,tame; peace,RV Mn Early-Vedic Epic,12301
12302,Indo-Aryan,*śamati,is allayed,ŚBr R Kauś Early-Vedic Epic,12302
12307,Indo-Aryan,śamitā,rice-powder,f lex,12307
12308,Indo-Aryan,śamī́,the tree Prosopis spicigera or Mimosa suma (used in kindling fire),AV Early-Vedic,12308
12308-2,Indo-Aryan,*śāmika,,KātyŚr Early-Vedic,12308
12311,Indo-Aryan,śámba,weapon used by Indra; iron head of pestle,m RV lex Early-Vedic,12311
12314,Indo-Aryan,śambara,a kind of deer,m,12314
12316,Indo-Aryan,śambu,bivalve shell,m,12316
12316-2,Indo-Aryan,śambukka,,m,12316
12318,Indo-Aryan,*śamyākīla,yoke-pin,,12318
12318-2,Indo-Aryan,*śamiyākīla,,,12318
1232,Indo-Aryan,ābʰīra,name of a people; herdsman,m MBh Mn Epic,1232
12323,Indo-Aryan,śáyana,"lying down, bed",n ŚBr Early-Vedic,12323
12324,Indo-Aryan,śará,"reed from which arrows are made; the reed Saccharum sara, arrow",RV Early-Vedic,12324
12326,Indo-Aryan,śaraṇá,"protecting; shelter, home",n RV Early-Vedic,12326
12326-2,Indo-Aryan,*śarṇa,,,12326
12328,Indo-Aryan,*śarati,"is broken, falls",,12328
12328-2,Indo-Aryan,*śalati,,,12328
12329,Indo-Aryan,śarád,autumn,f RV Early-Vedic,12329
12329-2,Indo-Aryan,*śaradda,,,12329
12331,Indo-Aryan,śarabʰá,a kind of deer,AV Early-Vedic,12331
12331-2,Indo-Aryan,*śalabʰa,,,12331
12332,Indo-Aryan,śáras,"cream, skin on boiled milk; thin layer of ashes",n VS TBr Early-Vedic,12332
12335,Indo-Aryan,śárīra,body,n RV Early-Vedic,12335
12336,Indo-Aryan,śáru,missile; arrow,m RV AV Early-Vedic,12336
12337,Indo-Aryan,śárkarā,"gravel, grit",AV Early-Vedic,12337
12338,Indo-Aryan,śarkarā,candied sugar,Hariv Classical,12338
12339,Indo-Aryan,śárya,arrow,m RV Early-Vedic,12339
12340,Indo-Aryan,*śaryārūpa,porcupine,,12340
12343,Indo-Aryan,śalá,"staff; dart, spear",TBr lex Early-Vedic,12343
12345,Indo-Aryan,*śalakka,grasshopper,,12345
12345-2,Indo-Aryan,*śalaŋka,,,12345
12347,Indo-Aryan,śalabʰá,"grasshopper, locust, moth (?)",MBh Epic,12347
12347-2,Indo-Aryan,śarabʰa,,,12347
12348,Indo-Aryan,śalalī́,porcupine-quill,f AV Early-Vedic,12348
12348-2,Indo-Aryan,*śālala,porcupine,,12348
12349,Indo-Aryan,śalā́kā,any small stake or stick,f ŚBr Early-Vedic,12349
1235,Indo-Aryan,ām,yes,Pāṇ Epic,1235
1235-2,Indo-Aryan,ām ēva,,,1235
12350,Indo-Aryan,śálka,"chip, shaving; fish-scale; bark",m TS Mn lex Early-Vedic Epic,12350
12351,Indo-Aryan,śalmalí,the silk cotton tree Bombax heptaphyllum,m RV Early-Vedic,12351
12351-2,Indo-Aryan,śimbalá,flower or fruit of some plant (B. heptaphyllum ac. to Sāy.),m RV Early-Vedic,12351
12351-3,Indo-Aryan,*śaimbala,,,12351
12352,Indo-Aryan,śalyá,"arrow, javelin; anything lodged in the body and causing pain (applied inter alia to dead foetus)",RV Suśr Early-Vedic Classical,12352
12353,Indo-Aryan,śályaka,porcupine,m VS Early-Vedic,12353
12353-2,Indo-Aryan,*śaryaka,,,12353
12353-3,Indo-Aryan,*śariyaka,,,12353
12354,Indo-Aryan,śalyayati,"hurts, torments",,12354
12356,Indo-Aryan,śáva,corpse,m ŚBr Early-Vedic,12356
12356-2,Indo-Aryan,*cʰava,,,12356
12357,Indo-Aryan,śaśá,hare,m RV Early-Vedic,12357
12359,Indo-Aryan,śaśadʰara,moon,m Kāv Classical,12359
1236,Indo-Aryan,āmá,raw,RV Early-Vedic,1236
12361,Indo-Aryan,śaśāda,a partic. bird of prey,m lex,12361
12362,Indo-Aryan,śaśādana,the brown hawk,,12362
12363,Indo-Aryan,śaśin,moon,m ŚvetUp Epic,12363
12365,Indo-Aryan,śastá,recited; auspicious; beautiful,RV AV R Early-Vedic Epic,12365
12367,Indo-Aryan,śastrá,instrument for cutting; iron,n ŚBr lex Early-Vedic,12367
12368,Indo-Aryan,śasya,to be slaughtered,Vop Medieval,12368
12369,Indo-Aryan,śāka,the teak tree Tectona grandis,Gr̥Śr Early-Vedic,12369
12369-2,Indo-Aryan,*sākkʰu,,,12369
12369-3,Indo-Aryan,*sāggu,,,12369
12370,Indo-Aryan,śāka,"potherb, vegetable",Gr̥Śr Early-Vedic,12370
12370-2,Indo-Aryan,*śākin,vegetable grower,,12370
12374,Indo-Aryan,*śākavanya,teak forest,,12374
12374-2,Indo-Aryan,*sāgguvanya,,,12374
12375,Indo-Aryan,śākya,a Kṣatriya clan in Kapilavastu to which the Buddha belonged,m,12375
12375-2,Indo-Aryan,śākiya,,,12375
12376,Indo-Aryan,śā́kʰā,branch,f RV Early-Vedic,12376
12379,Indo-Aryan,śākʰyá,"belonging to or resembling a branch, branching",Pāṇ Epic,12379
12380,Indo-Aryan,śāŋkʰika,relating to a shell,W,12380
12380-2,Indo-Aryan,*śāŋkʰinī,,Bālar Medieval,12380
12381,Indo-Aryan,śāṭa,strip of cloth,,12381
12382,Indo-Aryan,*śāṭa,"falling, rotting",,12382
12383,Indo-Aryan,*śāṭayati,"makes fall, makes disintegrate",,12383
12384,Indo-Aryan,śāṇá,"hempen, flaxen",ŚBr Early-Vedic,12384
12384-2,Indo-Aryan,śāṇī,hempen cloth,f MBh Epic,12384
12385,Indo-Aryan,śātayati,causes to fall,MBh Epic,12385
12386,Indo-Aryan,*śātra,instrument for whetting,,12386
12387,Indo-Aryan,śādvalá,abounding in fresh grass; grassy spot,n Gr̥S Early-Vedic,12387
12388,Indo-Aryan,śāna,whetstone,m,12388
12389,Indo-Aryan,*śānayati,whets,,12389
12390,Indo-Aryan,śāntá,abated; calm,ŚBr Up Early-Vedic,12390
12393,Indo-Aryan,śāpa,"curse, abuse",m MBh Epic,12393
12398,Indo-Aryan,śā́myati,comes to rest,TS Early-Vedic,12398
124,Indo-Aryan,*aŋgahōla,washing the body,,124
12401,Indo-Aryan,śāráŋga,spotted; a kind of deer; the Indian cuckoo,ŚBr Br Kālid Suśr Early-Vedic Classical,12401
12402,Indo-Aryan,śāradá,"autumnal; year, name of various plants; corn or fruit ripening in autumn",AV lex VarBr̥S Early-Vedic Classical,12402
12403,Indo-Aryan,śā́radika,autumnal,Pāṇ Epic,12403
12404,Indo-Aryan,śārayati,causes to be broken,Gr,12404
12408,Indo-Aryan,śārkará,gravelly,Pāṇ Epic,12408
12409,Indo-Aryan,śārŋga,made of horn; bow,Suśr MBh Classical Epic,12409
1241,Indo-Aryan,ā́mana,friendliness,n TS Early-Vedic,1241
12411,Indo-Aryan,śārdūlá,tiger,m VS Early-Vedic,12411
12414,Indo-Aryan,śā́lā,"shed, stable, house",f AV Early-Vedic,12414
12415,Indo-Aryan,śāli,growing or unhusked rice; grains of rice,m MBh R Epic,12415
12417,Indo-Aryan,śāva,young of an animal,m MBh Epic,12417
12418,Indo-Aryan,*śāśarīti,satisfies,,12418
12419,Indo-Aryan,śā́sati,"instructs, punishes, rules",RV MBh Early-Vedic Epic,12419
1242,Indo-Aryan,āmantrayatē,summons; invites,TBr MBh Early-Vedic Epic,1242
1242-2,Indo-Aryan,āmántraṇa,calling to; deliberation; invitation,n ŚBr AV Yājñ Early-Vedic Classical,1242
12420,Indo-Aryan,śā́sana,instructing; command; punishment; royal edict,n RV Mn Yājñ Early-Vedic Epic Classical,12420
12424,Indo-Aryan,śiṁśápā,the tree Dalbergia sissoo,f AV Early-Vedic,12424
12426,Indo-Aryan,śiṁśumā́ra,"porpoise, Delphinus gangeticus; crocodile",m RV Suśr Early-Vedic Classical,12426
12426-2,Indo-Aryan,śiṁśuka,an aquatic animal; porpoise,MBh lex Epic,12426
12427,Indo-Aryan,śikyà,rope-sling for carrying things,n AV Early-Vedic,12427
12427-2,Indo-Aryan,*cʰikya,,,12427
12427-3,Indo-Aryan,*sikyaḍa-,rope-sling for carrying things,ext:ḍa,12427-3
12430,Indo-Aryan,śíkṣatē,learns,RV Early-Vedic,12430
12431,Indo-Aryan,śikṣayati,informs,Mn Epic,12431
12432,Indo-Aryan,śikṣā,"learning, study; punishment",f MBh Nyāyam Epic,12432
12433,Indo-Aryan,śikṣya,to be taught,W,12433
12434,Indo-Aryan,śikʰaṇḍá,tuft of hair left on sides or crown of head at tonsure,m TS Early-Vedic,12434
12435,Indo-Aryan,śikʰará,"point, peak; erection of hair on body, armpit",m MBh lex Epic,12435
12435-2,Indo-Aryan,*śikkʰara,,,12435
12438,Indo-Aryan,śitá,"whetted, sharp",RV Early-Vedic,12438
12442,Indo-Aryan,śipavitnuká,a kind of worm,m AV Early-Vedic,12442
12443,Indo-Aryan,śipʰā,fibrous or flexible root,f Mn Epic,12443
12445,Indo-Aryan,śimba,"pod, legume",m Suśr Classical,12445
12445-2,Indo-Aryan,*cʰimba,,,12445
12447,Indo-Aryan,*śiyant,being sharp,,12447
12448,Indo-Aryan,*śiraanta,head-end,,12448
12449,Indo-Aryan,*śiraādʰāna,resting-place for the head,,12449
12451,Indo-Aryan,*śirapāda,head and foot,,12451
12451-2,Indo-Aryan,*śairapāda,,,12451
12452,Indo-Aryan,śíras,head,n RV Early-Vedic,12452
12456,Indo-Aryan,*śirōvāla,hair of head,,12456
12457,Indo-Aryan,*śirōvyādʰi,headache,,12457
12458,Indo-Aryan,śila,gathering stalks and ears of corn,n Mn Epic,12458
12458-2,Indo-Aryan,*śilla,,,12458
12459,Indo-Aryan,śilā́,"rock, crag; lower millstone",f AV lex Early-Vedic,12459
12459-2,Indo-Aryan,*śillā,,,12459
12465,Indo-Aryan,śili,lower timber of a door,,12465
12466,Indo-Aryan,śilī,"dart, arrow",f MW,12466
12466-2,Indo-Aryan,*śēlla,,,12466
12468,Indo-Aryan,śilīndʰra,plaintain tree; mushroom,lex Hariv Classical,12468
1247,Indo-Aryan,āmalaka,the small tree Phyllanthus emblica or myrobalan; its fruit,m n ChUp Early-Vedic,1247
12475,Indo-Aryan,śíśira,"cold; cold season; coldness, dew",R AV MBh Epic Early-Vedic,12475
12476,Indo-Aryan,śíśu,"young of an animal, child",m RV Early-Vedic,12476
12478,Indo-Aryan,śiṣṭa,"left, remaining; remnant",AV ŚBr Early-Vedic,12478
12478-2,Indo-Aryan,*śaiṣtya,,,12478
12481,Indo-Aryan,śiṣṭi,direction; punishment,Gaut Early-Vedic,12481
12482,Indo-Aryan,śiṣya,pupil,m ṢaḍvBr Early-Vedic,12482
12484,Indo-Aryan,śīgʰrá,quick,VS Early-Vedic,12484
12485,Indo-Aryan,śītá,cold,RV Early-Vedic,12485
12485-2,Indo-Aryan,*sītaḍ-,cold,ext:ḍ,12485-2
12486,Indo-Aryan,śītakāla,cold season,m Suśr Classical,12486
12487,Indo-Aryan,śītalá,cold,MBh Epic,12487
12488,Indo-Aryan,śītalayati,cools,Prasannar,12488
12490,Indo-Aryan,śītalā,smallpox,,12490
12492,Indo-Aryan,śīná,"frozen, congealed; ice",Pāṇ VS Epic Early-Vedic,12492
12493,Indo-Aryan,śī́pāla,the waterweed Blyxa octandra; abounding in it,m RV AV Early-Vedic,12493
12493-2,Indo-Aryan,śḗvāla,the plant,m Dharmaś,12493
12494,Indo-Aryan,śī́yatē,falls,AV Early-Vedic,12494
12494-2,Indo-Aryan,*śīna,,,12494
12497,Indo-Aryan,śīrṣá,"head, skull",n AV Early-Vedic,12497
12498a,Indo-Aryan,*śīrṣarōga,headache,MBh Epic,12498a
125,Indo-Aryan,áŋgāra,glowing charcoal,m RV Early-Vedic,125
125-2x,Indo-Aryan,*iŋgāra,,,125
12500,Indo-Aryan,śīrṣānta,head of a bed,m Kathās Medieval,12500
12501,Indo-Aryan,śī́la,"habit, nature; virtue",n VS Mn Early-Vedic Epic,12501
12502,Indo-Aryan,śīlayati,"practises repeatedly, cultivates",,12502
12503,Indo-Aryan,śúka,parrot,m RV Early-Vedic,12503
12504,Indo-Aryan,śuktá,become acid or sour; anything fermented or sour,ŚBr Gaut Early-Vedic,12504
12504-2,Indo-Aryan,*śuktala,,,12504
12505,Indo-Aryan,śukti,oyster shell,f Kauś Early-Vedic,12505
12505-2,Indo-Aryan,śaukta,made of mother-of-pearl,Hcat Medieval,12505
12506,Indo-Aryan,śukrá,bright; brightness; the planet Venus,n RV MBh Early-Vedic Epic,12506
12506-3,Indo-Aryan,*sukral-,bright; brightness; the planet Venus,ext:l,12506-3
12507,Indo-Aryan,śukravāra,Friday,m,12507
12508,Indo-Aryan,*śukṣa,drying up,,12508
12510,Indo-Aryan,śúci,"bright, pure; purification",RV Kāv Early-Vedic Classical,12510
12511,Indo-Aryan,*śucya,to be purified,,12511
12512,Indo-Aryan,śúcyati,"is purified, burns, decays; rots",Vop Dhātup Medieval Epic,12512
12512a,Indo-Aryan,*śuṭ,stealth,,12512a
12512a-2,Indo-Aryan,*śuṭṭ,,,12512a
12513,Indo-Aryan,*śuḍa,defective,,12513
12513-2,Indo-Aryan,śuṇṭʰá,epithet of cow or bull (small?),TS Early-Vedic,12513
12513-3,Indo-Aryan,*śuṇḍʰa,,,12513
12513-4,Indo-Aryan,*śūḍʰa,,,12513
12513-5,Indo-Aryan,*śōṭṭʰa,,,12513
12513-6,Indo-Aryan,śōṭʰa,"foolish, lazy",lex,12513
12513-7,Indo-Aryan,*śōṇṭʰa,,,12513
12513-8,Indo-Aryan,*śōla,,,12513
12515,Indo-Aryan,śuṇṭʰī,dry ginger,VarBr̥S ŚārṅgS Classical Medieval,12515
12515-2,Indo-Aryan,*śōṇṭʰī,,,12515
12516,Indo-Aryan,śuṇḍā,elephant's trunk,MBh Epic,12516
12518,Indo-Aryan,*śuṇḍāpuṭa,nostril,,12518
1252,Indo-Aryan,*āmārayati,rubs,,1252
12520,Indo-Aryan,śuddʰá,"clean, bright, white; pure, true",RV Mn Early-Vedic Epic,12520
12521,Indo-Aryan,*śuddʰakāra,making clean,,12521
12522,Indo-Aryan,*śuddʰācāra,of virtuous conduct,,12522
12523,Indo-Aryan,śúddʰi,"cleansing, purity; verification, truth; certainty; information, news",f TBr Yājñ Mn Early-Vedic Classical Epic,12523
12525,Indo-Aryan,*śudʰya,to be made pure,,12525
12526,Indo-Aryan,*śudʰyakāra,making pure,,12526
12527,Indo-Aryan,śúdʰyati,is purified,ṢaḍvBr VS Early-Vedic,12527
12527-2,Indo-Aryan,*sudʰyayati,is purified,caus,12527-2
12527-3,Indo-Aryan,*sudʰyaḍati,is purified,ext:ḍ,12527-3
12528,Indo-Aryan,śuna,dog,m lex,12528
12528-2,Indo-Aryan,śunī́,,f,12528
12528-3,Indo-Aryan,*śunakʰa,,,12528
12528-4,Indo-Aryan,*sunal-,dog,ext:l,12528-4
12529,Indo-Aryan,*śunamūtra,dog's urine,,12529
12530,Indo-Aryan,śúndʰati,purifies,RV Early-Vedic,12530
12530-2,Indo-Aryan,*śundʰyatē,,,12530
12532,Indo-Aryan,śubʰa,"bright, auspicious; good; anything bright, welfare",Mn ŚvetUp Kauś Epic Early-Vedic,12532
12532-2,Indo-Aryan,*subʰall-,"bright, auspicious; good; anything bright, welfare",ext:ll,12532-2
12536,Indo-Aryan,śubʰāná,bright,RV Early-Vedic,12536
12537,Indo-Aryan,śubʰāyatē,is a great blessing to,,12537
12538,Indo-Aryan,*śubʰyati,is bright,,12538
12539,Indo-Aryan,śubʰrá,"bright, beautiful; white; silver, crystal, rock salt",RV Mn Early-Vedic Epic,12539
12540,Indo-Aryan,śúbʰvan,splendid,RV Early-Vedic,12540
12541,Indo-Aryan,*śumbʰaka,bright,,12541
12542,Indo-Aryan,śumbʰáti,shines,RV Early-Vedic,12542
12543,Indo-Aryan,śulká,"price, value; tax, toll; dowry",n RV AV Gaut Early-Vedic,12543
12543-2,Indo-Aryan,*cuŋga,,,12543
12545,Indo-Aryan,*śuṣati,"hisses, pants",,12545
12545-2,Indo-Aryan,*śuṣyati,,,12545
12546,Indo-Aryan,śuṣi,drying,lex,12546
12547,Indo-Aryan,śuṣi,*breath,lex,12547
12548,Indo-Aryan,śúṣka,dried,RV Early-Vedic,12548
12548-2,Indo-Aryan,*suṣkall-,dried,ext:ll,12548-2
1255,Indo-Aryan,*āmilati,"meets together, tangles",,1255
12551,Indo-Aryan,*śuṣkataṭī,dry slope,,12551
12552,Indo-Aryan,*śuṣkati,becomes dry,inf,12552
12552-2,Indo-Aryan,*suṣkayati,becomes dry,caus,12552-2
12555,Indo-Aryan,*śuṣṭa,dried,,12555
12557,Indo-Aryan,*śuṣṇakāra,making hot,,12557
12559,Indo-Aryan,śúṣyati,becomes dry,AV Early-Vedic,12559
12559-2,Indo-Aryan,*śuṣati,,Pāṇ Epic,12559
1256,Indo-Aryan,āmiṣá,flesh,n,1256
12560,Indo-Aryan,śūka,"awn of grain; bristle, spike (esp. of insects)",m R W Epic,12560
12562,Indo-Aryan,*śūḍʰa,purified,,12562
12565,Indo-Aryan,śūná,"swollen, grown",Suśr Classical,12565
12567,Indo-Aryan,śūnyá,empty,ŚBr Early-Vedic,12567
12567-2,Indo-Aryan,*śūniya,,,12567
12568,Indo-Aryan,śūyatē,is swollen,Car Epic,12568
12569,Indo-Aryan,śū́ra,"strong, valiant; hero",m RV Early-Vedic,12569
1257,Indo-Aryan,*āmiṣagandʰika,smelling of raw flesh,,1257
12572,Indo-Aryan,śūrtá,"crushed, broken",RV Early-Vedic,12572
12573,Indo-Aryan,śū́rpa,winnowing basket,n VS Early-Vedic,12573
12575,Indo-Aryan,śū́la,"spike, spit; impaling stake; any sharp pain, esp. colic",m RV Mn ŚārṅgS Early-Vedic Epic Medieval,12575
12576,Indo-Aryan,śūlatē,hurts,intr Car Epic,12576
12576-2,Indo-Aryan,śūlyati,,,12576
12576-3,Indo-Aryan,*śūlāyati,,,12576
12577,Indo-Aryan,*śūṣa,blowing,,12577
12577-2,Indo-Aryan,*śūṣya,,,12577
12578,Indo-Aryan,śr̩gālá,jackal,,12578
12579,Indo-Aryan,*śr̩ŋkʰati,smells,,12579
12580,Indo-Aryan,śr̩ŋkʰala,chain,m MārkP Medieval,12580
12582,Indo-Aryan,śr̩ŋkʰāṇikā,mucus of the nose,f,12582
12582-2,Indo-Aryan,*śr̩ŋkʰa,,,12582
12582-3,Indo-Aryan,śiṁhāṇa,,,12582
12583,Indo-Aryan,śŕ̩ŋga,horn,n RV Early-Vedic,12583
12584,Indo-Aryan,*śr̩ŋgadrōṇa,horn-bow,,12584
12588,Indo-Aryan,śr̩ŋgavēra,dried or fresh ginger,n Suśr Classical,12588
12590,Indo-Aryan,śr̩ŋgāṭa,the water-chestnut Trapa bispinosa,m lex,12590
12591,Indo-Aryan,*śr̩ŋgāsana,seat of horns,,12591
12592,Indo-Aryan,śŕ̩ŋgāra,"sexual desire; amorous pursuits, finery",n lex MBh Epic,12592
12593,Indo-Aryan,*śr̩ŋgārayati,adorns,,12593
12593-2,Indo-Aryan,śr̩ŋgārita,,Śiś Classical,12593
12597,Indo-Aryan,śr̩ṇā́ti,"crushes, breaks",RV Early-Vedic,12597
12598,Indo-Aryan,śr̩ṇṓti,hears,RV Early-Vedic,12598
126,Indo-Aryan,aŋgāraka,*red like embers; charcoal; name of various plants; the planet Mars,m,126
1260,Indo-Aryan,āmuñcati,puts off or on; discharges; puts on (clothes),MBh Kālid Epic Classical,1260
1260-2,Indo-Aryan,*āmucati,,,1260
1260-3,Indo-Aryan,*āmukna,,MBh Epic,1260
12600,Indo-Aryan,*śr̩taśītala,boiled and cooled again,,12600
12601,Indo-Aryan,*śr̩tʰilá,"loose, slack",,12601
12602,Indo-Aryan,*śr̩tʰilayati,loosens,,12602
12605,Indo-Aryan,śḗtē,lies down; sleeps; remains unused,RV Gr̥Śr TS Early-Vedic,12605
12605-2,Indo-Aryan,áśayat,,,12605
12607,Indo-Aryan,śēpyā́,*tail,f Kauś com Early-Vedic Medieval,12607
12609,Indo-Aryan,*śēyyā,bed,f,12609
12610,Indo-Aryan,śēlu,the tree Cordia myxa,,12610
12611,Indo-Aryan,śēṣa,remaining; remainder,Mn KātyŚr Epic Early-Vedic,12611
12613,Indo-Aryan,*śaitala,relating to cold,,12613
12613-2,Indo-Aryan,*śaitalya,coldness,,12613
12614,Indo-Aryan,śaítya,coldness,n Yājñ Classical,12614
12614-2,Indo-Aryan,*śaitiya,,,12614
12615,Indo-Aryan,śaimbya,pertaining to legumes,KātyŚr Early-Vedic,12615
12615-2,Indo-Aryan,*śaimbiya,,,12615
12616,Indo-Aryan,śaila,"made of stone, rocky; rock, hill",m MBh Epic,12616
12618,Indo-Aryan,*śō,orphan,,12618
12618-2,Indo-Aryan,*śōruṇḍa,,,12618
12619,Indo-Aryan,śṓka,"heat, pain, sorrow",m RV Early-Vedic,12619
1262,Indo-Aryan,*āmuhyati,is bewildered,,1262
1262-2,Indo-Aryan,*āmūḍʰa,,,1262
12621,Indo-Aryan,śōcyatē,is made to feel pain; is purified,Kālid Kathās Classical Medieval,12621
12622,Indo-Aryan,*śōṭṭʰa,stick,,12622
12622-2,Indo-Aryan,*śōṭʰa-,,,12622
12622-3,Indo-Aryan,*śōttʰa,,,12622
12623,Indo-Aryan,śṓṇa,"red, crimson, purple; yellow; Bignonia indica, red sugar-cane",RV lex Early-Vedic,12623
12625,Indo-Aryan,śōṇita,blood,n Gr̥Śr Early-Vedic,12625
12626,Indo-Aryan,śṓddʰum,to purify,,12626
12628,Indo-Aryan,*śōdʰakāra,making clean,,12628
12628-2,Indo-Aryan,*śōdʰakara,,,12628
12629,Indo-Aryan,śōdʰana,cleaning,Mn Epic,12629
1263,Indo-Aryan,āmr̩jati,"rubs, wipes",MBh Epic,1263
12630,Indo-Aryan,śōdʰáyati,purifies; removes anything obnoxious,TS Mn Early-Vedic Epic,12630
12631,Indo-Aryan,*śōdʰi,purifying,,12631
12632,Indo-Aryan,śōdʰya,to be cleaned,Mn Epic,12632
12633,Indo-Aryan,śōdʰyatē,is made clear,,12633
12635,Indo-Aryan,śōbʰa,bright,W,12635
12636,Indo-Aryan,śṓbʰatē,"shines, looks beautiful",RV Early-Vedic,12636
12637,Indo-Aryan,śōbʰaná,"brilliant, beautiful; anything auspicious",ŚBr R Early-Vedic Epic,12637
12638,Indo-Aryan,śōbʰā́,"splendour, beauty",f TS Early-Vedic,12638
1263a,Indo-Aryan,āmr̩śati,"touches, tastes",MBh Epic,1263a
