chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-asymmetric,SAND,SAND,chit1274,plains,27.58,84.41,Chitwan,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,dang1260,plains,27.88,81.78,Dang,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,dhun1238,plains,26.696403,75.972699,dhundari_bamore,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10286;9530
dardic-asymmetric,SAND,SAND,dung1251,plains,,,,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,east2316,plains,26.666667,87.5,Morang,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
dardic-asymmetric,SAND,SAND,godw1241,plains,25.417504,73.107785,marwari_bagra,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;6835
dardic-asymmetric,SAND,SAND,guja1252,plains,22.69,71.1,G,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;11580;2820
dardic-asymmetric,SAND,SAND,guja1253,plains,34.043002,73.225443,Goj,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,hada1254,plains,25.138213,76.876916,hadothi_kelwada,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,hado1235,plains,24.85,75.84,had,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,hajo1238,plains,25.5143,89.8594,Hajong,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,halb1244,plains,20.31,81.37,hal,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,hary1238,plains,28.91568,76.37168,kaithal,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,hind1269,plains,28.7041,77.1025,H,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816;10821;11580;9530
dardic-asymmetric,SAND,SAND,jadg1238,plains,23.588,58.3829,Zadj,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",10816
dardic-asymmetric,SAND,SAND,kana1281,plains,27.0437956,79.8951742,Kannauji-Central,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 1.0, 0.0]",11580
