chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-language-evidence,RAW,RAW,vaag1238,plains,12.21,79.53,VB,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,WOOL,WOOL,dame1241,dardic,35.3,71.68,Dm,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",11549
dardic-language-evidence,WOOL,WOOL,gowr1239,dardic,35.1243,73.1233,Gowro,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,WOOL,WOOL,indu1241,dardic,35.34,73.02,Mai,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",5086
dardic-language-evidence,WOOL,WOOL,kala1372,dardic,35.64,71.67,Kal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",11023;7638
dardic-language-evidence,WOOL,WOOL,kala1373,dardic,35.53,72.57,Bshk,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
dardic-language-evidence,WOOL,WOOL,kash1277,dardic,34.17,74.33,K,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,khow1242,dardic,36.0,72.0,Kho,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
dardic-language-evidence,WOOL,WOOL,nort2666,dardic,34.66,70.43,Pas,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",11154;2438
dardic-language-evidence,WOOL,WOOL,phal1254,dardic,35.51,71.84,Phal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
dardic-language-evidence,WOOL,WOOL,shin1264,dardic,34.65,75.29,Sh,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
dardic-language-evidence,WOOL,WOOL,torw1241,dardic,35.21,72.55,Tor,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
dardic-language-evidence,WOOL,WOOL,usho1238,dardic,35.139395,72.67756,Ush,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
dardic-language-evidence,WOOL,WOOL,beng1280,plains,23.471,88.5565,B,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,dhat1238,plains,26.42,70.78,thar,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,guja1252,plains,22.69,71.1,G,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 1, 0.0, 0.0, 0.0]",2424;3156;7638
dardic-language-evidence,WOOL,WOOL,hind1269,plains,28.7041,77.1025,H,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,kach1277,plains,23.83,69.0,kcch,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,khet1238,plains,30.48,70.28,khet,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,mait1250,plains,26.38,86.22,Mth,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,mara1378,plains,18.5204,73.8567,M,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",9301
dardic-language-evidence,WOOL,WOOL,oriy1255,plains,21.0,85.0,Or,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",10851;2424
dardic-language-evidence,WOOL,WOOL,panj1256,plains,30.04,75.67,P,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,rajb1243,plains,26.4877,87.79265,MH,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,rang1265,plains,26.280348,89.39468,BH,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,sind1272,plains,26.0,69.0,S,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,surj1235,plains,26.0982,87.945,KS,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,west2386,plains,31.1704,72.7097,L,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,MOUSTACHE,MOUSTACHE,bate1261,dardic,34.95,72.92,bhatr,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
dardic-language-evidence,MOUSTACHE,MOUSTACHE,brok1247,dardic,34.53,76.6,bro,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,MOUSTACHE,MOUSTACHE,dame1241,dardic,35.3,71.68,Dm,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",9083
