concept_id,concept,score,legacy_coverage_score,support_factor,dardic_positive_votes,plains_positive_votes,separation,eligible,dardic_family_id,dardic_family,plains_family_id,plains_family,dardic_linked,plains_linked,dardic_observed,plains_observed,dardic_coverage,plains_coverage,dardic_own,plains_own,dardic_cross,plains_cross,legacy_rank,rank
1820,BEAR,0.629942,0.478715,1,8.166666666666666,11.866666666666667,0.629942,True,2445,ŕ̩kṣa,9415,bʰallū́ka,11,21,16,25,0.6875,0.84,0.7424242424242423,0.5650793650793651,0,0.047619047619047616,24,25
1917,TIE,0.626068,0.504752,1,10.5,7.616666666666666,0.626068,True,4353,grantʰáyati,9139,bandʰati,13,15,15,20,0.8666666666666667,0.75,0.8076923076923077,0.5077777777777778,0,0.06333333333333332,13,26
730,SNAKE,0.625149,0.401151,1,9.0,25.166666666666664,0.625149,True,5110,jantú,13271,sarpá,16,35,20,68,0.8,0.5147058823529411,0.5625,0.7190476190476189,0.03125,0,45,27
1489,CLOUD,0.610937,0.403114,1,7.75,30.666666666666664,0.610937,True,549,abʰrá,11567,vārdala,16,40,21,70,0.7619047619047619,0.5714285714285714,0.484375,0.7666666666666666,0,0.029166666666666664,44,28
1491,MOUSE,0.610119,0.465986,1,13.0,5.833333333333333,0.610119,True,10258,mūṣa,4899,*cūha,14,12,18,16,0.7777777777777778,0.75,0.9285714285714286,0.4861111111111111,0,0.19444444444444442,27,29
1019,RIGHT,0.60636,0.372854,1,9.5,16.0,0.60636,True,6119,dákṣiṇa,6251,dākṣiṇa,12,38,18,67,0.6666666666666666,0.5671641791044776,0.7916666666666666,0.42105263157894735,0,0,60,30
926,RICE,0.605159,0.400275,1,9.833333333333332,22.666666666666664,0.605159,True,5637,taṇḍulá,4749,*cāmala,14,42,21,64,0.6666666666666666,0.65625,0.7023809523809523,0.5396825396825397,0,0.031746031746031744,46,31
3411,OVER THERE,0.6,0.212132,0.6,3.0,3.0,1.0,False,8100,pārá,7626,*pakviṣṭʰa,3,3,6,3,0.5,1.0,1.0,1.0,0,0,243,32
986,TOMATO,0.6,0.076429,0.6,3.0,18.0,1.0,False,11503,vātiŋgaṇa,f_gzpge3m6iyzaw,tomato,3,18,16,52,0.1875,0.34615384615384615,1.0,1.0,0,0,813,33
1226,YEAR,0.599418,0.36971,1,14.5,14.833333333333332,0.599418,True,3084,kālá,11392,varṣá,17,32,22,65,0.7727272727272727,0.49230769230769234,0.8529411764705882,0.46354166666666663,0.11764705882352941,0,63,34
587,ANT,0.596955,0.335121,1,12.0,12.666666666666666,0.596955,True,8201,pipīlá,4822,*cimb,13,32,20,66,0.65,0.48484848484848486,0.9230769230769231,0.3958333333333333,0,0.125,93,35
724,READ,0.592857,0.562434,0.9,4.5,13.0,0.65873,True,9837,mantráyatē,7712,páṭʰati,9,14,10,14,0.9,1.0,0.5,0.9285714285714286,0.1111111111111111,0,6,36
942,HONEY,0.591667,0.464142,1,10.0,6.0,0.591667,True,9989,mākṣiká,9784,mádʰu,12,10,15,13,0.8,0.7692307692307693,0.8333333333333334,0.6,0,0.25,29,37
1906,SOUR,0.589683,0.513129,1,9.833333333333332,11.75,0.589683,True,4850,cukrá,3777,kʰaṭṭa,15,21,16,26,0.9375,0.8076923076923077,0.6555555555555554,0.5595238095238095,0,0.03571428571428571,11,38
1698,CURVED,0.586667,0.289875,0.8,4.0,4.0,0.733333,True,3533,*kōla,5474,ṭēraka,5,6,6,8,0.8333333333333334,0.75,0.8,0.6666666666666666,0,0,132,39
1567,DOOR,0.585283,0.408081,1,14.5,14.666666666666666,0.585283,True,6651,*dvara,6459,*duvāra,19,36,21,67,0.9047619047619048,0.5373134328358209,0.7631578947368421,0.4074074074074074,0,0,43,40
359,POTTER,0.584211,0.21522,0.6,3.0,18.25,0.973684,False,3341,kúlāla,3310,kumbʰakāra,3,19,5,21,0.6,0.9047619047619048,1.0,0.9605263157894737,0,0.013157894736842105,236,41
670,ROOT,0.576096,0.370248,1,6.0,28.583333333333336,0.576096,True,7047,nāḍī́,5086,jáṭā,15,38,20,69,0.75,0.5507246376811594,0.4,0.7521929824561404,0,0,62,42
984,WORK (LABOUR),0.572222,0.426509,1,8.666666666666666,6.5,0.572222,True,2892,kárman,3078,kāryà,10,15,15,18,0.6666666666666666,0.8333333333333334,0.8666666666666666,0.43333333333333335,0.03333333333333333,0.12222222222222222,35,43
1206,BARKING,0.57,0.301086,0.8,4.0,5.0,0.7125,True,10714,rā́yati,9265,búkkati,5,8,7,8,0.7142857142857143,1.0,0.8,0.625,0,0,121,44
1309,ASK (INQUIRE),0.569444,0.414633,1,6.0,7.0,0.569444,True,3929,*kʰōjja,8352,pr̩ccʰáti,9,12,11,15,0.8181818181818182,0.8,0.6666666666666666,0.5833333333333334,0.1111111111111111,0,40,45
1109,WOUND,0.566919,0.390515,1,6.5,6.083333333333334,0.566919,True,8906,prahāra,4460,gʰāta,9,11,13,13,0.6923076923076923,0.8461538461538461,0.7222222222222222,0.5530303030303031,0.1111111111111111,0.0303030303030303,52,46
1252,HOUSE,0.565041,0.423458,1,8.0,32.66666666666667,0.565041,True,4336,gōṣṭʰá,4428,gʰara,23,41,23,73,1.0,0.5616438356164384,0.34782608695652173,0.7967479674796749,0.014492753623188404,0,36,47
1653,BLIND,0.564912,0.477438,1,9.0,14.5,0.564912,True,12717,*śrēḍa,385,andʰá,15,19,19,21,0.7894736842105263,0.9047619047619048,0.6,0.7631578947368421,0.23333333333333334,0,25,48
1471,WINTER,0.563214,0.506248,0.95,11.0,4.75,0.592857,True,14164,hēmantá,12486,śītakāla,14,10,16,12,0.875,0.8333333333333334,0.7857142857142857,0.475,0,0.075,12,49
832,BEAN,0.5625,0.421637,0.9,4.5,5.5,0.625,True,10685,rājamudga,12445,śimba,8,8,9,10,0.8888888888888888,0.8,0.5625,0.6875,0,0,37,50
607,GRASSHOPPER,0.559091,0.414633,0.9,7.5,4.5,0.621212,True,12345,*śalakka,7721,pataŋgá,9,11,12,15,0.75,0.7333333333333333,0.8333333333333334,0.4090909090909091,0,0,41,51
