head_id,family_id,head,family,rule
10231-8,10231,*mōgga,mū́ka,explicitly linked numbered CDIAL subhead
10233-2,10233,mūṭa,mūta,explicitly linked numbered CDIAL subhead
10233-3,10233,*muṭṭa-,mūta,explicitly linked numbered CDIAL subhead
10233-4,10233,*mūṭʰa,mūta,explicitly linked numbered CDIAL subhead
10233-5,10233,*muṭṭʰa-,mūta,explicitly linked numbered CDIAL subhead
10233-6,10233,mōṭa,mūta,explicitly linked numbered CDIAL subhead
10233-7,10233,*mōṭṭa-,mūta,explicitly linked numbered CDIAL subhead
10233-8,10233,*mōṭʰa-,mūta,explicitly linked numbered CDIAL subhead
1024-2,1024,*ākṣālayati,*ākṣalati,explicitly linked numbered CDIAL subhead
10250-2,10250,*mūḍa,mū́la,explicitly linked numbered CDIAL subhead
10257-2,10257,*mūliya,mūlya,explicitly linked numbered CDIAL subhead
10257-3,10257,*mūḍiya,mūlya,explicitly linked numbered CDIAL subhead
10258-2,10258,mū́ṣika,mūṣa,explicitly linked numbered CDIAL subhead
1026-2,1026,ākṣipta,ākṣipati,explicitly linked numbered CDIAL subhead
1026-3,1026,*ākṣipyati,ākṣipati,explicitly linked numbered CDIAL subhead
10264-2,10264,mr̩gī,mr̩gá,explicitly linked numbered CDIAL subhead
10264-3,10264,*mr̩gā,mr̩gá,explicitly linked numbered CDIAL subhead
10276-2,10276,mūrṇá,mr̩ṇā́ti,explicitly linked numbered CDIAL subhead
10276-3,10276,*mr̩ṇṇa,mr̩ṇā́ti,explicitly linked numbered CDIAL subhead
103-2x,103,ikā,aŋkapāli,explicitly linked numbered CDIAL subhead
10304-2,10304,*mēgʰiya,mḗgʰya,explicitly linked numbered CDIAL subhead
10306-2,10306,*mēñca,*mēcca,explicitly linked numbered CDIAL subhead
10308-2,10308,*mēṇḍa-,*mēṭṭa,explicitly linked numbered CDIAL subhead
10310-2,10310,*mēṇṭʰa,mēṇḍʰa,explicitly linked numbered CDIAL subhead
10310-3,10310,*mējjʰa,mēṇḍʰa,explicitly linked numbered CDIAL subhead
10317-2,10317,mēṭʰī,mētʰí,explicitly linked numbered CDIAL subhead
10331-2,10331,*mēḍa,mēla,explicitly linked numbered CDIAL subhead
10332-2,10332,*mēḍayati,mēlayati,explicitly linked numbered CDIAL subhead
10334-2,10334,mēha-,mēṣá,explicitly linked numbered CDIAL subhead
10343-2,10343,*maiṣiya,*maiṣya,explicitly linked numbered CDIAL subhead
10349-2,10349,mōcika,*mōca-,explicitly linked numbered CDIAL subhead
10352-2,10352,*mōṭʰa,*mōṭa,explicitly linked numbered CDIAL subhead
1036-2,1036,*ākʰōṭayati,*ākʰuṭati,explicitly linked numbered CDIAL subhead
10371-2,10371,*mūna,mauna,explicitly linked numbered CDIAL subhead
10371-3,10371,*mōnna,mauna,explicitly linked numbered CDIAL subhead
10408-2,10408,yátʰā ná,yáthā ná,explicitly linked numbered CDIAL subhead
10421-2,10421,*yāmaka,yamá,explicitly linked numbered CDIAL subhead
10428-2,10428,yamáyati,yamyátē,explicitly linked numbered CDIAL subhead
10428-3,10428,yāmáyati,yamyátē,explicitly linked numbered CDIAL subhead
10428-4,10428,*yāmana,yamyátē,explicitly linked numbered CDIAL subhead
10438-2,10438,yvāgulī,yavāgū́,explicitly linked numbered CDIAL subhead
10442-2,10442,*yaviyā́,yavyā́,explicitly linked numbered CDIAL subhead
10453-2,10453,*yātrikā,yā́tr̩,explicitly linked numbered CDIAL subhead
10462-2,10462,*yāpyatē,yāpáyati,explicitly linked numbered CDIAL subhead
10496-2,10496,*yuṭyati,*yuṭati,explicitly linked numbered CDIAL subhead
10496-3,10496,*yuṭṭa,*yuṭati,explicitly linked numbered CDIAL subhead
10496-4,10496,*yōṭayati,*yuṭati,explicitly linked numbered CDIAL subhead
10496-5,10496,*yōṭa,*yuṭati,explicitly linked numbered CDIAL subhead
1050-2,1050,*āgr̩ta,ā́guratē,explicitly linked numbered CDIAL subhead
10503-2,10503,yujyátē,yunákti,explicitly linked numbered CDIAL subhead
10516-2,10516,*yūttʰa,yūtʰá,explicitly linked numbered CDIAL subhead
10523-2,10523,yṓtra,yṓktra,explicitly linked numbered CDIAL subhead
10532-2,10532,yōddʰāram,yōddʰr̩,explicitly linked numbered CDIAL subhead
10538-2,10538,*rakkara,*rakka,explicitly linked numbered CDIAL subhead
10538-3,10538,raŋká,*rakka,explicitly linked numbered CDIAL subhead
10538-4,10538,*raŋkʰa,*rakka,explicitly linked numbered CDIAL subhead
10538-5,10538,*raŋga,*rakka,explicitly linked numbered CDIAL subhead
10580-2,10580,*rājayati,rajáyati,explicitly linked numbered CDIAL subhead
10584-2,10584,rakta,rajyatē,explicitly linked numbered CDIAL subhead
10590-2,10590,*raṭyati,ráṭati,explicitly linked numbered CDIAL subhead
10593-2,10593,*raḍḍa,*raṭṭa,explicitly linked numbered CDIAL subhead
10593-3,10593,*raṇṭa,*raṭṭa,explicitly linked numbered CDIAL subhead
10593-4,10593,*raṇṭʰa,*raṭṭa,explicitly linked numbered CDIAL subhead
