mode,concept,score,band,diagnostic,separation,support_factor,dardic_own,plains_own,crossover,dardic_family,plains_family
entry,ROOT,0.576096,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.576096,1,0.4,0.7521929824561404,0,nāḍī́,jáṭā
entry,WORK (LABOUR),0.572222,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.572222,1,0.8666666666666666,0.43333333333333335,0.15555555555555556,kárman,kāryà
entry,BARKING,0.57,Middle: 0.4–<0.6,Focal support below five votes,0.7125,0.8,0.8,0.625,0,rā́yati,búkkati
entry,ASK (INQUIRE),0.569444,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.569444,1,0.6666666666666666,0.5833333333333334,0.1111111111111111,*kʰōjja,pr̩ccʰáti
entry,WOUND,0.566919,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.566919,1,0.7222222222222222,0.5530303030303031,0.1414141414141414,prahāra,gʰāta
entry,HOUSE,0.565041,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.565041,1,0.34782608695652173,0.7967479674796749,0.014492753623188404,gōṣṭʰá,gʰara
entry,BLIND,0.564912,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.564912,1,0.6,0.7631578947368421,0.23333333333333334,*śrēḍa,andʰá
entry,WINTER,0.563214,Middle: 0.4–<0.6,Focal support below five votes,0.592857,0.95,0.7857142857142857,0.475,0.075,hēmantá,śītakāla
entry,BEAN,0.5625,Middle: 0.4–<0.6,Focal support below five votes,0.625,0.9,0.5625,0.6875,0,rājamudga,śimba
entry,GRASSHOPPER,0.559091,Middle: 0.4–<0.6,Focal support below five votes,0.621212,0.9,0.8333333333333334,0.4090909090909091,0,*śalakka,pataŋgá
entry,PATH,0.555886,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.555886,1,0.9166666666666666,0.21296296296296294,0.017857142857142856,pántʰā,gáti
entry,DAUGHTER,0.553853,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.553853,1,0.8137254901960784,0.3657407407407407,0.07175925925925924,duhitŕ̩,*biḍḍa
entry,THIS,0.553704,Middle: 0.4–<0.6,Focal support below five votes,0.638889,0.8666666666666666,0.48148148148148145,1.0,0.2037037037037037,ayám,ēṣá
entry,COLUMN,0.547576,Middle: 0.4–<0.6,Focal support below five votes,0.631818,0.8666666666666668,0.9333333333333333,0.393939393939394,0.06363636363636363,stʰū́ṇā,stambʰa
entry,RIB,0.544643,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.544643,1,0.7142857142857143,0.4305555555555555,0.05555555555555555,párśu,*parsula-
entry,AXE,0.542857,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.542857,1,0.5909090909090909,0.761904761904762,0.26709956709956706,ṭaŋka,kuṭʰāra
entry,SHEEP,0.542361,Middle: 0.4–<0.6,"Supported, low crossover, both shares ≥50%",0.542361,1,0.5555555555555555,0.5625,0.03333333333333333,ēḍa,bʰēḍra
entry,RAT,0.540476,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.540476,1,0.7142857142857143,0.5166666666666667,0.15,mūṣa,undura
entry,BELLY,0.537413,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.537413,1,0.3333333333333333,0.7546511627906978,0.013157894736842105,udára,*pēṭṭa
entry,MOUTH,0.53574,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.53574,1,0.6710526315789473,0.46621621621621623,0.06578947368421052,āsyà,múkʰa
entry,UNHUSKED RICE,0.535714,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.535714,1,0.8571428571428571,0.6785714285714286,0.4642857142857143,śāli,dʰānyà
entry,BIG,0.533964,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.533964,1,0.5543859649122806,0.6532520325203252,0.13970902866923404,gʰaná,vaḍra
entry,SHIRT,0.533333,Middle: 0.4–<0.6,Focal support below five votes,0.666667,0.8,0.8333333333333334,0.6666666666666666,0.16666666666666666,paridʰā́na,*jʰōla
entry,MILK,0.532376,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.532376,1,0.6491228070175439,0.7545454545454546,0.33891547049441784,kṣīrá,dugdʰá
entry,GUEST,0.529773,Middle: 0.4–<0.6,Focal support below five votes,0.588636,0.9,0.45,0.7272727272727273,0,*prārtʰyaka,prāhuṇa
entry,MY,0.523237,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.523237,1,0.75,0.46153846153846156,0.16506410256410256,ma,kʰāni
entry,STONE,0.518651,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.518651,1,0.8666666666666666,0.4484126984126984,0.2777777777777778,*varta,prastará
entry,RIVER,0.51861,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.51861,1,0.46153846153846156,0.8064516129032258,0.23076923076923078,síndʰu,nadī́
entry,SHE,0.518519,Middle: 0.4–<0.6,Focal support below five votes,0.777778,0.6666666666666667,0.5555555555555556,1.0,0,sá,asáu
entry,KNEE,0.517647,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.517647,1,0.7352941176470589,0.3,0,*kuṭṭʰa,*gōḍḍa
entry,WORM,0.516827,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.516827,1,0.6875,0.38461538461538464,0.038461538461538464,kŕ̩mi,kīṭá
entry,BRAIN,0.516667,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.516667,1,0.7,0.4,0.06666666666666667,masta,*gudda
entry,PRICE,0.516667,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.516667,1,0.8333333333333334,0.3507936507936508,0.15079365079365079,mūlya,dramma
entry,SICKLE,0.515278,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.515278,1,0.5555555555555556,0.6416666666666666,0.16666666666666666,aŋká,dā́tra
entry,HEAVY,0.507986,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.507986,1,0.59375,0.4222222222222223,0,*udguru,bʰārika
entry,MOUNTAIN,0.506993,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.506993,1,0.46153846153846156,0.5909090909090909,0.038461538461538464,kʰaṇḍá,*pāhāḍa
entry,DOG,0.506916,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.506916,1,0.5789473684210527,0.43488372093023253,0,*kuccura,*kutta
entry,WHO,0.505263,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.505263,1,0.5333333333333333,0.6754385964912281,0.19824561403508772,ká,kaḥ punar
entry,MONTH,0.504304,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.504304,1,0.6538461538461539,0.5352380952380953,0.18047619047619046,mā́sa,mahīnā
entry,BRANCH,0.500526,Middle: 0.4–<0.6,Focal support below five votes,0.55614,0.9,0.45,0.6622807017543859,0,śaŋkú,ḍāla
entry,BUY,0.494444,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.494444,1,0.7575757575757575,0.47500000000000003,0.24368686868686867,gr̩bʰāyáti,krīṇā́ti
entry,LAKE,0.494318,Middle: 0.4–<0.6,Focal support below five votes,0.659091,0.7499999999999999,1.0,0.3409090909090909,0.022727272727272728,sáras,pauṣkara
entry,GRANDSON,0.485625,Middle: 0.4–<0.6,Focal support below five votes,0.69375,0.7,0.7,0.8125,0.125,paútra,náptr̩
entry,MOON,0.484211,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.484211,1,0.5,0.7583333333333333,0.28991228070175434,jyṓtsnā,candrá
entry,THIRST,0.483333,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.483333,1,0.55,0.41666666666666663,0,*tr̩ṣyā,pipāsā́
entry,DAY (NOT NIGHT),0.481151,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.481151,1,0.5583333333333333,0.6785714285714286,0.2746031746031746,divasá,dina
entry,COLD,0.480976,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.480976,1,0.6851851851851851,0.4746212121212121,0.19785353535353534,śītalá,stabdʰa
entry,DAY AFTER TOMORROW,0.48,Middle: 0.4–<0.6,Focal support below five votes,0.533333,0.9,0.45,0.6666666666666666,0.05,tr̩tī́ya,paraśvas
entry,SKULL,0.48,Middle: 0.4–<0.6,Focal support below five votes,0.6,0.8,0.8,0.5388888888888889,0.1388888888888889,kapā́la,*kʰōppa
entry,FORGET,0.478632,Middle: 0.4–<0.6,Focal support below five votes,0.512821,0.9333333333333332,0.6666666666666666,0.3589743589743589,0,āmr̩ṣyatē,vismarati
entry,MOSQUITO,0.476863,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.476863,1,0.45454545454545453,0.5900900900900901,0.09090909090909091,*pʰutta,matsara
entry,ROUND,0.473333,Middle: 0.4–<0.6,Focal support below five votes,0.591667,0.8,0.6666666666666666,0.6,0.08333333333333333,*piṇḍara,gōla
entry,BED,0.47123,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.47123,1,0.5555555555555556,0.38690476190476186,0,śáyana,*śēyyā
entry,DEAF,0.468277,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.468277,1,0.6212121212121212,0.59375,0.27840909090909094,*buṭṭa,badʰirá
entry,LEFT,0.462963,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.462963,1,0.5925925925925926,0.39705882352941174,0.06372549019607843,kʰarvá,vā́ma
entry,COW,0.457558,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.457558,1,0.35,0.7817829457364341,0.21666666666666665,*gāvā,*gāva
entry,BACK,0.452047,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.452047,1,0.34444444444444444,0.6929824561403508,0.13333333333333333,*ḍʰākka,pr̩ṣṭí
entry,WALL (OF HOUSE),0.451389,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.451389,1,0.5555555555555556,0.4027777777777778,0.05555555555555555,kuḍya,bʰittí
entry,PALM TREE,0.450658,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.450658,1,0.625,0.5263157894736842,0.25,tala,hastatala
entry,BUTTON,0.45,Middle: 0.4–<0.6,Focal support below five votes,0.75,0.6,0.6,0.9,0,*ṭikka,vīṭā
entry,FALSE,0.449949,Middle: 0.4–<0.6,Focal support below five votes,0.549675,0.8185714285714285,0.75,0.37207792207792206,0.022727272727272728,cʰala,*jʰūṭṭʰa
entry,COME,0.448549,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.448549,1,0.3201754385964912,0.5769230769230769,0,yā́ti,āpayati
entry,SILVER,0.444293,Middle: 0.4–<0.6,"Supported, crossover >10 points",0.444293,1,0.7291666666666666,0.5289855072463768,0.3695652173913043,rū́pya,candrikā
entry,LEG,0.442886,Middle: 0.4–<0.6,"Supported, low crossover, weaker-side share <50%",0.442886,1,0.55,0.3406504065040651,0.004878048780487805,kʰura,ṭaŋka
entry,CHEEK,0.441667,Middle: 0.4–<0.6,Focal support below five votes,0.736111,0.6,0.5,0.9722222222222222,0,kapōlá,galla
entry,CARPENTER,0.439444,Middle: 0.4–<0.6,Focal support below five votes,0.507051,0.8666666666666666,0.95,0.3333333333333333,0.2692307692307692,tákṣan,vardʰaki
