Child_ID	Parent_ID	Kind	Rank	Pos	Source	Note
f_2enfwdm7rcfsq	14152	reflex	1			
f_2eozlvq5kvsje	7163	reflex	1			
f_2eq754sdjh4nm	f_6qxo7u3zmoqve	variant	1			
f_2esemzmwsvcyg	283	reflex	1			
f_2et54zwuodrae	5541	reflex	1			
f_2etr6socyw4va	6984	reflex	1			
f_2ewti3wgg4c5s	7031	reflex	1			
f_2ezzinzk22vkw	11532	reflex	1			
f_2f2ubxrdehs5u	13139	reflex	1			
f_2f4kqqrwwnb4a	6481	reflex	1			
f_2f4w6m3l6ogh4	13355	reflex	1			
f_2f52yo3lm6c3m	6849	reflex	1			
f_2f55yb7tkrwdk	3232	reflex	1			
f_2f6ghes35pfto	f_rtfkk4siqgtig	variant	1			
f_2fhcsfm5eytic	11743	reflex	1			
f_2fmotw2g5s352	6324	reflex	1			
f_2fthsapmqf2hu	13682	reflex	1			
f_2fuwleq6cgwsm	6119	reflex	1			
f_2fvxo5h2k4mos	6368	reflex	1			
f_2gc4o3zbytf44	11743	reflex	1			
f_2gdmdrr3s4hq2	12056	reflex	1			
f_2ggpmg3rvq4lk	10104	reflex	1			
f_2gi524lubjpys	1962	reflex	1			
f_2glenc5cnbn2q	7114	reflex	1			
f_2gmxy2vfsmgis	1340	reflex	1			
f_2gpxxdqpslqqa	9828	reflex	1			
f_2gq2n7k6irze6	8056	reflex	1			
f_2h72zvrdkvbci	7408-2	reflex	1			
f_2hb3ss4hawk5o	f_vbisxa6xhdg4k	variant	1			
f_2hctsemq6pins	f_o5jlbuajcw52q	variant	1			
f_2hg2c2bhukkfw	f_ma6j5px33fee6	variant	1			
f_2hga56kr45bmo	3167	reflex	1			
f_2hlercxytbfiq	1236	reflex	1			
f_2hleslcbumnzy	9229	reflex	1			
f_2hpf7kdpxb44e	5421	reflex	1			
f_2hpgsqsmujvso	14164	reflex	1			
f_2hqcqbd5bxg74	9661	reflex	1			
f_2huzpbmm3c5tg	8764	reflex	1			
f_2hvg6wuzavhks	10856	reflex	1			
f_2hxcyquts6nm2	6343	reflex	1			
f_2i534zdpheshu	11503	reflex	1			
f_2iessq55on7uw	2574	reflex	1			
f_2ifszwite7vrm	4126-2	reflex	1			
f_2ihhnhd6u5jwy	12803	reflex	1			
f_2ihhw4rwi6am4	10896	reflex	1			
f_2iicxz7glpzw2	12774	reflex	1			
f_2ijiojvpih5ww	8298	reflex	1			
f_2ip7s4w7r5esw	f_lmwk7knn4svus	reflex	1			
f_2iy7xdxorflhi	6481	reflex	1			
f_2j4jdqy77agba	3364	reflex	1			
f_2j4yzee5p4pcw	f_gf4rm5lynhk7q	variant	1			
f_2j7x4pue7hacs	9982	reflex	1			
f_2je3kl4y2qsre	48	reflex	1			
f_2jheei3uxo6rg	f_lmwk7knn4svus	reflex	1			
f_2jjschpx2mby2	f_7nm5rhwresi6i	variant	1			
f_2jleblbfjreku	6835	reflex	1			
f_2jovuixxnrzd6	4236-2	reflex	1			
f_2jpab32wcwsue	11417	reflex	1			
f_2jpbxtmmawlq6	2245	reflex	1			
f_2jpiywfig3vt2	9660	reflex	1			
f_2jq7vftvlmgvg	283	reflex	1			
f_2jqndpfhq6y2u	13604	reflex	1			
f_2jrc73knkanzm	6849	reflex	1			
f_2jrcjk3avpex4	7655	reflex	1			
f_2jrn37hgx37pq	12097-2	reflex	1			
f_2jtcio5opjnjq	2830	reflex	1			
f_2juzvwb3fzh4u	5605	reflex	1			
f_2jyw7q3dkgrlo	6324	reflex	1			
f_2k6q7p4ampp7u	1127	reflex	1			
f_2ka27pwuix3ie	9089	reflex	1			
f_2kfdme5vndwt6	11302	reflex	1			
f_2kln6d7firiny	3813	reflex	1			
f_2kmmeot27o3w6	5228	reflex	1			
f_2kmvpqgwcjize	4362	reflex	1			
f_2ksegol6utvxw	12326	reflex	1			
f_2kwv2ftwiouuq	9804	reflex	1			
f_2kzeyj4avbvak	11225	reflex	1			
f_2l25bgjdh3w2w	10221	reflex	1			
f_2l2wb6vmdhhia	13254	reflex	1			
f_2l3w57zad2fao	5836	reflex	1			
f_2ldksxqwgsnae	6625	reflex	1			
f_2leo2mlkbwhwm	f_6bkchuvumlfne	variant	1			
f_2lfuzjj4vobym	11392	reflex	1			
f_2lhmnna26s7o4	f_s2mc7dtb4omsw	variant	1			
f_2lid5vzle4nli	178	reflex	1			
f_2liyesszlpefm	7655	reflex	1			
f_2ljgliri4y2ko	10016	reflex	1			
f_2lljm36nf6wow	10299	reflex	1			
f_2llxyp63fxzmg	11168	reflex	1			
f_2lmeqyqes5n4i	12233	reflex	1			
f_2lpxr2cjcpwxi	135	reflex	1			
f_2ltuqd43ghkre	3219	reflex	1			
f_2m4o7eumxkjfq	137	reflex	1			
f_2m5hyp2ewm5e4	f_dnno5qe5wqdhy	variant	1			
f_2m7zdsdi44f5o	5716	reflex	1			
f_2mdeecah73nbk	6379	reflex	1			
f_2mgorwpnr6b2m	11225	reflex	1			
f_2mrxh435faize	11969	reflex	1			
f_2n56dn76uomz2	10702	reflex	1			
f_2n6lxt3si25eq	9209-2	reflex	1			
f_2nbvvmz2d6y6i	9964	reflex	1			
f_2ncctbwsmolvw	6141	reflex	1			
f_2nee5oetv47za	9828	reflex	1			
f_2nfr2lf5klouw	11628	reflex	1			
f_2ngprcyz5mkfs	7479	reflex	1			
f_2nkrt4ov277x6	13561	reflex	1			
f_2no2gsbya3eza	13519	reflex	1			
f_2ntamj2gpmnqm	f_pbkxduefswzwe	variant	1			
f_2nxbqlvnklsoq	3750	reflex	1			
f_2o4xpm6v43nlg	10978	reflex	1			
f_2o5fainsmfk5e	6984	reflex	1			
f_2o6e3q2kfkrvm	3208	reflex	1			
f_2o6nkrixgmg22	6504	reflex	1			
f_2obartkawuwci	4655	reflex	1			
f_2okxqi5xvvz3u	6625	reflex	1			
f_2oodmfkfcs3qc	10544	reflex	1			
f_2ovpkq72ufk6g	2631	reflex	1			
f_2ovz7yu2rtgrg	2454	reflex	1			
