gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
message	bó:de	-e	2	stress-marked	"[""bo:t""]"	"[""""]"	"[""f_a5hdmspl7ckku""]"	f_6xplh5xrq6r3e	[]	
protest	ʔózure	-e	3	stress-marked	"[""ʔózur""]"	[2]	"[""f_qgfxfuuqmtihm""]"	f_cebcuimrbgads	[]	
alter	diʃe	-e		unmarked	"[""kurba:nthé:nekdiʃ""]"	[3]	"[""f_c5lyahufkrxvi""]"	f_tlqm4g3iahd5m	[]	
ghost; giant	yʌʈʂé:	other	1	stress-marked	"[""yʌʂ""]"	"[""""]"	"[""f_zzmgiasgyj2js""]"	f_woonwlwrii4so	[]	
hermitage	ʧilé:	other	1	stress-marked	"[""ʧilá:""]"	[1]	"[""f_6g3wqcrc5fxno""]"	f_zjt2vzf5jcwgm	[]	
nun	ʧomé:	other	1	stress-marked	"[""ʧomó:""]"	[1]	"[""f_5r4xjp7t2z32u""]"	f_v2wj6bjb7x45e	[]	
ball	ʈhóke	-e	2	stress-marked	"[""ʈhóki""]"	[2]	"[""f_tuy5oxaamaais""]"	f_tjfmsoeboqdie	[]	
doll	ʦuké:e	-e	2	stress-marked	[]	[]	[]	f_5p77o4jrqwl3k	[]	
music	dáɳye	-e	2	stress-marked	"[""dáɳi""]"	[2]	"[""f_2xea655h7oylm""]"	f_4qjqiloeuwc6q	[]	
player	dópe:	other	2	stress-marked	"[""dópa:""]"	[2]	"[""f_obnavygpm4ksm""]"	f_nmqxnryb4mfkk	[]	
tempo	ʃóŋe	-e	2	stress-marked	"[""ʃóŋo""]"	[2]	"[""f_ujfw22u4mvrra""]"	f_n4iuepllfmc7e	[]	
