gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
lid	khʌ́:ʈe	-e	2	stress-marked	"[""khʌ́:ʈo""]"	[2]	"[""f_worrk25b7gcye""]"	f_kn7lkvufotsp4	[]	
opium	ʈʂʌŋúle	-e	2	stress-marked	"[""ʈʂʌŋúl""]"	[1]	"[""f_ulrmn54sccmlm""]"	f_3svjlv7bun6t2	[]	
scissors	dukʌ́ʈeh	-eh/-eɦ	2	stress-marked	"[""dukʌ́ʈ""]"	[1]	"[""f_ybweopslpgxhi""]"	f_5rpl6sb2pkv3a	[]	
sieve	dʌlí:ʐe	-e	2	stress-marked	"[""dʌlí:ʂ""]"	[1]	"[""f_4lsmumlswf2co""]"	f_fj5ceb3doi2iy	[]	
soup	ʌzuméh	-eh/-eɦ	1	stress-marked	"[""ʌzúm""]"	[1]	"[""f_hkz7hffq2szkg""]"	f_ghowlfd4n23xu	[]	
spoon ] pl.	khʌpẽ́ẽ	other	1	stress-in-vowel-sequence	"[""khʌpẽ́ĩ""]"	[2]	"[""f_hydyfszb6k6re""]"	f_wfrbrtbbb4oxi	[]	
strainer	ʦhákse	-e	2	stress-marked	"[""ʦháks""]"	[1]	"[""f_jtmas7l5v2lhe""]"	f_7ijliohlmh3ui	[]	
tin	ɖʌbé:	other	1	stress-marked	"[""ɖʌbá:""]"	[1]	"[""f_nyqeg2vcob6wq""]"	f_uu264cao7gztc	[]	
tongs	mɛlɛnéh	-eh/-eɦ	1	stress-marked	"[""mɛlʌn""]"	"[""""]"	"[""f_loe2imezt7kh4""]"	f_e4gcb5imtxh4u	[]	
bell	gʌɳʈyé:	other	1	stress-marked	"[""gʌɳʈí:""]"	[1]	"[""f_qkbzfrjviajvi""]"	f_e2bguirhh2ijy	[]	
bracelet	ká:	other	1	stress-marked	"[""ká:v""]"	[1]	"[""f_447ythuj4emuk""]"	f_meqhrljhbzn2c	[]	
cap	khóe	-e	2	stress-in-vowel-sequence	"[""khói""]"	[2]	"[""f_xo2vjxetkowja""]"	f_fivotdegzip3e	[]	
chappals (foot-wear)	khʌɽʌké	-e	1	stress-marked	"[""khʌ́ɽʌk""]"	[2]	"[""f_hc32ymzcy4doo""]"	f_husvpfqugth7i	[]	
cloak	ʈʂhí:le	-e	2	stress-marked	"[""ʈʂhí:li""]"	[2]	"[""f_4bysbipckqyoc""]"	f_xnfilqr25texs	[]	
coat	ko:ʈéh	-eh/-eɦ	1	stress-marked	"[""ko:ʈ""]"	"[""""]"	"[""f_6pgpfom5dymzk""]"	f_vz3d2qi2jwqwe	[]	
crutch	ɖɪŋárye	-e	2	stress-marked	"[""ɖɪŋári""]"	[2]	"[""f_ulwtwalqtbshq""]"	f_nqn5ozyhgxrn6	[]	
emerald	yu:e	-e		unmarked	"[""yu:""]"	"[""""]"	"[""f_buoc5rdnwrq24""]"	f_rubb3auhnspxc	[]	
fiber	ʤʌʈe	-e		unmarked	[]	[]	[]	f_uhwdrq56rfzo2	[]	
flute	tʌrué	-e	1	stress-in-vowel-sequence	"[""tʌruí""]"	[1]	"[""f_w3pxdtw5hdpg2""]"	f_psc3h42sx2hwq	[]	
iron	ʧímere	-e	3	stress-marked	"[""ʧímer""]"	[2]	"[""f_oluqmlc32qmps""]"	f_z2mtqpgcbzzps	[]	
loom	ʈʂó:ʐe	-e	2	stress-marked	"[""ʈʂó:ʂ""]"	[1]	"[""f_fxxzkuemkc7ok""]"	f_vj3nyaqm2f3ys	[]	
necklace	ʃʌríʐe	-e	2	stress-marked	"[""ʃʌríʂo""]"	[2]	"[""f_uah3ezd3g2mfu""]"	f_us56hvhbkuvls	[]	
needle	sue	-e		unmarked	"[""su:""]"	"[""""]"	"[""f_wa7tbs4la2kz6""]"	f_qprxswqpj7bk2	"[""13551""]"	
nose ring	nʌtiŋéh	-eh/-eɦ	1	stress-marked	"[""nʌtíŋ""]"	[1]	"[""f_lsfsgik6xksec""]"	f_4stfspoodjzsk	[]	
pyjama	ʦʌlen(i)yé	-e	1	stress-marked	[]	[]	[]	f_foycuwz7oefdq	[]	
pearl	motikéh	-eh/-eɦ	1	stress-marked	"[""motík""]"	[1]	"[""f_x3r5g6gsmkivk""]"	f_k72kyjfdrm3li	[]	
pocket (men’s dress)	ʂʌturéh	-eh/-eɦ	1	stress-marked	"[""ʂʌ́tur""]"	[2]	"[""f_rtsnrtco7fqw2""]"	f_dudleeknp4xx2	[]	
razor	khuruéh	-eh/-eɦ	1	stress-in-vowel-sequence	[]	[]	[]	f_iemobsxjdd7zy	[]	
ring	ʤó:le	-e	2	stress-marked	[]	[]	[]	f_la54ovr4puw2y	[]	
sandals	ʦʌ́:pye	-e	2	stress-marked	"[""ʦʌ́:pi""]"	[2]	"[""f_6dzjzrxe45be6""]"	f_zp463g54kv2qu	[]	
sapphire ] sg.	niliméh	-eh/-eɦ	1	stress-marked	"[""nilím""]"	[1]	"[""f_sqwddsib45c3q""]"	f_awqltptutjrri	[]	
sari	dʌχonéh	-eh/-eɦ	1	stress-marked	"[""dʌχón""]"	[1]	"[""f_bvmkb6j2kqtn2""]"	f_2bwy7m7bjotym	[]	
scarf	gulbʌnéh	-eh/-eɦ	1	stress-marked	"[""gulbʌ́n""]"	[1]	"[""f_m2nwfouvq4cvk""]"	f_4y7wtilqxyntg	[]	
shirt	kurte:néh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_oauven4fzguem	[]	
sleeve	boe	-e		unmarked	[]	[]	[]	f_mgo4cja3bf6yw	[]	
soap	sʌbonéh	-eh/-eɦ	1	stress-marked	"[""sʌbón""]"	[1]	"[""f_7kokljmkjbvsm""]"	f_e4wfxhxxlviiy	[]	
spindle	ʈʂʌké	-e	1	stress-marked	"[""ʈʂʌ́ku"", ""ʈʂʌ́:ku""]"	[2, 2]	"[""f_5d72cclmt7l46"", ""f_ysyhdyver23ia""]"	f_gb7m6nfe64ohg	[]	
spindle	ʈʂʌ́ke	-e	2	stress-marked	"[""ʈʂʌ́ku"", ""ʈʂʌ́:ku""]"	[2, 2]	"[""f_5d72cclmt7l46"", ""f_ysyhdyver23ia""]"	f_nq6p42kelcg7a	[]	
stick	ɖʌkéh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_hgz47tg3rmys6	[]	
sword	khʌŋa:ré	-e	1	stress-marked	"[""khʌŋá:r""]"	[1]	"[""f_kd3h3d5l3kcyo""]"	f_uxumlw3fuxqsu	[]	
turban	pʌʂé	-e	1	stress-marked	"[""pʌʂó:""]"	[1]	"[""f_uynfp64stywzw""]"	f_bzfulyr6vwmeq	[]	
attic	gó:ʐe	-e	2	stress-marked	"[""gó:ʂ""]"	[1]	"[""f_tjgeomu5dimcu""]"	f_bi4ihsd6x3ncc	[]	
beam (of light)	bʌmʌléh	-eh/-eɦ	1	stress-marked	"[""bʌmʌ́l""]"	[1]	"[""f_oh6t2a6rgyf3y""]"	f_qthr2jxsdmfpg	[]	
blanket	kʌmbʌléh	-eh/-eɦ	1	stress-marked	"[""kʌmbʌ́l""]"	[1]	"[""f_czeo7n45f2t2q""]"	f_u6isuhqvgy7ny	[]	
bolster (pillow)	uné:h	other	1	stress-marked	[]	[]	[]	f_v4jakzxmxjxm6	[]	pl. (to lean back
brick	diʂʈikéh	-eh/-eɦ	1	stress-marked	"[""diʂʈík""]"	[1]	"[""f_addczkrfwb2aw""]"	f_vkbejbn4friau	[]	
broom	lo:ʃyéh	-eh/-eɦ	1	stress-marked	"[""ló:ʃi""]"	[2]	"[""f_2n6akgtbqjtom""]"	f_shs2jqqn6wazy	[]	
building	lʌ́ite	-e	3	stress-in-vowel-sequence	"[""lʌ́iti""]"	[3]	"[""f_aysnbwk3dth4c""]"	f_x5drlir7dvn2q	[]	
carpet	ka:lí:ne	-e	2	stress-marked	"[""qa:lí:n""]"	[1]	"[""f_dwkylipwfs3la""]"	f_s2chcuf4ni2d6	[]	
chair	kurʧéh	-eh/-eɦ	1	stress-marked	"[""kurʧí:""]"	[1]	"[""f_o3uoyt5r2tfue""]"	f_cdgjerzp5dg5i	[]	
hinge	kʌbzé:	other	1	stress-marked	"[""kʌbzá:""]"	[1]	"[""f_f7jeq2kd2foqs""]"	f_j5bl5v4prohrq	[]	
hut	ɖu:kuréh	-eh/-eɦ	1	stress-marked	"[""ɖú:kur""]"	[2]	"[""f_cjd5xhclh4cdy""]"	f_fwoaz3vsjdvl6	[]	
latch (lock-on)	kuʦuréh	-eh/-eɦ	1	stress-marked	"[""kuʦúr""]"	[1]	"[""f_2itf6l4ihbzho""]"	f_uvkfzcna37yuw	[]	pl. Latch (moving part
lock	ʧhʌylo:léh	-eh/-eɦ	1	stress-marked	"[""ʧhʌyló:l""]"	[1]	"[""f_ct5arfkjpfylo""]"	f_sjwvxdkodgm4g	[]	
mat (general)	ʧhʌryéh	-eh/-eɦ	1	stress-marked	"[""ʧhʌrí:"", ""ʧhʌstʌ́n"", ""zʌŋgóʂ""]"	[1, 1, 1]	"[""f_j5fk3stiyjaug"", ""f_td7ttoh5lz5sg"", ""f_eidlzyufig4pe""]"	f_lqwnrkdjyk7wc	[]	general, pl
mat (general)	ʧhʌstʌn zʌŋgóʂ	other	1	stress-marked	"[""ʧhʌrí:"", ""ʧhʌstʌ́n"", ""zʌŋgóʂ""]"	[1, 1, 1]	"[""f_j5fk3stiyjaug"", ""f_td7ttoh5lz5sg"", ""f_eidlzyufig4pe""]"	f_rda63r7v3rdr4	[]	grass, pl
mat (general)	zʌŋgoʂéh	-eh/-eɦ	1	stress-marked	"[""ʧhʌrí:"", ""ʧhʌstʌ́n"", ""zʌŋgóʂ""]"	[1, 1, 1]	"[""f_j5fk3stiyjaug"", ""f_td7ttoh5lz5sg"", ""f_eidlzyufig4pe""]"	f_6db7u3d3k3czg	[]	goat skin, pl
mattress (cotton); quilt	gʌdéle	-e	2	stress-marked	"[""gʌdéla""]"	[2]	"[""f_jckzqj4itm2vg""]"	f_ledjxerzktnfy	[]	pl. (wool
mattress (cotton)	hʌrutéh	-eh/-eɦ	1	stress-marked	"[""hʌrút""]"	[1]	"[""f_omfm76m56lzvg""]"	f_xmdscpgkvyca2	[]	
mosquito net; weaver	ʈʂʌʐé:	other	1	stress-marked	[]	[]	[]	f_2xnnhclhx5yxw	[]	
nail	kí:lyéh	-eh/-eɦ		multiple-stress	"[""kí:li""]"	[2]	"[""f_ph2uiffkpegvq""]"	f_eqecsfyzwv674	"[""3202""]"	
pillow	unó:e	-e	2	stress-marked	[]	[]	[]	f_vso2wqu5wuou2	[]	
plinth	khúre	-e	2	stress-marked	[]	[]	[]	f_gzbv5scdz5y2a	[]	
rafter	bo:ʃe	-e		unmarked	"[""bo:ʃ""]"	"[""""]"	"[""f_5kjuyegfatmkg""]"	f_tuol7u2v5hluc	[]	
roof	ʃʌro:ɳéh	-eh/-eɦ	1	stress-marked	"[""ʃʌró:ɳ""]"	[1]	"[""f_owz3hu5jg7axk""]"	f_6yyktgwn5xkfi	[]	
roof	ʧhilíʂéh	-eh/-eɦ		multiple-stress	"[""ʃʌró:ɳ""]"	[1]	"[""f_owz3hu5jg7axk""]"	f_ikc3l7ndfsho4	[]	
rope	ráʒe	-e	2	stress-marked	"[""ráʒu""]"	[2]	"[""f_svmrxzq7octqg""]"	f_vt7kf2ylx7th2	[]	
scream	kríve	-e	2	stress-marked	"[""krív""]"	[1]	"[""f_amkoj4oxav45q""]"	f_a3mrm5dskijmw	[]	
shed	ʤossále	-e	2	stress-marked	"[""ʤossál""]"	[1]	"[""f_al4xtepyuxcma""]"	f_ooniuosfmdnpu	[]	
stable (horse-shed) ] pl.	ə̃ʃ pʌléh	-eh/-eɦ	1	stress-marked	"[""ə̃ʃ pá:l""]"	[1]	"[""f_arxzqhprdtubs""]"	f_rsyugp2zzpq7a	[]	
storey	póre	-e	2	stress-marked	"[""póro""]"	[2]	"[""f_lguoiierhrtfw""]"	f_3fqv45ew732be	[]	
swing	ʤu:léh	-eh/-eɦ	1	stress-marked	"[""ʤu:lá:""]"	[1]	"[""f_u3cs22zee5efk""]"	f_z4czswy6ubsse	[]	
table	me:ze	-e		unmarked	"[""me:s""]"	"[""""]"	"[""f_6n4stn5ablgja""]"	f_mvsfe6rgnscde	[]	
tube	na:lyéh	-eh/-eɦ	1	stress-marked	"[""na:lí:""]"	[1]	"[""f_mkujfsamx7lww""]"	f_mecchxwbk4v6s	[]	
yard (measurement)	diʂʈe	-e		unmarked	[]	[]	[]	f_get3eutukl7ea	[]	
banana	ké:le	-e	2	stress-marked	"[""ké:la""]"	[2]	"[""f_asli3nqa7bb5y""]"	f_ntcqlwz5mqnoa	[]	
bark (of tree)	díle	-e	2	stress-marked	[]	[]	[]	f_nqlewkr3f3viq	[]	
branch (of tree); twig	bʌ́:ke	-e	2	stress-marked	"[""bʌ́:ko""]"	[2]	"[""f_z6bd4h3cyjv5o""]"	f_55da22um645y4	[]	
bud	ʧhʌʈuléh	-eh/-eɦ	1	stress-marked	"[""ʧhʌʈúl""]"	[1]	"[""f_mpeh2od3szzmi""]"	f_tfqrpilbryl5s	[]	
cardemom	ela:ʧyé	-e	1	stress-marked	"[""ela:ʧí:""]"	[1]	"[""f_lv5wipdcxrbci""]"	f_q5xhdycjd5tgy	[]	
carrot	ga:ʤʌréh	-eh/-eɦ	1	stress-marked	"[""ga:ʤʌ́r""]"	[1]	"[""f_tm3zkvkfg6kns""]"	f_3ezwp4t5kbb3w	[]	
crow bar	ʤʌbʌléh	-eh/-eɦ	1	stress-marked	"[""ʤʌbʌ́l""]"	[1]	"[""f_zjggkgamtxyjk""]"	f_ubjtj2xxoj52q	[]	
cucumber	mú:le	-e	2	stress-marked	[]	[]	[]	f_fcprpoub6logi	[]	
dall (pigeon-pea)	mózure	-e	3	stress-marked	"[""mózur""]"	[2]	"[""f_mfrknnedmhx6s""]"	f_wukqmrv3vtab4	[]	
dam	bʌne	-e		unmarked	[]	[]	[]	f_6inmukcwpmo72	[]	pl. (small
date palm	khrméh	-eh/-eɦ	1	stress-marked	"[""khórma:""]"	[2]	"[""f_sqftbbfld6kzs""]"	f_e2c5qpfa6hqqo	[]	
farm	ʈʂhé:ʐe	-e	2	stress-marked	"[""ʈʂhé:ʂ""]"	[1]	"[""f_mh6ir7xmf2gzs""]"	f_bjjxwclsubijm	[]	
farmer	zʌminda:réh	-eh/-eɦ	1	stress-marked	"[""zʌmindá:r""]"	[1]	"[""f_46kmss3oyenv2""]"	f_7ehrtqkzuj4hw	[]	
fence	ʤa:léh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_ebk2ho565l3ba	[]	
flower	púʂe	-e	2	stress-marked	"[""púʂo""]"	[2]	"[""f_umao2sbgy5o4c""]"	f_gvucva2mxc6ui	[]	
fodder	ʧhʌké	-e	1	stress-marked	"[""ʧhʌk""]"	"[""""]"	"[""f_k4dj2fkstnfai""]"	f_63ktiwz2pk42e	[]	
garden	bʌkéh	-eh/-eɦ	1	stress-marked	"[""bá:k""]"	[1]	"[""f_c5snkxywoqgl2""]"	f_b7puarwzybf3a	[]	
garlic	gokpé:	other	1	stress-marked	"[""gokpá:""]"	[1]	"[""f_lznvzfshxmz5w""]"	f_xpetrutjeg4qm	[]	
grape	dʌ́ʃe	-e	2	stress-marked	"[""dʌʃ""]"	"[""""]"	"[""f_gptlvmtkdgrho""]"	f_2facrw76vpaeo	[]	
grass	kʌʂe	-e		unmarked	"[""kʌʂ""]"	"[""""]"	"[""f_ntap64nmrnu5s""]"	f_ja3rcpxpj7zeg	[]	pl. (many grasses
green gram	ʧinʌséh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_es2pklhfvutve	[]	
guava fruit	əmrutéh	-eh/-eɦ	1	stress-marked	"[""əmrú:d""]"	[1]	"[""f_wrg2cwvzfoyrc""]"	f_kqfvvgeujrsie	[]	
hawk; plant	thoké	-e	1	stress-marked	"[""thók""]"	[1]	"[""f_qtv5aikfhxkhs""]"	f_h6uh3awbcxadc	[]	
herb	ʧhiliʂéh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_gg2ffy5cjqo7a	[]	
jasmine	puɳʌré	-e	1	stress-marked	"[""puɳʌ́r""]"	[1]	"[""f_k7qqo6pgz65lk""]"	f_bagygmxjeusro	[]	
jute	boréh	-eh/-eɦ	1	stress-marked	"[""borá:""]"	[1]	"[""f_p23omo7oj7dv6""]"	f_sxo5efqa5o2g4	[]	
leaf	pʌ́:ʈe	-e	2	stress-marked	"[""pʌ́:ʈo""]"	[2]	"[""f_fnvlleq2socp2""]"	f_4674l576w3lu2	[]	
maize	məkʌ́ie	-e	3	stress-in-vowel-sequence	"[""məkʌ́i""]"	[2]	"[""f_kazxsi7yuwdia""]"	f_vdpq76cks3qqe	[]	
mace	ɖophoséh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_amphdsqmmctc4	[]	
marsh	nʌmbeléh	-eh/-eɦ	1	stress-marked	"[""nʌmbél""]"	[1]	"[""f_vxricd2j6rrmu""]"	f_iogpb7lhakcdq	[]	
mushroom	ʃɪɳʈi:lyé	-e	1	stress-marked	"[""ʃɪɳʈí:li""]"	[2]	"[""f_izmpzfvv5idwq""]"	f_ngqsysd6ix5vy	[]	
nut	kálye	-e	2	stress-marked	"[""káli""]"	[2]	"[""f_xz77f72hkzake""]"	f_b526qbkix5txc	[]	
pasture	yu:té:	other	1	stress-marked	"[""yu:t""]"	"[""""]"	"[""f_wd3jogtvw24sw""]"	f_4x6kh5u3vr2na	[]	
pigeon pea	khúkuɳé	-e		multiple-stress	[]	[]	[]	f_xaixm4vvvofzm	[]	
pot for plant	kʌryé:	other	1	stress-marked	"[""kʌrí:""]"	[1]	"[""f_7hilkuybatbwe""]"	f_sqkpajumqn7v6	[]	
pulley	gʌɽa:ré:	other	1	stress-marked	"[""gʌ́ɽa:ri""]"	[3]	"[""f_x6agjcd3wbu64""]"	f_4sylqr54vshls	[]	
shovel	phyṍ:lye	-e	2	stress-marked	"[""phyṍ:li""]"	[2]	"[""f_xhb5yyttulvtc""]"	f_hu5afk3wec364	[]	
sickle	ʔóŋe	-e	2	stress-marked	"[""ʔóŋo""]"	[2]	"[""f_7d4enrh4egg4q""]"	f_hx4nmaxlpao56	[]	
