ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status
30	Indo-Aryan	*akṣadāruka	a partic. tree			*akṣadāruka				CDIAL	"<number>30</number> <b>*akṣadāruka</b> 'a partic. tree'. [<smallcaps><a data-entry=""22"">akṣá-²</a>, <a data-entry=""6298"">dā́ru</a></smallcaps>-²]"		entry
43	Indo-Aryan	ákṣi	eye			ákṣi			n RV Early-Vedic	CDIAL;CDIAL	<number>43</number> <b>ákṣi</b> n. 'eye' RV.<!--addendum--><number>14195</number> <b>ákṣi-</b>		
47	Indo-Aryan	*akṣēma	unpeaceful			*akṣēma				CDIAL	"<number>47</number> <b>*akṣēma</b> 'unpeaceful'. [<smallcaps><a data-entry=""3745"">kṣḗma</a></smallcaps>-]"		entry
48	Indo-Aryan	akṣōṭa	walnut (or pistacio nut ?); Aleurites triloba, Croton moluccanum; a mountain-tree <smallcaps>pīlú</smallcaps>-¹			akṣōṭa			m Kālid Suśr lex Classical	CDIAL;Morgenstierne;IIFL[i 412];CDIAL;BSOAS[20, 58];NIA;Varma BhalDial[23]	"<number>48</number> <b>akṣōṭa</b> m. 'walnut (or pistacio nut ?)' Kālid., 'Aleurites triloba, Croton moluccanum' Suśr., 'a mountain-tree <smallcaps><a data-entry=""8239"">pīlú</a></smallcaps>-¹', lex.; <i>akṣōḍa</i>-, <i>°aka</i>-, <i>ākṣōḍa</i>-, <i>ākhōṭa</i>- lex. — lw. in Ir. Ormuri <i>waṭk</i> &lt; <i>*akhōṭa</i>- Morgenstierne IIFL i 412.<!--addendum--><number>14197</number> <b>akṣōṭa</b> [Poss. ext. of <i>akṣa</i>- (<smallcaps><a data-entry=""22"">akṣa</a></smallcaps>-² 'seed of Elaeocarpus ganitrus') with suffix -<i>ṭa</i>- (as in <i>śarkōṭá</i>- 'scorpion' AV. Wackernagel-Debrunner Suffixes 514) beside Ir. <i>*axša-ra</i>- in Oss. <i>äxsärä</i> H. W. Bailey BSOAS 20, 58. NIA. forms with -<i>r</i>- may then be &lt; <i>*akṣarōṭṭa</i>- (cf. dimin. suffix -<i>uṭṭa</i>- in WPah. (e.g. Varma BhalDial 23). M. <i>akroḍ</i> (~ <i>akroṭ</i>) is X <i>akhoḍ</i> rather than &lt; <i>*akṣarōṭṭa</i>-]"		entry
65	Indo-Aryan	agniṣṭʰá	fire-pan			agniṣṭhá			m ĀpŚr Early-Vedic	CDIAL	"<number>65</number> <b>agniṣṭhá</b> m. 'fire-pan' ĀpŚr., <i>°ṭhā́</i>- f. 'that corner of the Yūpa towards the fire' ŚBr., <i>°ṭhikā</i>- f. 'fire-pan'. [<smallcaps><a data-entry=""55"">agní-¹</a>, stha</smallcaps>-]"		entry
100	Indo-Aryan	aŋká	hook; hip where children are carried; curved line, mark, sign			aṅká			m RV Br̥ĀrUp R Early-Vedic Epic	CDIAL	"<number>100</number> <b>aṅká</b> m. 'hook' RV., 'hip where children are carried' Br̥ĀrUp., 'curved line, mark, sign' R. [√<smallcaps><a data-entry=""r13"">añc</a></smallcaps>]"		entry
125	Indo-Aryan	áŋgāra	glowing charcoal			áṅgāra			m RV Early-Vedic	CDIAL;CDIAL	<number>125</number> <b>áṅgāra</b> m. n. 'glowing charcoal' RV., <i>°aka</i>- lex. 2. <b>*iṅgāra-,</b> <i>iṅgāla</i>- m. Vāsav. com.<!--addendum--><number>14200</number> <b>áṅgāra-</b>		
126	Indo-Aryan	aŋgāraka	*red like embers; charcoal; name of various plants; the planet Mars			aṅgāraka			m	CDIAL	"<number>126</number> <b>aṅgāraka</b> '*red like embers', m. 'charcoal; name of various plants' (<i>aṅgārikā</i>- f. 'stalk of sugar-cane, flower of Butea frondosa'). 2. m. 'the planet Mars'. [<smallcaps><a data-entry=""125"">áṅgāra</a></smallcaps>-]"		entry
131	Indo-Aryan	aŋgāryā́	heap of embers			aṅgāryā́				CDIAL	"<number>131</number> <b>aṅgāryā́-,</b> <i>*aṅgāriyā</i>-, f. 'heap of embers'. [Cf. <i>aṅgā- rīya</i>- 'fit for making charcoal', <i>aṅgārikā</i>- f., <i>angāritā</i>- f. 'portable fireplace' lex.: <smallcaps><a data-entry=""125"">áṅgāra</a></smallcaps>-]"		
135	Indo-Aryan	aŋgúli	finger, toe			aṅgúli			f VS Early-Vedic	CDIAL;CDIAL	<number>135</number> <b>aṅgúli</b> f. 'finger, toe' VS., ŚBr., <i>aṅgúri</i>- f. AV., <i>svaṅgurí</i>- RV. 2. <b>*aṅgūḍi-</b> [2 &lt; <i>*aṅguẓ-ḍi</i>- with <i>*aṅguṣ</i>- in <i>aṅguṣ-ṭhá</i>-, cf. H. Frisk Suffixales -i&gt;th- im Indogermanischen 17.]<!--addendum--><number>14201</number> <b>aṅgúli-</b>		
135-2x	Indo-Aryan	*aŋgūḍi				*aṅgūḍi				CDIAL			entry
137	Indo-Aryan	aŋguṣṭʰá	thumb; big toe			aṅguṣṭhá				CDIAL;CDIAL	<number>137</number> <b>aṅguṣṭhá-,</b> <i>°gú°</i> m. 'thumb' ĀśvGr̥., 'big toe' KātyŚr. [<i>aṅgu-ṣ-ṭhá</i>-, cf. <i>*aṅgu-ẓ-ḍi</i>- and <smallcaps>aṅgú-li</smallcaps>-]<!--addendum--><number>14202</number> <b>aṅguṣṭhá-</b>		
145	Indo-Aryan	ajá	goat			ajá			m	CDIAL	<number>145</number> <b>ajá</b> m. 'goat', <i>ajā́</i>- f. RV., <i>ajakā</i>-, -<i>ikā</i>- f. 'small or young goat' Pāṇ.		
163	Indo-Aryan	*ajya	flock of goats			*ajya				CDIAL;CDIAL;IEW[7];Brough Dhp[81];IEW[13];EVP[105];BSOAS[21, 539]	"<number>163</number> <b>*ajya</b> 'flock of goats'. [<smallcaps><a data-entry=""145"">ajá</a></smallcaps>-]<!--addendum--><number>14204</number> <b>*ajya</b> 'caprine'. [For suffix cf. Lith. <i>ožỹs</i> 'he-goat' &lt; <i>*āĝi̯os</i> IEW 7. — Sh. <i>ē̆</i> and P. <i>i</i> due to palatalizing effect of following <i>jj</i> (for this in NWPk. see Brough Dhp 81) rather than to derivation &lt; <i>*aiĝi̯o</i>- (IE. <i>*aiĝ</i>- in Gk. <i>αἴξ</i> and <i>*iĝ</i>- in Ir. words meaning only 'leather' IEW 13, EVP 105, H. W. Bailey BSOAS 21, 539). — <smallcaps><a data-entry=""145"">ajá</a></smallcaps>-]"		entry
178	Indo-Aryan	*aṭṭ	contain, be contained, fit into			*aṭṭ				CDIAL	"<number>178</number> <b>*aṭṭ</b>¹ 'contain, be contained, fit into'. [Poss. &lt; <i><a data-entry=""1337"">ā́rta</a></i>-¹ '*brought', cf. <i>ā́-r̥ṇvati</i> 'brings, reaches, obtains' RV., despite <i>ă</i> of P.: √<smallcaps><a data-entry=""r597"">r̥</a></smallcaps>]"		entry
192	Indo-Aryan	áṇu	the grain-plant Panicum miliaceum			áṇu			VS Early-Vedic	CDIAL	"<number>192</number> <b>áṇu</b>¹ m. 'the grain-plant Panicum miliaceum' VS. [Same as <smallcaps><a data-entry=""193"">aṇu</a></smallcaps>-² ?]"		
195	Indo-Aryan	*aṇuni	millet			*aṇuni				CDIAL;NTS[xii 156]	<number>195</number> <b>*aṇuni</b> 'millet'. [Cf. <i>áṇu</i>-¹ NTS xii 156]		entry
218	Indo-Aryan	*atiṣpʰāyatē	swells, is complete, arrives			*atiṣphāyatē				CDIAL	"<number>218</number> <b>*atiṣphāyatē</b> 'swells, is complete, arrives'. [For semantic development cf. <smallcaps><a data-entry=""13831"">sphā́yatē</a>, <a data-entry=""7523"">*niṣphāyatē</a>, <a data-entry=""8342"">pūryatē</a>, <a data-entry=""8716"">prábhūta-</a>: √<a data-entry=""r661"">sphāy</a></smallcaps>]"		entry
227	Indo-Aryan	átyēti	comes upon, goes by; enters			átyēti			RV MBh Early-Vedic Epic	CDIAL;CDIAL	"<number>227</number> <b>átyēti</b> 'comes upon, goes by' RV., 'enters' MBh. 2. <b>*átiyēti.</b> [√<smallcaps><a data-entry=""r254"">i</a></smallcaps>²]<!--addendum--><number>14207</number> <b>átyēti</b>"		entry
242	Indo-Aryan	adyá	today			adyá				CDIAL;CDIAL	"<number>242</number> <b>adyá,</b> -<i>ā́</i> 'today' RV. [<smallcaps><a data-entry=""1"">a</a></smallcaps>-¹]<!--addendum--><number>14208</number> <b>adyá</b>"		
274	Indo-Aryan	adʰyadʰi	on high			adhyadhi			KātyŚr Early-Vedic	CDIAL	"<number>274</number> <b>adhyadhi</b> 'on high' KātyŚr. [<smallcaps><a data-entry=""249"">ádhi</a></smallcaps>]"		entry
283	Indo-Aryan	ana	this			ana			pron	CDIAL	<number>283</number> <b>ana</b> pron. stem in <i>anḗna</i>, <i>anáyā</i>, <i>anáyoḥ</i> 'this', <i>anā́</i> 'thus' RV.		entry
318	Indo-Aryan	*anutr̩tīyam	on the third day			*anutr̥tīyam				CDIAL;CDIAL	"<number>318</number> <b>*anutr̥tīyam</b> 'on the third day'. [For formation cf. <i>anurātram</i> 'in the night' AitBr.: see also s.v. <smallcaps><a data-entry=""5912"">tr̥tī́ya</a></smallcaps>-¹]<!--addendum--><number>14214</number> <b>*anutr̥tīyam</b>"		entry
352	Indo-Aryan	*antaḣstʰāna	interior organ			*antaḥsthāna				CDIAL	"<number>352</number> <b>*antaḥsthāna</b> 'interior organ'. [Cf. <i>antaḥsthá</i>- 'interior' ŚBr.: <smallcaps><a data-entry=""356"">antár</a>, <a data-entry=""13753"">sthā́na</a></smallcaps>-]"		entry
357	Indo-Aryan	ántara	interior, near; neighbouring; the inside			ántara			RV ŚBr Mn Early-Vedic Epic	CDIAL	"<number>357</number> <b>ántara</b>¹ 'interior, near' RV., 'neighbouring' ŚBr., n. 'the inside' Mn., <i>°rā́</i>, <i>°rēṇa</i>, <i>°rē</i> 'in the middle'. [<smallcaps><a data-entry=""356"">ántar</a></smallcaps>]"		
395	Indo-Aryan	ánna	food; cooked rice, corn in general			ánna			n RV Mn Early-Vedic Epic	CDIAL;Morgenstierne;NTS[ii 242]	"<number>395</number> <b>ánna</b> n. 'food' RV., 'cooked rice, corn in general' Mn. 2. <b>*anda-</b>² &lt; <i>*adna</i>- with metathesis before assimilation, Morgenstierne NTS ii 242. [√<smallcaps><a data-entry=""r1"">ad</a></smallcaps>]"		entry
422	Indo-Aryan	apaccʰāyā	unlucky shadow			apacchāyā			f MW	CDIAL	"<number>422</number> <b>apacchāyā</b> f. 'unlucky shadow' MW., <i>°ya</i>- 'unshadowed' Pañcat. [<smallcaps><a data-entry=""5027"">chāyā́</a></smallcaps>-]"		entry
424	Indo-Aryan	ápatya	offspring			ápatya			n RV Early-Vedic	CDIAL;CDIAL	<number>424</number> <b>ápatya</b> n. 'offspring' RV. 2. <b>*apatiya-.</b><!--addendum--><number>14226</number> <b>ápatya-</b>		entry
427	Indo-Aryan	*apadēśya	foreign			*apadēśya				CDIAL	"<number>427</number> <b>*apadēśya</b> 'foreign'. [<smallcaps><a data-entry=""6547"">dēśá</a></smallcaps>-]"		entry
434	Indo-Aryan	ápara	posterior; different, other			ápara			RV ŚBr Early-Vedic	CDIAL;Morgenstierne;IIFL[iii 3, 187. 3]	<number>434</number> <b>ápara</b> 'posterior' RV., 'different, other' ŚBr. 2. <b>*aparīya-</b> Morgenstierne IIFL iii 3, 187. 3. <b>áparam</b> RV., <i>°rám</i> AV. 'again, moreover'.		
447	Indo-Aryan	*apalīyatē	is hidden			*apalīyatē				CDIAL	"<number>447</number> <b>*apalīyatē</b> 'is hidden'. 2. <b>*apalāyayati</b> 'hides'. [Cf. <i><a data-entry=""833"">avalīyatē</a></i> 'hides oneself' R.: √<smallcaps><a data-entry=""r423"">lī</a></smallcaps>²]"		entry
447-2	Indo-Aryan	*apalāyayati	hides			*apalāyayati				CDIAL			
464	Indo-Aryan	*apasakta	detached from			*apasakta				CDIAL	"<number>464</number> <b>*apasakta</b> 'detached from'. [√<smallcaps><a data-entry=""r612"">sañj</a></smallcaps>]"		entry
482	Indo-Aryan	apārá	boundless; the near bank			apārá			RV MBh Early-Vedic Epic	CDIAL	"<number>482</number> <b>apārá</b> 'boundless' RV. 2. m. 'the near bank' MBh. [<smallcaps><a data-entry=""8100"">pārá</a></smallcaps>-]"		entry
516	Indo-Aryan	abʰijñāna	sign, token, remembrance			abhijñāna			n R Epic	CDIAL	"<number>516</number> <b>abhijñāna</b> n. 'sign, token, remembrance' R. [√<smallcaps><a data-entry=""r285"">jñā</a></smallcaps>]"		entry
549	Indo-Aryan	abʰrá	cloud, rainy weather			abhrá			RV Early-Vedic	CDIAL	<number>549</number> <b>abhrá</b>¹ n. (rarely m.) 'cloud, rainy weather' RV. 2. <b>abhríya-</b> 'belonging to the clouds', m.n. 'thundercloud' RV.		
587	Indo-Aryan	ayám	this			ayám			f nom	CDIAL;CDIAL	<number>587</number> <b>ayám</b> nom. sg. m. 'this', f. <i>iyám</i>, acc. m. <i>imám</i>, nom. pl. m. <i>imḗ</i>, f. <i>imā́ḥ</i>. — <i>asyá</i>, <i>asmín</i> see <smallcaps>a-¹. [i</smallcaps>-¹]<!--addendum--><number>14238</number> <b>ayám</b>		
644	Indo-Aryan	ardʰá	half; a half			ardhá			m RV Early-Vedic	CDIAL	"<number>644</number> <b>ardhá</b>² 'half', m.n. 'a half' RV. [Same as <smallcaps><a data-entry=""643"">árdha</a></smallcaps>-¹?]"		
700	Indo-Aryan	alagna	unconnected			alagna			MW	CDIAL	"<number>700</number> <b>alagna</b> 'unconnected' MW. [Cf. <i>aláglam</i> 'disconnectedly, stammeringly' ŚBr.: <smallcaps><a data-entry=""10893"">lagna</a></smallcaps>-]"		entry
710	Indo-Aryan	alāta	fire-brand			alāta			m MBh Epic	CDIAL	<number>710</number> <b>alāta</b> m. 'fire-brand' MBh., <i>ālāta</i>- m. lex. 2. <b>*lāta-.</b><!--addendum--><number>14244</number> <b>alāta</b> [Pers. <i>alā̆v</i> 'flame' ← IA. rather than ETurk.?]		entry
710-2	Indo-Aryan	*lāta				*lāta				CDIAL			
722	Indo-Aryan	álpa	small			álpa			AV Early-Vedic	CDIAL	<number>722</number> <b>álpa</b> 'small' AV., <i>alpakám</i> 'a little' ŚBr.		entry
726	Indo-Aryan	áva	away, down			áva			RV Early-Vedic	CDIAL	<number>726</number> <b>áva</b> 'away, down' RV.		
727a	Indo-Aryan	*avakalati	descends			*avakalati				CDIAL	"<number>727a</number> <b>*avakalati</b><!--addendum--><number>14246</number> †<b>*avakalati</b> 'descends'. 2. Caus. <b>*avakālayati.</b> [√<smallcaps><a data-entry=""r292"">kal</a></smallcaps>²]"		entry
727b	Indo-Aryan	*avakasati	goes down			*avakasati				CDIAL	"<number>727b</number> <b>*avakasati</b><!--addendum--><number>14247</number> †<b>*avakasati</b> 'goes down'. 2. <b>*avakasta-</b> [√<smallcaps><a data-entry=""r297"">kas</a></smallcaps>]"		entry
738	Indo-Aryan	*avakṣōpa	scratching			*avakṣōpa				CDIAL	"<number>738</number> <b>*avakṣōpa</b> 'scratching'. [√<smallcaps><a data-entry=""r385"">kṣup</a></smallcaps>]"		entry
773	Indo-Aryan	*avaḍḍʰāla	falling down			*avaḍḍhāla				CDIAL	"<number>773</number> <b>*avaḍḍhāla</b> 'falling down'. [√*<smallcaps><a data-entry=""r908"">ḍhal</a></smallcaps>]"		entry
830	Indo-Aryan	*avalavati	cuts off			*avalavati				CDIAL	"<number>830</number> <b>*avalavati</b> 'cuts off'. [Cf. <i>avalūna</i>- 'cut off' lex.: √<smallcaps><a data-entry=""r427"">lū</a></smallcaps>]"		entry
841	Indo-Aryan	*avavahati	carries down			*avavahati				CDIAL	"<number>841</number> <b>*avavahati</b> 'carries down'. [√<smallcaps><a data-entry=""r755"">vah</a></smallcaps>]"		entry
884	Indo-Aryan	avāpayati				avāpayati				CDIAL	"<number>884</number> <b>avāpayati,</b> <i>avāpnōti</i> 'reaches' Mn. 2. <b>avāpta-</b> 'one who has reached' KaṭhUp. [√<smallcaps><a data-entry=""r833"">āp</a></smallcaps>]"		entry
884-2	Indo-Aryan	avāpta	one who has reached			avāpta			KaṭhUp Early-Vedic	CDIAL			
887	Indo-Aryan	ávi	sheep			ávi			m RV Early-Vedic	CDIAL	<number>887</number> <b>ávi</b> m.f. 'sheep' RV., <i>aviká</i>- m. Pāṇ., <i>avikā́</i>- f. RV., <i>avíkā</i>- f. AV., <i>avilā</i>- f. lex.		
905	Indo-Aryan	aśakta	unable, incompetent			aśakta			Mn Epic	CDIAL	"<number>905</number> <b>aśakta</b> 'unable, incompetent' Mn. [<smallcaps><a data-entry=""12249"">śakta</a></smallcaps>-]"		entry
910	Indo-Aryan	aśáni	thunderbolt			aśáni			f RV Early-Vedic	CDIAL	<number>910</number> <b>aśáni</b> f. 'thunderbolt' RV., <i>°nī</i>- f. ŚBr. [Cf. <i>áśan</i>- m. 'sling-stone' RV.]		entry
916	Indo-Aryan	*aśyatē	is obtained			*aśyatē				CDIAL	"<number>916</number> <b>*aśyatē</b> 'is obtained'. [Cf. <i>aśnṓti</i> 'obtains' RV.: √<smallcaps><a data-entry=""r15"">aś</a></smallcaps>¹]"		entry
919	Indo-Aryan	áśru	tear; eye			áśru			n RV Early-Vedic	CDIAL	"<number>919</number> <b>áśru</b> n. 'tear' RV., once m. ŚBr. Many forms, like the word for 'eye' (see <smallcaps><a data-entry=""43"">ákṣi</a></smallcaps>-), were nasalized, early enough to voice the following <i>ś</i> in S. L. P., which also have initial <i>h</i>-."		
920	Indo-Aryan	áśva	horse			áśva			m	CDIAL;CDIAL	<number>920</number> <b>áśva</b> m. 'horse', <i>áśvā</i>- f. RV., <i>aśvaká</i>- m. 'small horse' VS., <i>°vikā</i>- f. 'small mare' Pāṇ.<!--addendum--><number>14254</number> <b>áśva-</b>		
923	Indo-Aryan	aśvapāla	groom			aśvapāla			m Ratnāv Classical	CDIAL	"<number>923</number> <b>aśvapāla</b> m. 'groom' Ratnāv. [<smallcaps><a data-entry=""920"">áśva-</a>, <a data-entry=""8125"">pālá</a></smallcaps>-]"		entry
927	Indo-Aryan	aśvaśālā	stable			aśvaśālā			f MBh Epic	CDIAL	"<number>927</number> <b>aśvaśālā</b> f. 'stable' MBh. [<smallcaps><a data-entry=""920"">áśva-</a>, <a data-entry=""12414"">śā́lā</a></smallcaps>-]"		entry
928	Indo-Aryan	aśvastʰāna	horse-stable; born in a stable			aśvasthāna			n Yājñ Pāṇ Classical Epic	CDIAL	"<number>928</number> <b>aśvasthāna</b> n. 'horse-stable' Yājñ., adj. 'born in a stable' Pāṇ. Kāś. [<smallcaps><a data-entry=""920"">áśva-</a>, <a data-entry=""13753"">sthā́na</a></smallcaps>-]"		entry
941	Indo-Aryan	aṣṭā́	eight			aṣṭā́				CDIAL;CDIAL	<number>941</number> <b>aṣṭā́,</b> <i>°ṭáu</i> 'eight' RV.<!--addendum--><number>14256</number> <b>aṣṭā́</b>		
946	Indo-Aryan	aṣṭā́daśa	eighteen			aṣṭā́daśa			ŚBr Early-Vedic	CDIAL;CDIAL	"<number>946</number> <b>aṣṭā́daśa</b> 'eighteen' ŚBr. [<smallcaps><a data-entry=""941"">aṣṭā́</a>, <a data-entry=""6227"">dáśa</a></smallcaps>]<!--addendum--><number>14257</number> <b>aṣṭā́daśa</b>"		
958	Indo-Aryan	aṣṭʰi	*bone; kernel			aṣṭhi			f lex	CDIAL;EWA[i 67]	"<number>958</number> <b>aṣṭhi</b> '*bone', f. 'kernel' lex., <i>aṣṭhī</i>- f. 'bone of elbow or knee' lex. [Cf. <i>aṣṭhīvántau</i> m. 'the knees' RV., <i>pādāṣṭhīla</i>- m.n. 'ankle' MBh., <i>ūrv-aṣṭhīvá</i>- n. 'thigh and knee' VS. The relationship of these words with <i><a data-entry=""982"">ásthi</a></i>- 'bone' RV. is obscure: Mayrhofer EWA i 67. Connexion with <smallcaps><a data-entry=""13952"">haḍḍa</a></smallcaps>- is improbable]"		entry
977	Indo-Aryan	ásti	is			ásti			RV Early-Vedic	CDIAL;CDIAL	"<number>977</number> <b>ásti</b> 'is' RV. [√<smallcaps><a data-entry=""r11"">as</a></smallcaps>¹]<!--addendum--><number>14260</number> <b>ásti</b>"		entry
983	Indo-Aryan	ástʰira	unsteady			ásthira			ŚBr Early-Vedic	CDIAL	"<number>983</number> <b>ásthira</b> 'unsteady' ŚBr. [<smallcaps><a data-entry=""13771"">sthirá</a></smallcaps>-]"		entry
986	Indo-Aryan	asmad				asmad				CDIAL	<number>986</number> <b>asmad</b> base of obl. cases plur. of 1st pers. pronoun <i>asmā́n</i>, <i>asmā́bhiḥ</i>, <i>asmábhyam</i>, <i>asmā́kam</i>, <i>asmā́su</i>, dat. loc. <i>asmḗ</i>.		entry
1008	Indo-Aryan	ākāśá	sky			ākāśá			m ŚBr Early-Vedic	CDIAL;CDIAL	"<number>1008</number> <b>ākāśá</b> m. 'sky' ŚBr. [√<smallcaps><a data-entry=""r364"">kāś</a></smallcaps>]<!--addendum--><number>14262</number> <b>ākāśá-</b>"		entry
1009	Indo-Aryan	*ākāśiya	of the sky			*ākāśiya				CDIAL	"<number>1009</number> <b>*ākāśiya-,</b> <i>ākāśyà</i>- 'of the sky' Pāṇ. Kāś., <i>ākāśīya</i>- Suśr. [<smallcaps><a data-entry=""1008"">ākāśá</a></smallcaps>-]"		entry
1027	Indo-Aryan	*ākṣirati	perishes			*ākṣirati				CDIAL	"<number>1027</number> <b>*ākṣirati</b> 'perishes'. [√<smallcaps><a data-entry=""r377"">kṣar</a></smallcaps>]"		entry
1029	Indo-Aryan	*ākṣuṇṇa	pierced			*ākṣuṇṇa				CDIAL	"<number>1029</number> <b>*ākṣuṇṇa</b> 'pierced'. [√<smallcaps><a data-entry=""r384"">kṣud</a></smallcaps>]"		entry
1031	Indo-Aryan	ā́kṣēti	abides, dwells in			ā́kṣēti			RV Early-Vedic	CDIAL;BSOS[viii 793]	"<number>1031</number> <b>ā́kṣēti</b> 'abides, dwells in' RV., <i>ākṣiyáti</i> 'exists' AV., <i>ākṣyáti</i> 'is to be found, is' AV x 5, 45. [Full discussion with lit. BSOS viii 793 ff.: √<smallcaps><a data-entry=""r379"">kṣi</a></smallcaps>¹]"		entry
1045	Indo-Aryan	ā́gata									"<number>1045</number> <b>ā́gata</b> 'arrived' RV. (Pp. of <smallcaps><a data-entry=""1044"">ā́gacchati</a>: √<a data-entry=""r175"">gam</a></smallcaps>]"		
1103	Indo-Aryan	*āḍu	peach			*āḍu				CDIAL	<number>1103</number> <b>*āḍu</b> 'peach'. [Perh. &lt; <i>*ā̆rdūda</i>- in Pahl. <i>ālūδ</i>, Pers. <i>ālū</i> 'plum' → H. <i>ālū</i>]		
1111	Indo-Aryan	āṇḍá	egg; testicles			āṇḍá			n RV AV Early-Vedic	CDIAL;EWA[i 26];Kuiper PMWS[76]	<number>1111</number> <b>āṇḍá</b> n. 'egg' RV., du. 'testicles' AV., <i>aṇḍá</i>- Ep., <i>°aka</i>- 'egg, scrotum' lex. [Kaf. Paš. Kal. forms point to <i>*āṇḍra</i>-: ac. to Mayrhofer EWA i 26, with Kuiper PMWS 76, of Muṇḍa origin]		entry
1124	Indo-Aryan	ātāna	stretched cord; warp			ātāna			m AitBr BHSk Early-Vedic	CDIAL	"<number>1124</number> <b>ātāna</b> m. 'stretched cord' AitBr., 'warp' BHSk. [√<smallcaps><a data-entry=""r708"">tan</a></smallcaps>]"		entry
1127	Indo-Aryan	ātí	an aquatic bird; Turdus ginginianus			ātí			f RV lex Early-Vedic	CDIAL	<number>1127</number> <b>ātí</b> f. 'an aquatic bird' RV., 'Turdus ginginianus' lex., <i>āṭi</i>- f. 'Turdus g.', PārGr̥., <i>āḍi</i>- f. 'an aquatic bird' MārkP.		entry
1130	Indo-Aryan	*ātr̩tīyam	on the third (day) back or forwards			*ātr̥tīyam				CDIAL;Morgenstierne;IIFL[i 61]	"<number>1130</number> <b>*ātr̥tīyam</b> 'on the third (day) back or forwards'. [For <i>ā</i>-, cf. <i>ācaturam</i> 'to the fourth generation' MaitrS., and a similar formation in Par. <i>ašö-ruč</i> 'the day before yesterday' &lt; <i>*ā-θri</i>- Morgenstierne IIFL i 61: <smallcaps><a data-entry=""5912"">tr̥tī́ya</a></smallcaps>-¹]"		entry
1154	Indo-Aryan	*ādityavāra	Sunday			*ādityavāra				CDIAL	"<number>1154</number> <b>*ādityavāra</b> 'Sunday'. [<smallcaps><a data-entry=""1153"">ādityá-</a>, <a data-entry=""11547"">vāra</a></smallcaps>-²]"		entry
1161	Indo-Aryan	ā́driyatē	regards, is careful about, attends to			ā́driyatē			ŚBr Early-Vedic	CDIAL	"<number>1161</number> <b>ā́driyatē</b> 'regards, is careful about, attends to' ŚBr. 2. <b>*ādarati</b>. [√<smallcaps><a data-entry=""r146"">dr̥</a></smallcaps>]"		entry
1181	Indo-Aryan	āntara	being inside			āntara			MBh Epic	CDIAL	"<number>1181</number> <b>āntara</b> 'being inside' MBh. [<smallcaps><a data-entry=""357"">ántara</a></smallcaps>-¹]"		entry
1182	Indo-Aryan	āntrá	entrail			āntrá			n RV Early-Vedic	CDIAL	"<number>1182</number> <b>āntrá</b> n. 'entrail' RV., <i>antrá</i>-² n. Suśr. [<smallcaps><a data-entry=""356"">antár</a></smallcaps>]"		entry
1195	Indo-Aryan	āpatti	happening; misfortune; fault			āpatti			f KātyŚr Yājñ lex Early-Vedic Classical	CDIAL	"<number>1195</number> <b>āpatti</b> f. 'happening' KātyŚr., 'misfortune' Yājñ., 'fault' lex. [√<smallcaps><a data-entry=""r504"">pad</a></smallcaps>¹]"		entry
1197	Indo-Aryan	ā́padyatē	goes into; gets into misfortune; occurs			ā́padyatē			ŚBr AV Early-Vedic	CDIAL	"<number>1197</number> <b>ā́padyatē</b> 'goes into' ŚBr., 'gets into misfortune' AV., 'occurs' ŚBr. 2. <b>ā́panna-</b> 'entered' ŚBr. [√<smallcaps><a data-entry=""r504"">pad</a></smallcaps>¹]"		entry
1204	Indo-Aryan	āpāna	act of drinking, drinking party; drinking place or house			āpāna			MBh lex Epic	CDIAL	"<number>1204</number> <b>āpāna</b>¹ n. 'act of drinking, drinking party' MBh., 'drinking place or house' lex. [√<smallcaps><a data-entry=""r539"">pā</a></smallcaps>¹]"		entry
1221	Indo-Aryan	ābadʰyatē	ties on			ābadhyatē				CDIAL	"<number>1221</number> <b>ābadhyatē,</b> <i>ā́badhnāti</i> 'ties on' AV., pp. <b>ābaddha</b>- MBh. [√<smallcaps><a data-entry=""r20"">bandh</a></smallcaps>]"		entry
1236	Indo-Aryan	āmá	raw			āmá			RV Early-Vedic	CDIAL	<number>1236</number> <b>āmá</b> 'raw' RV., <i>°aka</i>- Suśr. 2. <i>āma</i>- m.n. 'constipation' Suśr.		entry
1252	Indo-Aryan	*āmārayati	rubs			*āmārayati				CDIAL	"<number>1252</number> <b>*āmārayati</b> 'rubs'. [Cf. *<smallcaps>mālayati</smallcaps> and, for <i>ā</i>- with verbs of touching, <i>āmr̥j</i>-, <i>āmr̥d</i>-, <i>āmr̥ś</i>-: √<smallcaps><a data-entry=""r468"">mr̥̄</a></smallcaps>]"		entry
1255	Indo-Aryan	*āmilati	meets together, tangles			*āmilati				CDIAL	"<number>1255</number> <b>*āmilati</b> 'meets together, tangles'. [√<smallcaps><a data-entry=""r452"">mil</a></smallcaps>]"		entry
