ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status
f_3tct4vlrxvt6e	Phal	guṭúmbu	deep	گُٹُمبوۡ	ɡuʈúmbo	guṭúmbu		Inflection: Reg (Fem): guṭúmbi; Morphemic form: guṭúmb-	adj	liljegren			unlinked
f_3tgd7gsus6jw2	Sh	muʦ̣ʰṓ	come forward; be begun			muc̣hoó		vor-kommen, begonnen werden	intr dialect:Sh:gil:Gilgit	degener-shina2008[p. 286, glossary entry 6]			unlinked
f_3tmmilg7glrqa	Phal	bʰī̂a	to fear, be afraid of	بِھیہ	bhíia	bhíia		Inflection: T (Prs): bhiáanu, (Pfv): bhíitu, (Cv): bhiyí, (Imp): bhíi; Morphemic form: bhíi-, bhíit-	verb intr Palula-verb-class-T	liljegren	bibhḗti 'fears' (T: 9241) ; bhīyatē 'fears' (T: 9515)		
f_3ugynxyrlii7k	Phal	xox	liked; choice	خوۡخ	xox	xox			adj indecl loanword loan:Pashto	liljegren	Origin: Pashto: xwax		unlinked
f_3wmdxwz3zlsju	Phal	piśakā̌l	the hot season; the 80 hottest days of the summer (appr. 21 Jun-10 Sep)	پِشکال	piɕakaál	pišakaál		Inflection: a-decl (Obl): -á	noun m Palula-noun-class-a loanword loan:Pashto	liljegren	Origin: Pashto 'rainy season': pašakaal		unlinked
f_3ztxgxmlfv2de	K	vān	shop			wān	3:	"(→ Sh. koh. <i>wān</i> m.) rather &lt; <smallcaps><a data-entry=""1204"">āpāna</a></smallcaps>-¹"	m	CDIAL			
f_42votj56jx7cy	Phal	ō̂l bʰī̂	to watch, guard	اول بھی	óol bhíi	óol bhíi		Morphemic form: áal; Restriction: Postpositional object with the	verb intr compound conjunct-verb incorporating	liljegren			unlinked
f_42xe3rywyh63i	Phal	dapā̂ra	for, (in order) to; for, in order to; by; because of	دپارہ	dapáara	dapáara		Restriction: With preceding genitive nominal argument or an ablative pro-form.	postp loanword loan:Pashto	liljegren	Origin: Pashto: dapaarah		unlinked
f_43c2h66a7nypq	Phal	sēntá	will, should	سینتہ	sẽẽtá	seentá			verb modal	liljegren			unlinked
f_43vsb4wscgn3s	Phal	jā̂r	fever	جار	dʑáar	ǰáar		Inflection: a-decl (Obl): ǰará; Morphemic form: ǰar	noun m Palula-noun-class-a	liljegren	jvará- 'fever (masc)' (T: 5303) ; *jvāra- 'burning' (T: 5311)		
f_44uu3thcimzse	Phal	bujō̂	to make sb understand	بُجو	budʑóo	buǰóo		Inflection: L:a (Prs): buǰaáanu, (Pfv): buǰóolu, (Cv): buǰaá, (Imp): buǰá; Morphemic form: buǰ-á-	verb tr Palula-verb-class-L-a	liljegren			unlinked
f_47opdvw3gm5om	Phal	panjēśúma	fifteenth	پنجیشُمہ	paɲdʑeeɕúma	panǰeešúma			determiner	liljegren			unlinked
f_4ac36nzye4xcg	Phal	pʰōṭō̂	to break	پھوٹو	pʰooʈóo	phooṭóo		Inflection: L:a (Prs): phooṭaáanu, (Pfv): phooṭóolu, (Cv): phooṭaá, (Imp): phooṭá; Morphemic form: phóoṭ-á-	verb tr Palula-verb-class-L-a	liljegren			unlinked
f_4all4wtnfs5cm	Phal	jō̂	to be born, have [a child]; grow up	جو	dʑóo	ǰóo		Inflection: L:a (Prs): ǰaáanu, (Pfv): ǰóolu, (Cv): ǰaá; Morphemic form: ǰ-á-; Usage: Only exceptionally is the present tense used. If referring to an animal's birth, the same verb can also be used transitively.	verb intr Palula-verb-class-L-a	liljegren	jā́yatē 'is born; generates' (T: 5204) ; jātá- 'born; son (masc)' (T: 5182)		
f_4crnxrdow3nl2	Phal	trī̂mbaruṣ	two years ago	ترِیمبرُݜ	tríimbaruʂ	tríimbaruṣ			adv temporal	liljegren			unlinked
f_4dkiw43zb5eas	Phal	at	Second person plural suffix		-at	-at		Morphemic form: -et; Restriction: Added to verb stem in Future and Past Imperfective	suffix	liljegren			unlinked
f_4eg6mhjwnsfps	Phal	pʰaraṛā̂	over there, yonder	پھرہ ڑا	pʰaraɽáa	pharaṛáa			adv spatial	liljegren			unlinked
