suffix	raw_plural_types	outcomes	unit
-eh/-eɦ	60	"{""2"": 3, ""1"": 53, ""multiple-stress"": 4}"	Printed plural citation types; duplicate lexeme conflicts remain visible. These are morphological outcome counts, not independent ancestral etyma.
-e	176	"{""2"": 116, ""multiple-stress"": 5, ""3"": 11, ""unmarked"": 22, ""1"": 22}"	Printed plural citation types; duplicate lexeme conflicts remain visible. These are morphological outcome counts, not independent ancestral etyma.
-i	15	"{""unmarked"": 3, ""2"": 6, ""multiple-stress"": 3, ""3"": 2, ""1"": 1}"	Printed plural citation types; duplicate lexeme conflicts remain visible. These are morphological outcome counts, not independent ancestral etyma.
other	36	"{""1"": 28, ""unmarked"": 4, ""2"": 3, ""multiple-stress"": 1}"	Printed plural citation types; duplicate lexeme conflicts remain visible. These are morphological outcome counts, not independent ancestral etyma.
