concept_id,concept,group,language_id,language,unit,form_id,form,gloss,head_id,head,family_id,family,status,source
621,IRON,plains,Bi,Bihari,biha1245,f_gr2uwgmmls5c2,kū̃ṛ,"iron or earthen vessel, cavity in sugar mill",3264,kuṇḍá,3264,kuṇḍá,linked,CDIAL
621,IRON,dardic,Kho,Khowar,khow1242,f_6b3iwzqkri3kk,cúmur,iron,4842a,cīmara,4842a,cīmara,linked,bashir2023[p. 40 (printed p. 27)]
621,IRON,dardic,Kho,Khowar,khow1242,f_nofkuu2ze765o,cúmur,iron,4842a,cīmara,4842a,cīmara,linked,bashir2023[p. 40 (printed p. 27)]
621,IRON,dardic,Kho,Khowar,khow1242,f_44btjb26nhfj6,cúmur,iron,4842a,cīmara,4842a,cīmara,linked,bashir2023[p. 40 (printed p. 27)]
621,IRON,dardic,Kho,Khowar,khow1242,f_bzibp2zg7s6ce,cúmur,iron,4842a,cīmara,4842a,cīmara,linked,bashir2023[p. 40 (printed p. 27)]
621,IRON,plains,G,Gujarati,guja1252,f_ci4i7jdm4v7qw,cobvũ,to brand,4866-2,*cōbb,4866-2,*cōbb,linked,CDIAL
621,IRON,plains,S,Sindhi,sind1272,f_7tgtvyhyulsb2,ᶑambʰaṇu,"to burn, brand",6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,khet,Khetrani,khet1238,f_b7xkipvuiquby,dambaṇ,to brand,6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,P,Punjabi,panj1256,f_izrng32quctdg,dambʰṇā,"to burn, brand, taunt",6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,P,Punjabi,panj1256,f_lo2wziuozjzeg,ḍambʰṇā,"to burn, brand, taunt",6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,P,Punjabi,panj1256,f_bjoyk4gi7jebc,ḍammʰṇā,"to burn, brand, taunt",6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,G,Gujarati,guja1252,f_4pkuoc5yz3ivo,ḍā̃bʰvũ,to brand,6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,G,Gujarati,guja1252,f_ox3zoowswudxk,ḍāmvũ,to brand,6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,G,Gujarati,guja1252,f_dh3ruk4qu3fey,ḍām,"brand, cautery",6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,G,Gujarati,guja1252,f_bfxpjcxycpog6,ḍābʰ,"brand, cautery",6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,kcch,Kutchi,kach1277,f_2nia7rpuxxujg,ḍambʰ,brand,6121,dagdʰá,6121,dagdʰá,linked,CDIAL
621,IRON,plains,Or,Odia,oriy1255,f_uqgow75ib2fri,lācʰa,brand,10881,lakṣá,10881,lakṣá,linked,CDIAL
621,IRON,plains,Or,Odia,oriy1255,f_yg4wlsholuwok,lācʰibā,"to aim at a target, brand",10884,lakṣáyati,10884,lakṣáyati,linked,CDIAL
621,IRON,plains,S,Sindhi,sind1272,f_rdvjwblzqrcty,lohu,iron,11158,lōhá,11158,lōhá,linked,CDIAL
621,IRON,plains,L,Lahnda,west2386,f_3fjjr6yizubyq,lohā,iron,11158,lōhá,11158,lōhá,linked,CDIAL
621,IRON,plains,awan,Hindko,avan1234,f_6mela37sfre5u,lṑā,iron,11158,lōhá,11158,lōhá,linked,CDIAL
621,IRON,plains,P,Punjabi,panj1256,f_7do5rt5nixnga,lohā,iron,11158,lōhá,11158,lōhá,linked,CDIAL
621,IRON,plains,A,Assamese,assa1263,f_4ksxombrzmyui,lo,iron,11158,lōhá,11158,lōhá,linked,CDIAL
621,IRON,plains,B,Bengali,beng1280,f_adrypurwc6jia,lo,iron,11158,lōhá,11158,lōhá,linked,CDIAL
621,IRON,plains,B,Bengali,beng1280,f_oylyvsjzuq744,no,iron,11158,lōhá,11158,lōhá,linked,CDIAL
621,IRON,plains,Or,Odia,oriy1255,f_pr6hmo5k5qsh6,lohā,iron,11158,lōhá,11158,lōhá,linked,CDIAL
