concept,group,family_id,family,fractional_votes,share,languages
WATER,dardic,13266,sárga,0.5,0.022727272727272728,Kashmiri
WATER,dardic,11556,vā́ri,1.0,0.045454545454545456,Pashai
WATER,plains,5155,jala,4.25,0.09659090909090909,Assamese; Bengali; Gujarati; Hadauti; Hindi-Urdu; Lahnda; Marathi; Mewari; Odia; Sindhi
WATER,plains,8082,pānī́ya,36.25000000000001,0.8238636363636366,Ahirwadi; Assamese; Awadhi; Bagheli; Bagri; Bengali; Bhojpuri; Braj; Bundeli; Chhattisgarhi; Chitwania Tharu; Dangaura Tharu; Dhundari; Godwari; Gujarati; Hadauti; Hindi-Urdu; Kamtapuri; Kannauji; Khetrani; Kholosi; Konkani; Lahnda; Luwati; Maimani; Maithili; Malvi; Marathi; Marwari; Mewari; Mewati; Morangia Tharu; Odia; Punjabi; Rajasthani; Rajbanshi; Rana Tharu; Shahawadi; Shekhawati; Sindhi; Surgujia; Surjapuri; Wadiyara Koli; Wagri; Zadjali
WATER,plains,10085,*mārtta,1.0,0.022727272727272728,Bihari
WATER,plains,7552,nīrá,1.0833333333333333,0.02462121212121212,Braj; Hindi-Urdu; Lahnda
WATER,plains,13388,siktá,0.3333333333333333,0.007575757575757575,Gujarati
WATER,plains,7143,*nikirati,0.25,0.005681818181818182,Hindi-Urdu
WATER,plains,4038,garala,0.3333333333333333,0.007575757575757575,Marathi
WATER,plains,6896-6,*dʰvāsayati,0.5,0.011363636363636364,Punjabi
IRON,dardic,4842a,cīmara,12.5,0.9615384615384616,Bashkarik; Dameli; Gawarbati; Indo-Aryan Kalasha; Indus Kohistani; Kashmiri; Khowar; Palula; Pashai; Shina; Shumashti; Torwali; Wotapuri
IRON,dardic,12367,śastrá,0.5,0.038461538461538464,Kashmiri; Poguli
IRON,plains,11158,lōhá,9.45,0.5558823529411764,Assamese; Awadhi; Bengali; Bhojpuri; Gujarati; Hindi-Urdu; Hindko; Lahnda; Maithili; Marathi; Odia; Punjabi; Sindhi
IRON,plains,3264,kuṇḍá,0.5,0.029411764705882353,Bihari
IRON,plains,11170,lōhī,0.5,0.029411764705882353,Bihari
IRON,plains,11171,*lōhōpaskara,0.7,0.041176470588235294,Gujarati; Marathi
IRON,plains,4866-2,*cōbb,0.2,0.011764705882352941,Gujarati
IRON,plains,11173,lauhabʰāṇḍa,1.2,0.07058823529411765,Gujarati; Wadiyara Koli
IRON,plains,6121,dagdʰá,3.2,0.18823529411764706,Gujarati; Khetrani; Kutchi; Punjabi; Sindhi
IRON,plains,12349,śalā́kā,0.5,0.029411764705882353,Maithili
IRON,plains,10884,lakṣáyati,0.25,0.014705882352941176,Odia
IRON,plains,10881,lakṣá,0.25,0.014705882352941176,Odia
IRON,plains,104,aŋkáyati,0.25,0.014705882352941176,Odia
RIVER,dardic,3860,*kʰāḍa,0.5,0.038461538461538464,Bhateri
RIVER,dardic,13415,síndʰu,6.0,0.46153846153846156,Bhateri; Gowro; Indus Kohistani; Kashmiri; Khowar; Shina; Tirahi
RIVER,dardic,6943,nadī́,3.0,0.23076923076923078,Bashkarik; Dameli; Kundal Shahi
RIVER,dardic,9645,*bʰraṁśiṣṭʰa,1.0,0.07692307692307693,Indo-Aryan Kalasha
RIVER,dardic,4456,*gʰalōdaka,0.5,0.038461538461538464,Khowar
RIVER,dardic,4453,*gʰala,1.0,0.07692307692307693,Pashai
RIVER,dardic,13137,*sapānīya,1.0,0.07692307692307693,Palula
RIVER,plains,3952,gáŋgā,1.0,0.03225806451612903,Assamese; Bengali
RIVER,plains,6943,nadī́,25.0,0.8064516129032258,Ahirwadi; Assamese; Bagheli; Bagri; Bengali; Braj; Bundeli; Chhattisgarhi; Chitwania Tharu; Dangaura Tharu; Dhundari; Godwari; Hadauti; Hindi-Urdu; Kannauji; Kutchi; Malvi; Marathi; Marwari; Mewari; Mewati; Morangia Tharu; Punjabi; Rajasthani; Rana Tharu; Shahawadi; Shekhawati; Surgujia; Wagri
RIVER,plains,7047,nāḍī́,2.0,0.06451612903225806,Chhattisgarhi; Marwari; Mewati; Surgujia
RIVER,plains,5629,taṭa,1.0,0.03225806451612903,Odia
RIVER,plains,13580,sḗka,1.0,0.03225806451612903,Saraiki
RIVER,plains,13325,sāgara,1.0,0.03225806451612903,Sindhi
UNRIPE,dardic,1236,āmá,8.5,0.7727272727272727,Bashkarik; Dameli; Indo-Aryan Kalasha; Kashmiri; Khowar; Palula; Shina; Shumashti; Tirahi
UNRIPE,dardic,7563,nī́la,1.5,0.13636363636363635,Gowro; Indus Kohistani
UNRIPE,dardic,2613,*kacca,1.0,0.09090909090909091,Indus Kohistani; Kashmiri
UNRIPE,plains,2613,*kacca,11.5,0.7666666666666667,Awadhi; Bengali; Chitwania Tharu; Dangaura Tharu; Gujarati; Hindi-Urdu; Kutchi; Lahnda; Maithili; Marathi; Morangia Tharu; Odia; Rana Tharu
UNRIPE,plains,6875,dʰr̩ṣṭá,0.5,0.03333333333333333,Bengali
UNRIPE,plains,4012-2,*gaddara,0.5,0.03333333333333333,Hindi-Urdu
UNRIPE,plains,14114,*hiru,0.5,0.03333333333333333,Marathi
UNRIPE,plains,1340-2,*ālla,1.0,0.06666666666666667,Punjabi
UNRIPE,plains,413,apakva,1.0,0.06666666666666667,Sindhi
SOUR,dardic,4850,cukrá,9.833333333333332,0.6555555555555554,Bashkarik; Brokskat; Dameli; Gowro; Indo-Aryan Kalasha; Kashmiri; Palula; Pashai; Shina; Shumashti; Torwali
SOUR,dardic,12504-2,*śuktala,1.5,0.1,Gawarbati; Sauji
SOUR,dardic,8182,*pittaka,1.5,0.1,Gawarbati; Wotapuri
SOUR,dardic,12504,śuktá,1.3333333333333333,0.08888888888888888,Khowar; Pashai
SOUR,dardic,4584,cáṇḍa,0.3333333333333333,0.02222222222222222,Pashai
SOUR,dardic,5938,tr̩ṣṭá,0.5,0.03333333333333333,Palula
SOUR,plains,5808,tigmá,1.5,0.07142857142857142,Assamese; Kamtapuri
SOUR,plains,5617,takrá,1.25,0.05952380952380952,Bengali; Odia; Sindhi
SOUR,plains,579,amlá,4.25,0.20238095238095238,Bengali; Chitwania Tharu; Dangaura Tharu; Gujarati; Hindi-Urdu; Konkani; Odia
SOUR,plains,4850,cukrá,0.75,0.03571428571428571,Bengali; Hindi-Urdu
SOUR,plains,3777,kʰaṭṭa,11.75,0.5595238095238095,Bengali; Bhojpuri; Dhatki; Gujarati; Kamtapuri; Kutchi; Lahnda; Marathi; Morangia Tharu; Punjabi; Rajbanshi; Rana Tharu; Sindhi; Surjapuri
SOUR,plains,579-2,*amlasa-,0.5,0.023809523809523808,Konkani
SOUR,plains,2668,kaṇṭa,1.0,0.047619047619047616,Wadiyara Koli
